prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lutc_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
io1_l1n1n1_l3n1n1,10.0,7.966,1.25,11,5,653,977,14,7,12,7,2x32,1x32
io1_l1n1n1_l3n1p1,10.0,7.966,1.25,12,5,781,1079,15,7,13,7,2x32,1x32
io1_l1n1n1_l3p1n1,10.0,8.59,1.25,12,10,3347,3324,138,69,12,69,2x32,1x32
io1_l1n1p1_l3n1n1,10.0,7.966,1.25,11,5,680,1054,15,7,13,7,2x32,1x32
io1_l1n1p1_l3n1p1,10.0,7.966,1.25,12,5,808,1140,16,7,14,7,2x32,1x32
io1_l1n1p1_l3p1n1,10.0,8.59,1.25,12,10,3374,3401,139,69,13,69,2x32,1x32
io1_l1p1n1_l3n1n1,10.0,8.59,1.25,12,10,8868,5213,138,69,12,69,2x32,1x32
io1_l1p1n1_l3n1p1,10.0,8.59,1.25,13,10,8996,5315,139,69,13,69,2x32,1x32
io1_l1p1n1_l3p1n1,10.0,7.984,1.25,13,10,10599,7107,262,131,10,131,2x32,1x32
io2_l1n1n1_l3n1n1,10.0,8.423,1.25,14,5,734,1327,14,7,12,7,3x32,1x32
io2_l1n1n1_l3n1n1_d1d2,10.0,8.423,1.25,14,5,740,1534,15,17,13,17,3x32,1x32
io2_l1n1n1_l3n1n2,10.0,8.423,1.25,14,10,1152,1618,16,7,14,7,3x32,1x32
io2_l1n1n1_l3n1n2_d1d2,10.0,8.423,1.25,14,10,1157,1815,17,12,15,12,3x32,1x32
io2_l1n1n1_l3n1p1,10.0,8.423,1.25,16,5,769,1458,15,7,13,7,3x32,1x32
io2_l1n1n1_l3n1p1_d1d2,10.0,8.423,1.25,16,5,769,1673,16,17,14,17,3x32,1x32
io2_l1n1n1_l3n1p2,10.0,8.423,1.25,18,10,1416,1836,17,7,15,7,3x32,1x32
io2_l1n1n1_l3n1p2_d1d2,10.0,8.423,1.25,18,10,1402,2032,18,12,16,12,3x32,1x32
