prj,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks,freq(MHz)
io1_l1n1n1_l3n1n1,12.335,526,526,0,0,485,4,3,5,100
io1_l1n1n1_l3n1p1,14.490,569,564,0,5,505,5,2,5,100
io1_l1n1n1_l3p1n1,24.399,2319,2319,0,0,3119,5,2,10,100
io1_l1n1p1_l3n1n1,13.477,617,617,0,0,517,4,3,5,100
io1_l1n1p1_l3n1p1,17.692,643,638,0,5,537,5,2,5,100
io1_l1n1p1_l3p1n1,28.884,2368,2368,0,0,3151,5,2,10,100
io1_l1p1n1_l3n1n1,37.110,4218,3622,0,596,7395,5,2,10,100
io1_l1p1n1_l3n1p1,58.299,4281,3680,0,601,7431,6,1,10,100
io1_l1p1n1_l3p1n1,67.609,5665,5069,0,596,9045,6,1,10,100
io2_l1n1n1_l3n1n1,13.533,663,663,0,0,617,4,6,5,100
io2_l1n1n1_l3n1n1_d1d2,13.989,734,734,0,0,750,4,6,5,100
io2_l1n1n1_l3n1n2,18.514,929,929,0,0,941,4,6,10,100
io2_l1n1n1_l3n1n2_d1d2,18.931,1013,1013,0,0,1007,4,6,10,100
io2_l1n1n1_l3n1p1,14.878,843,843,0,0,641,4,4,5,100
io2_l1n1n1_l3n1p1_d1d2,15.237,900,900,0,0,675,4,4,5,100
io2_l1n1n1_l3n1p2,18.604,1027,1022,0,5,964,6,0,10,100
io2_l1n1n1_l3n1p2_d1d2,18.597,1136,1131,0,5,1019,6,0,10,100
io2_l1n1n1_l3p1n1,34.879,4181,4181,0,0,4169,6,4,18,100
io2_l1n1n1_l3p1n1_d1d2,35.914,4386,4386,0,0,4160,6,4,18,100
io2_l1n1n1_l3p2n1,34.587,3702,3702,0,0,4867,6,4,20,100
io2_l1n1n1_l3p2n1_d1d2,50.244,6290,6290,0,0,6526,6,4,38,100
io2_l1n1n2_l3n1n1,17.279,735,735,0,0,740,4,6,8,100
io2_l1n1n2_l3n1n1_d1d2,18.302,817,817,0,0,775,4,6,8,100
io2_l1n1n2_l3n1n2,19.457,935,935,0,0,840,4,6,10,100
io2_l1n1n2_l3n1n2_d1d2,20.734,1029,1029,0,0,967,4,6,10,100
io2_l1n1n2_l3n1p1,19.758,918,918,0,0,764,4,4,8,100
io2_l1n1n2_l3n1p1_d1d2,20.364,953,953,0,0,763,4,4,8,100
io2_l1n1n2_l3n1p2,20.198,1027,1022,0,5,863,6,0,10,100
