prj,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks,freq(MHz)
io1_l1n1n1_l3n1n1,8.950,512,512,0,0,485,4,3,0,5,300.030
io1_l1n1n1_l3n1p1,10.898,561,554,0,7,505,5,2,0,5,300.030
io1_l1n1n1_l3p1n1,20.719,2308,2308,0,0,3131,5,2,0,10,300.030
io1_l1n1p1_l3n1n1,10.308,594,594,0,0,517,4,3,0,5,300.030
io1_l1n1p1_l3n1p1,12.527,622,615,0,7,537,5,2,0,5,300.030
io1_l1n1p1_l3p1n1,24.010,2348,2348,0,0,3180,5,2,0,10,300.030
io1_l1p1n1_l3n1n1,30.569,4211,3613,0,598,7348,5,2,0,10,300.030
io1_l1p1n1_l3n1p1,45.355,4258,3653,0,605,7368,6,1,0,10,300.030
io1_l1p1n1_l3p1n1,53.926,5724,5126,0,598,9337,6,1,0,10,300.030
io2_l1n1n1_l3n1n1,11.346,625,625,0,0,623,4,6,0,5,300.030
io2_l1n1n1_l3n1n1_d1d2,11.667,723,723,0,0,750,4,6,0,5,300.030
io2_l1n1n1_l3n1n2,14.382,930,930,0,0,946,4,6,0,10,300.030
io2_l1n1n1_l3n1n2_d1d2,14.837,1005,1005,0,0,1007,4,6,0,10,300.030
io2_l1n1n1_l3n1p1,11.722,819,819,0,0,639,4,4,0,5,300.030
io2_l1n1n1_l3n1p1_d1d2,11.724,872,872,0,0,634,4,4,0,5,300.030
io2_l1n1n1_l3n1p2,14.560,1016,1010,0,6,962,6,0,0,10,300.030
io2_l1n1n1_l3n1p2_d1d2,14.779,1119,1113,0,6,951,6,0,0,10,300.030
io2_l1n1n1_l3p1n1,30.190,4155,4155,0,0,4169,6,4,0,18,300.030
io2_l1n1n1_l3p1n1_d1d2,29.231,4357,4357,0,0,4173,6,4,0,18,300.030
io2_l1n1n1_l3p2n1,29.353,3673,3673,0,0,4900,6,4,0,20,300.030
io2_l1n1n1_l3p2n1_d1d2,43.067,6279,6279,0,0,6549,6,4,0,38,300.030
io2_l1n1n2_l3n1n1,13.647,714,714,0,0,743,4,6,0,8,300.030
io2_l1n1n2_l3n1n1_d1d2,14.197,795,795,0,0,775,4,6,0,8,300.030
io2_l1n1n2_l3n1n2,15.413,924,924,0,0,840,4,6,0,10,300.030
io2_l1n1n2_l3n1n2_d1d2,15.254,1022,1022,0,0,967,4,6,0,10,300.030
io2_l1n1n2_l3n1p1,15.228,894,894,0,0,762,4,4,0,8,300.030
io2_l1n1n2_l3n1p1_d1d2,14.740,929,929,0,0,756,4,4,0,8,300.030
io2_l1n1n2_l3n1p2,15.466,1001,995,0,6,863,6,0,0,10,300.030
io2_l1n1n2_l3n1p2_d1d2,16.487,1152,1146,0,6,977,6,0,0,10,300.030
io2_l1n1n2_l3p1n1,31.517,4141,4141,0,0,4128,6,4,0,18,300.030
io2_l1n1n2_l3p1n1_d1d2,32.010,4419,4419,0,0,4203,6,4,0,18,300.030
io2_l1n1n2_l3p2n1,31.038,3670,3670,0,0,4870,6,4,0,20,300.030
io2_l1n1n2_l3p2n1_d1d2,46.450,6299,6299,0,0,6550,6,4,0,38,300.030
io2_l1n1p1_l3n1n1,12.230,727,727,0,0,662,4,6,0,5,300.030
io2_l1n1p1_l3n1n1_d1d2,12.593,770,770,0,0,689,4,6,0,5,300.030
io2_l1n1p1_l3n1n2,16.575,1010,1010,0,0,1004,4,6,0,10,300.030
io2_l1n1p1_l3n1n2_d1d2,16.568,1059,1059,0,0,978,4,6,0,10,300.030
io2_l1n1p1_l3n1p1,13.381,867,867,0,0,675,4,4,0,5,300.030
io2_l1n1p1_l3n1p1_d1d2,13.105,896,896,0,0,669,4,4,0,5,300.030
io2_l1n1p1_l3n1p2,17.404,1105,1099,0,6,998,6,0,0,10,300.030
io2_l1n1p1_l3n1p2_d1d2,17.381,1163,1157,0,6,986,6,0,0,10,300.030
io2_l1n1p1_l3p1n1,33.146,4237,4237,0,0,4199,6,4,0,18,300.030
io2_l1n1p1_l3p1n1_d1d2,33.617,4430,4430,0,0,4188,6,4,0,18,300.030
io2_l1n1p1_l3p2n1,33.211,3676,3676,0,0,4905,6,4,0,20,300.030
io2_l1n1p1_l3p2n1_d1d2,46.247,6551,6551,0,0,6575,6,4,0,38,300.030
io2_l1n1p2_l3n1n1,12.770,759,759,0,0,718,4,6,0,5,300.030
io2_l1n1p2_l3n1n1_d1d2,12.310,837,837,0,0,712,4,6,0,5,300.030
io2_l1n1p2_l3n1n2,16.391,1077,1077,0,0,911,4,6,0,10,300.030
io2_l1n1p2_l3n1n2_d1d2,16.899,1146,1146,0,0,1048,4,6,0,10,300.030
io2_l1n1p2_l3n1p1,13.613,871,871,0,0,734,4,4,0,5,300.030
io2_l1n1p2_l3n1p1_d1d2,13.846,901,901,0,0,728,4,4,0,5,300.030
io2_l1n1p2_l3n1p2,17.721,1150,1144,0,6,929,6,0,0,10,300.030
io2_l1n1p2_l3n1p2_d1d2,18.464,1243,1237,0,6,1045,6,0,0,10,300.030
io2_l1n1p2_l3p1n1,34.840,4376,4376,0,0,4151,6,4,0,18,300.030
