prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
io1_l1n1n1_l3n1n1,10.0,8.419,1.25,11,5,653,971,14,7,12,7,2x32,1x32
io1_l1n1n1_l3n1p1,10.0,8.419,1.25,12,5,781,1073,15,7,13,7,2x32,1x32
io1_l1n1n1_l3p1n1,10.0,8.835,1.25,12,10,3347,3312,138,69,12,69,2x32,1x32
io1_l1n1p1_l3n1n1,10.0,8.419,1.25,11,5,680,1048,15,7,13,7,2x32,1x32
io1_l1n1p1_l3n1p1,10.0,8.419,1.25,12,5,808,1134,16,7,14,7,2x32,1x32
io1_l1n1p1_l3p1n1,10.0,8.835,1.25,12,10,3374,3389,139,69,13,69,2x32,1x32
io1_l1p1n1_l3n1n1,10.0,8.835,1.25,12,10,8868,5201,138,69,12,69,2x32,1x32
io1_l1p1n1_l3n1p1,10.0,8.835,1.25,13,10,8996,5303,139,69,13,69,2x32,1x32
io1_l1p1n1_l3p1n1,10.0,8.905,1.25,13,10,10599,7095,262,131,10,131,2x32,1x32
io2_l1n1n1_l3n1n1,10.0,8.419,1.25,14,5,734,1321,14,7,12,7,3x32,1x32
io2_l1n1n1_l3n1n1_d1d2,10.0,8.419,1.25,14,5,740,1528,15,17,13,17,3x32,1x32
io2_l1n1n1_l3n1n2,10.0,8.419,1.25,14,10,1152,1606,16,7,14,7,3x32,1x32
io2_l1n1n1_l3n1n2_d1d2,10.0,8.419,1.25,14,10,1157,1803,17,12,15,12,3x32,1x32
io2_l1n1n1_l3n1p1,10.0,8.419,1.25,16,5,769,1452,15,7,13,7,3x32,1x32
io2_l1n1n1_l3n1p1_d1d2,10.0,8.419,1.25,16,5,762,1667,16,17,14,17,3x32,1x32
io2_l1n1n1_l3n1p2,10.0,8.419,1.25,18,10,1416,1824,17,7,15,7,3x32,1x32
io2_l1n1n1_l3n1p2_d1d2,10.0,8.419,1.25,18,10,1402,2020,18,12,16,12,3x32,1x32
io2_l1n1n1_l3p1n1,10.0,8.979,1.25,16,18,4573,4030,138,37,15,37,3x32,1x32
io2_l1n1n1_l3p1n1_d1d2,10.0,8.979,1.25,16,18,4571,4563,139,42,16,42,3x32,1x32
io2_l1n1n1_l3p2n1,10.0,8.835,1.25,16,20,5322,4651,266,69,16,69,3x32,1x32
io2_l1n1n1_l3p2n1_d1d2,10.0,8.944,1.25,16,38,7359,6067,267,42,24,42,3x32,1x32
io2_l1n1n2_l3n1n1,10.0,8.419,1.25,14,8,986,1429,16,7,13,7,3x32,1x32
io2_l1n1n2_l3n1n1_d1d2,10.0,8.419,1.25,14,8,991,1626,17,12,14,12,3x32,1x32
io2_l1n1n2_l3n1n2,10.0,8.419,1.25,14,10,1180,1579,18,7,14,7,3x32,1x32
io2_l1n1n2_l3n1n2_d1d2,10.0,8.419,1.25,14,10,1248,1796,19,7,15,7,3x32,1x32
io2_l1n1n2_l3n1p1,10.0,8.419,1.25,16,8,1021,1560,17,7,14,7,3x32,1x32
io2_l1n1n2_l3n1p1_d1d2,10.0,8.419,1.25,16,8,1013,1765,18,12,15,12,3x32,1x32
io2_l1n1n2_l3n1p2,10.0,8.419,1.25,18,10,1444,1797,19,7,15,7,3x32,1x32
io2_l1n1n2_l3n1p2_d1d2,10.0,8.419,1.25,18,10,1493,2013,20,7,16,7,3x32,1x32
io2_l1n1n2_l3p1n1,10.0,8.813,1.25,16,18,4569,3999,140,37,15,37,3x32,1x32
io2_l1n1n2_l3p1n1_d1d2,10.0,8.813,1.25,16,18,4630,4534,141,37,16,37,3x32,1x32
io2_l1n1n2_l3p2n1,10.0,8.933,1.25,16,20,5318,4609,268,69,16,69,3x32,1x32
io2_l1n1n2_l3p2n1_d1d2,10.0,8.955,1.25,16,38,7418,6033,269,37,24,37,3x32,1x32
io2_l1n1p1_l3n1n1,10.0,8.419,1.25,14,5,767,1404,15,7,13,7,3x32,1x32
io2_l1n1p1_l3n1n1_d1d2,10.0,8.419,1.25,14,5,773,1611,16,17,14,17,3x32,1x32
io2_l1n1p1_l3n1n2,10.0,8.419,1.25,14,10,1185,1689,17,7,15,7,3x32,1x32
io2_l1n1p1_l3n1n2_d1d2,10.0,8.419,1.25,14,10,1190,1886,18,12,16,12,3x32,1x32
io2_l1n1p1_l3n1p1,10.0,8.419,1.25,16,5,802,1535,16,7,14,7,3x32,1x32
io2_l1n1p1_l3n1p1_d1d2,10.0,8.419,1.25,16,5,795,1750,17,17,15,17,3x32,1x32
io2_l1n1p1_l3n1p2,10.0,8.419,1.25,18,10,1449,1907,18,7,16,7,3x32,1x32
io2_l1n1p1_l3n1p2_d1d2,10.0,8.419,1.25,18,10,1435,2103,19,12,17,12,3x32,1x32
io2_l1n1p1_l3p1n1,10.0,8.979,1.25,16,18,4599,4113,139,37,16,37,3x32,1x32
io2_l1n1p1_l3p1n1_d1d2,10.0,8.979,1.25,16,18,4597,4646,140,42,17,42,3x32,1x32
