prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lutc_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
io1_l1n1n1_l3n1n1,10.0,7.966,1.25,12,5,653,1001,14,7,12,7,3x32,2x32
io1_l1n1n1_l3n1p1,10.0,7.966,1.25,12,5,680,1078,15,7,13,7,3x32,2x32
io1_l1n1n1_l3p1n1,10.0,8.59,1.25,13,10,8900,5237,138,69,12,69,3x32,2x32
io1_l1n1p1_l3n1n1,10.0,7.966,1.25,13,5,781,1103,15,7,13,7,3x32,2x32
io1_l1n1p1_l3n1p1,10.0,7.966,1.25,13,5,808,1164,16,7,14,7,3x32,2x32
io1_l1n1p1_l3p1n1,10.0,8.59,1.25,14,10,9028,5339,139,69,13,69,3x32,2x32
io1_l1p1n1_l3n1n1,10.0,8.59,1.25,13,10,3347,3348,138,69,12,69,3x32,2x32
io1_l1p1n1_l3n1p1,10.0,8.59,1.25,13,10,3374,3425,139,69,13,69,3x32,2x32
io1_l1p1n1_l3p1n1,10.0,7.984,1.25,14,10,10631,7131,262,131,10,131,3x32,2x32
io2_l1n1n1_l3n1n1,10.0,8.423,1.25,16,5,781,1385,14,7,12,7,4x32,2x32
io2_l1n1n1_l3n1n1_d1d2,10.0,8.423,1.25,16,5,786,1592,15,17,13,17,4x32,2x32
io2_l1n1n1_l3n1n2,10.0,8.423,1.25,16,8,1033,1495,16,7,13,7,4x32,2x32
io2_l1n1n1_l3n1n2_d1d2,10.0,8.423,1.25,16,8,1037,1692,17,12,14,12,4x32,2x32
io2_l1n1n1_l3n1p1,10.0,8.423,1.25,16,5,814,1468,15,7,13,7,4x32,2x32
io2_l1n1n1_l3n1p1_d1d2,10.0,8.423,1.25,16,5,812,1675,16,17,14,17,4x32,2x32
io2_l1n1n1_l3n1p2,10.0,8.423,1.25,16,5,936,1452,17,7,13,7,4x32,2x32
io2_l1n1n1_l3n1p2_d1d2,10.0,8.423,1.25,16,5,941,1649,18,12,14,12,4x32,2x32
io2_l1n1n1_l3p1n1,10.0,9.101,1.25,18,14,4041,4319,138,37,13,37,4x32,2x32
io2_l1n1n1_l3p1n1_d1d2,10.0,9.101,1.25,18,14,3987,4798,139,42,14,42,4x32,2x32
io2_l1n1n1_l3p2n1,10.0,9.047,1.25,18,20,15517,8656,266,69,16,69,4x32,2x32
io2_l1n1n1_l3p2n1_d1d2,10.0,9.01,1.25,18,40,18528,10826,267,42,25,42,4x32,2x32
io2_l1n1n2_l3n1n1,10.0,8.423,1.25,16,10,1199,1676,16,7,14,7,4x32,2x32
io2_l1n1n2_l3n1n1_d1d2,10.0,8.423,1.25,16,10,1203,1873,17,12,15,12,4x32,2x32
io2_l1n1n2_l3n1n2,10.0,8.423,1.25,16,10,1227,1649,18,7,14,7,4x32,2x32
