prj,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks,freq(MHz)
io1_l1n1n1_l3n1n1,8.955,524,524,0,0,453,4,4,5,100
io1_l1n1n1_l3n1p1,9.900,650,650,0,0,485,4,4,5,100
io1_l1n1n1_l3p1n1,27.823,4229,3631,0,598,7385,5,3,10,100
io1_l1n1p1_l3n1n1,11.534,570,563,0,7,473,5,3,5,100
io1_l1n1p1_l3n1p1,14.167,686,679,0,7,505,5,3,5,100
io1_l1n1p1_l3p1n1,45.732,4283,3678,0,605,7392,6,2,10,100
io1_l1p1n1_l3n1n1,21.953,2278,2278,0,0,3099,5,3,10,100
io1_l1p1n1_l3n1p1,24.978,2405,2405,0,0,3164,5,3,10,100
io1_l1p1n1_l3p1n1,52.093,5600,5002,0,598,9220,6,2,10,100
io2_l1n1n1_l3n1n1,10.895,646,646,0,0,662,4,8,5,100
io2_l1n1n1_l3n1n1_d1d2,11.690,767,767,0,0,795,4,8,5,100
io2_l1n1n1_l3n1n2,13.966,753,753,0,0,782,4,8,8,100
io2_l1n1n1_l3n1n2_d1d2,14.246,822,822,0,0,850,4,8,8,100
io2_l1n1n1_l3n1p1,12.498,785,785,0,0,702,4,8,5,100
io2_l1n1n1_l3n1p1_d1d2,12.989,826,826,0,0,766,4,8,5,100
io2_l1n1n1_l3n1p2,12.521,783,783,0,0,754,4,8,5,100
io2_l1n1n1_l3n1p2_d1d2,13.172,860,860,0,0,829,4,8,5,100
io2_l1n1n1_l3p1n1,24.570,2357,2357,0,0,3762,4,6,14,100
io2_l1n1n1_l3p1n1_d1d2,24.984,2445,2445,0,0,3744,4,6,14,100
io2_l1n1n1_l3p2n1,41.681,7303,6114,0,1189,12460,6,6,20,100
io2_l1n1n1_l3p2n1_d1d2,53.699,9165,7528,0,1637,14161,6,6,40,100
io2_l1n1n2_l3n1n1,15.429,958,958,0,0,1003,4,8,10,100
io2_l1n1n2_l3n1n1_d1d2,15.613,1038,1038,0,0,1052,4,8,10,100
io2_l1n1n2_l3n1n2,15.707,979,979,0,0,879,4,8,10,100
io2_l1n1n2_l3n1n2_d1d2,16.028,1065,1065,0,0,1011,4,8,10,100
io2_l1n1n2_l3n1p1,17.320,1055,1055,0,0,1021,4,8,10,100
io2_l1n1n2_l3n1p1_d1d2,16.809,1106,1106,0,0,1018,4,8,10,100
io2_l1n1n2_l3n1p2,16.350,1093,1093,0,0,949,4,8,10,100
io2_l1n1n2_l3n1p2_d1d2,17.249,1162,1162,0,0,1086,4,8,10,100
io2_l1n1n2_l3p1n1,27.520,2561,2561,0,0,3915,4,6,16,100
io2_l1n1n2_l3p1n1_d1d2,27.264,2639,2639,0,0,3913,4,6,16,100
io2_l1n1n2_l3p2n1,45.946,7943,6754,0,1189,12458,6,6,20,100
io2_l1n1n2_l3p2n1_d1d2,58.967,9673,8036,0,1637,14198,6,6,40,100
io2_l1n1p1_l3n1n1,12.147,785,785,0,0,678,4,6,5,100
io2_l1n1p1_l3n1n1_d1d2,12.438,838,838,0,0,672,4,6,5,100
io2_l1n1p1_l3n1n2,15.712,857,857,0,0,801,4,6,8,100
io2_l1n1p1_l3n1n2_d1d2,15.153,904,904,0,0,794,4,6,8,100
io2_l1n1p1_l3n1p1,13.970,881,881,0,0,714,4,6,5,100
io2_l1n1p1_l3n1p1_d1d2,14.456,940,940,0,0,701,4,6,5,100
io2_l1n1p1_l3n1p2,13.982,899,899,0,0,773,4,6,5,100
io2_l1n1p1_l3n1p2_d1d2,13.974,988,988,0,0,767,4,6,5,100
io2_l1n1p1_l3p1n1,27.708,2481,2481,0,0,3779,8,4,14,100
io2_l1n1p1_l3p1n1_d1d2,28.065,2522,2522,0,0,3684,8,4,14,100
io2_l1n1p1_l3p2n1,45.336,7485,6296,0,1189,12457,8,4,20,100
io2_l1n1p1_l3p2n1_d1d2,57.850,9341,7704,0,1637,14143,8,4,40,100
io2_l1n1p2_l3n1n1,17.595,1047,1041,0,6,1001,6,4,10,100
io2_l1n1p2_l3n1n1_d1d2,17.336,1151,1145,0,6,990,6,4,10,100
io2_l1n1p2_l3n1n2,17.800,1055,1049,0,6,900,6,4,10,100
io2_l1n1p2_l3n1n2_d1d2,18.804,1163,1157,0,6,1019,6,4,10,100
io2_l1n1p2_l3n1p1,20.596,1162,1156,0,6,1037,6,4,10,100
io2_l1n1p2_l3n1p1_d1d2,20.694,1215,1209,0,6,1019,6,4,10,100
io2_l1n1p2_l3n1p2,19.827,1195,1189,0,6,968,6,4,10,100
io2_l1n1p2_l3n1p2_d1d2,20.346,1270,1264,0,6,1084,6,4,10,100
io2_l1n1p2_l3p1n1,31.563,2670,2664,0,6,3947,10,0,16,100
io2_l1n1p2_l3p1n1_d1d2,32.970,2798,2792,0,6,3941,10,0,16,100
