prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
io1_l2n1n1_l4n1n1,10.0,7.966,1.25,32,5,758,1245,22,9,19,9,5x32,1x32
io1_l2n1n1_l4n1p1,10.0,7.966,1.25,32,5,933,1362,23,9,20,9,5x32,1x32
io1_l2n1n1_l4p1n1,10.0,8.644,1.25,32,5,4578,3920,146,71,17,71,5x32,1x32
io1_l2n1p1_l4n1n1,10.0,7.966,1.25,32,5,860,1420,24,12,21,12,5x32,1x32
io1_l2n1p1_l4n1p1,10.0,7.966,1.25,32,5,1035,1523,25,12,22,12,5x32,1x32
io1_l2n1p1_l4p1n1,10.0,8.644,1.25,32,5,4648,4078,148,74,19,74,5x32,1x32
io1_l2p1n1_l4n1n1,10.0,7.966,1.25,32,16,8070,10681,230,134,42,134,5x32,1x32
io1_l2p1n1_l4n1p1,10.0,8.59,1.25,32,16,8277,10816,231,134,43,134,5x32,1x32
io1_l2p1n1_l4p1n1,10.0,8.016,1.25,32,16,11730,13342,354,196,40,196,5x32,1x32
io2_l2n1n1_l4n1n1,10.0,8.423,1.25,32,5,776,1514,22,9,19,9,8x32,2x32
io2_l2n1n1_l4n1n1_d1d2,10.0,7.966,1.25,32,5,851,2162,23,26,20,26,8x32,2x32
io2_l2n1n1_l4n1n2,10.0,8.423,1.25,32,10,1175,1805,24,9,21,9,8x32,2x32
io2_l2n1n1_l4n1n2_d1d2,10.0,8.423,1.25,32,5,881,2116,25,21,20,21,8x32,2x32
io2_l2n1n1_l4n1p1,10.0,8.423,1.25,32,5,795,1559,23,9,20,9,8x32,2x32
io2_l2n1n1_l4n1p1_d1d2,10.0,7.966,1.25,32,5,870,2207,24,26,21,26,8x32,2x32
io2_l2n1n1_l4n1p2,10.0,8.423,1.25,32,10,1431,1956,25,9,22,9,8x32,2x32
io2_l2n1n1_l4n1p2_d1d2,10.0,8.423,1.25,32,10,1697,2666,26,21,23,21,8x32,2x32
io2_l2n1n1_l4p1n1,10.0,9.047,1.25,32,10,5334,3948,146,39,19,39,8x32,2x32
io2_l2n1n1_l4p1n1_d1d2,10.0,8.48,1.25,32,18,5306,6191,147,51,23,51,8x32,2x32
io2_l2n1n1_l4p2n1,10.0,9.101,1.25,32,10,8755,6057,274,71,19,71,8x32,2x32
io2_l2n1n1_l4p2n1_d1d2,10.0,8.518,1.25,32,20,10251,6452,275,51,24,51,8x32,2x32
io2_l2n1n2_l4n1n1,10.0,8.423,1.25,32,8,1027,1723,25,10,20,10,8x32,2x32
io2_l2n1n2_l4n1n1_d1d2,10.0,7.966,1.25,32,8,1101,2288,26,19,21,19,8x32,2x32
io2_l2n1n2_l4n1n2,10.0,8.423,1.25,32,10,1266,1889,27,10,21,10,8x32,2x32
io2_l2n1n2_l4n1n2_d1d2,10.0,8.423,1.25,32,8,1131,2242,28,14,21,14,8x32,2x32
io2_l2n1n2_l4n1p1,10.0,8.423,1.25,32,8,1046,1768,26,10,21,10,8x32,2x32
io2_l2n1n2_l4n1p1_d1d2,10.0,7.966,1.25,32,8,1120,2333,27,19,22,19,8x32,2x32
io2_l2n1n2_l4n1p2,10.0,8.423,1.25,32,10,1522,2040,28,10,22,10,8x32,2x32
io2_l2n1n2_l4n1p2_d1d2,10.0,8.423,1.25,32,10,1787,2667,29,14,23,14,8x32,2x32
io2_l2n1n2_l4p1n1,10.0,9.634,1.25,32,10,5393,4008,149,40,19,40,8x32,2x32
io2_l2n1n2_l4p1n1_d1d2,10.0,8.48,1.25,32,18,5364,6170,150,44,23,44,8x32,2x32
io2_l2n1n2_l4p2n1,10.0,9.687,1.25,32,10,8814,6117,277,72,19,72,8x32,2x32
io2_l2n1n2_l4p2n1_d1d2,10.0,8.518,1.25,32,20,10309,6429,278,44,24,44,8x32,2x32
io2_l2n1p1_l4n1n1,10.0,8.423,1.25,32,5,896,1711,24,13,21,13,8x32,2x32
io2_l2n1p1_l4n1n1_d1d2,10.0,7.966,1.25,32,5,941,2390,25,38,22,38,8x32,2x32
io2_l2n1p1_l4n1n2,10.0,8.423,1.25,32,10,1295,2002,26,13,23,13,8x32,2x32
io2_l2n1p1_l4n1n2_d1d2,10.0,8.423,1.25,32,5,971,2344,27,33,22,33,8x32,2x32
io2_l2n1p1_l4n1p1,10.0,8.423,1.25,32,5,915,1756,25,13,22,13,8x32,2x32
io2_l2n1p1_l4n1p1_d1d2,10.0,7.966,1.25,32,5,960,2435,26,38,23,38,8x32,2x32
io2_l2n1p1_l4n1p2,10.0,8.423,1.25,32,10,1551,2139,27,13,24,13,8x32,2x32
io2_l2n1p1_l4n1p2_d1d2,10.0,8.423,1.25,32,10,1787,2879,28,33,25,33,8x32,2x32
io2_l2n1p1_l4p1n1,10.0,9.047,1.25,32,10,5422,4126,148,43,21,43,8x32,2x32
io2_l2n1p1_l4p1n1_d1d2,10.0,8.48,1.25,32,18,5396,6411,149,63,25,63,8x32,2x32
io2_l2n1p1_l4p2n1,10.0,9.101,1.25,32,10,8843,6235,276,75,21,75,8x32,2x32
io2_l2n1p1_l4p2n1_d1d2,10.0,8.518,1.25,32,20,10341,6672,277,63,26,63,8x32,2x32
io2_l2n1p2_l4n1n1,10.0,8.423,1.25,32,5,990,1773,28,14,22,14,8x32,2x32
io2_l2n1p2_l4n1n1_d1d2,10.0,7.966,1.25,32,5,1067,2360,28,30,22,30,8x32,2x32
io2_l2n1p2_l4n1n2,10.0,8.423,1.25,32,10,1389,2064,30,14,24,14,8x32,2x32
io2_l2n1p2_l4n1n2_d1d2,10.0,8.423,1.25,32,5,1097,2313,30,25,22,25,8x32,2x32
io2_l2n1p2_l4n1p1,10.0,8.423,1.25,32,5,1009,1818,29,14,23,14,8x32,2x32
io2_l2n1p2_l4n1p1_d1d2,10.0,7.966,1.25,32,5,1086,2405,29,30,23,30,8x32,2x32
io2_l2n1p2_l4n1p2,10.0,8.423,1.25,32,10,1645,2215,31,14,25,14,8x32,2x32
io2_l2n1p2_l4n1p2_d1d2,10.0,8.423,1.25,32,10,1913,2864,31,25,25,25,8x32,2x32
io2_l2n1p2_l4p1n1,10.0,9.634,1.25,32,10,5484,4182,152,44,22,44,8x32,2x32
io2_l2n1p2_l4p1n1_d1d2,10.0,8.518,1.25,32,18,5458,6364,152,55,25,55,8x32,2x32
io2_l2n1p2_l4p2n1,10.0,9.687,1.25,32,10,8905,6291,280,76,22,76,8x32,2x32
io2_l2n1p2_l4p2n1_d1d2,10.0,8.555,1.25,32,20,10403,6621,280,55,26,55,8x32,2x32
io2_l2p1n1_l4n1n1,10.0,9.101,1.25,32,182,13452,15164,230,70,97,70,8x32,2x32
io2_l2p1n1_l4n1n1_d1d2,10.0,9.108,1.25,32,176,17959,20415,222,80,87,80,8x32,2x32
io2_l2p1n1_l4n1n2,10.0,9.101,1.25,32,184,13691,15329,232,70,98,70,8x32,2x32
io2_l2p1n1_l4n1n2_d1d2,10.0,9.694,1.25,32,176,17861,20351,224,75,87,75,8x32,2x32
io2_l2p1n1_l4n1p1,10.0,9.101,1.25,32,182,13471,15209,231,70,98,70,8x32,2x32
io2_l2p1n1_l4n1p1_d1d2,10.0,9.108,1.25,32,176,17850,20444,223,80,88,80,8x32,2x32
io2_l2p1n1_l4n1p2,10.0,9.101,1.25,32,184,13947,15480,233,70,99,70,8x32,2x32
io2_l2p1n1_l4n1p2_d1d2,10.0,9.108,1.25,32,178,18517,20775,225,75,89,75,8x32,2x32
io2_l2p1n1_l4p1n1,10.0,9.132,1.25,32,184,17951,17461,354,100,96,100,8x32,2x32
io2_l2p1n1_l4p1n1_d1d2,10.0,9.785,1.25,32,30,13796,17467,346,105,37,105,8x32,2x32
io2_l2p1n1_l4p2n1,10.0,9.164,1.25,32,136,18843,17564,482,132,80,132,8x32,2x32
io2_l2p1n1_l4p2n1_d1d2,10.0,9.139,1.25,32,62,20501,19049,474,105,48,105,8x32,2x32
io2_l2p2n1_l4n1n1,10.0,7.966,1.25,32,26,15843,11712,358,70,46,70,8x32,2x32
io2_l2p2n1_l4n1n1_d1d2,10.0,7.966,1.25,32,52,20653,17582,350,75,48,75,8x32,2x32
io2_l2p2n1_l4n1n2,10.0,8.59,1.25,32,26,15855,11662,360,70,46,70,8x32,2x32
io2_l2p2n1_l4n1n2_d1d2,10.0,9.597,1.25,32,52,20683,17531,352,70,48,70,8x32,2x32
io2_l2p2n1_l4n1p1,10.0,7.966,1.25,32,26,15862,11757,359,70,47,70,8x32,2x32
io2_l2p2n1_l4n1p1_d1d2,10.0,7.966,1.25,32,52,20672,17627,351,75,49,75,8x32,2x32
io2_l2p2n1_l4n1p2,10.0,8.59,1.25,32,26,16111,11813,361,70,47,70,8x32,2x32
io2_l2p2n1_l4n1p2_d1d2,10.0,9.01,1.25,32,52,21112,17757,353,70,49,70,8x32,2x32
io2_l2p2n1_l4p1n1,10.0,7.984,1.25,32,26,19502,13719,482,100,44,100,8x32,2x32
io2_l2p2n1_l4p1n1_d1d2,10.0,7.966,1.25,32,52,23662,20704,474,100,46,100,8x32,2x32
io2_l2p2n1_l4p2n1,10.0,8.016,1.25,32,26,22923,15820,610,132,44,132,8x32,2x32
io2_l2p2n1_l4p2n1_d1d2,10.0,7.969,1.25,32,52,28252,20681,602,100,46,100,8x32,2x32
io4_l2n1n1_l4n1n1,10.0,7.966,1.25,32,5,974,1685,22,9,19,9,14x32,4x32
io4_l2n1n1_l4n1n1_d1d2,10.0,7.966,1.25,64,5,1018,3468,23,9,20,9,14x32,4x32
io4_l2n1n1_l4n1n2,10.0,8.423,1.25,32,5,956,1817,24,12,19,12,14x32,4x32
io4_l2n1n1_l4n1n2_d1d2,10.0,7.966,1.25,64,5,1097,3656,25,12,20,12,14x32,4x32
io4_l2n1n1_l4n1n4,10.0,7.966,1.25,32,20,2157,2708,28,9,25,9,14x32,4x32
io4_l2n1n1_l4n1n4_d1d2,10.0,7.969,1.25,64,5,1720,3269,29,9,20,9,14x32,4x32
io4_l2n1n1_l4n1p1,10.0,7.966,1.25,32,5,993,1730,23,9,20,9,14x32,4x32
io4_l2n1n1_l4n1p1_d1d2,10.0,7.966,1.25,64,5,1039,3513,24,9,21,9,14x32,4x32
io4_l2n1n1_l4n1p2,10.0,7.966,1.25,32,10,1392,2188,25,12,22,12,14x32,4x32
io4_l2n1n1_l4n1p2_d1d2,10.0,7.966,1.25,64,10,1490,4015,26,12,23,12,14x32,4x32
io4_l2n1n1_l4n1p4,10.0,7.966,1.25,32,20,2540,2898,29,9,26,9,14x32,4x32
io4_l2n1n1_l4n1p4_d1d2,10.0,7.966,1.25,80,20,3546,5353,30,9,27,9,14x32,4x32
io4_l2n1n1_l4p1n1,10.0,8.48,1.25,32,20,7263,4685,146,23,23,23,14x32,4x32
io4_l2n1n1_l4p1n1_d1d2,10.0,7.966,1.25,96,40,7626,11493,147,23,32,23,14x32,4x32
io4_l2n1n1_l4p2n1,10.0,8.518,1.25,32,20,10398,6535,274,39,23,39,14x32,4x32
io4_l2n1n1_l4p2n1_d1d2,10.0,7.966,1.25,96,78,13750,15821,275,26,47,26,14x32,4x32
