prj,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks,freq(MHz)
io1_l2n1n1_l4n1n1,17.931,650,650,0,0,586,16,0,5,100
io1_l2n1n1_l4n1p1,17.973,664,655,0,9,529,16,0,5,100
io1_l2n1n1_l4p1n1,28.534,4116,4116,0,0,4202,16,0,5,100
io1_l2n1p1_l4n1n1,25.341,801,801,0,0,697,16,0,5,100
io1_l2n1p1_l4n1p1,24.182,828,819,0,9,641,16,0,5,100
io1_l2n1p1_l4p1n1,34.911,4025,4025,0,0,4275,16,0,5,100
io1_l2p1n1_l4n1n1,128.622,3755,3155,0,600,5911,16,0,16,100
io1_l2p1n1_l4n1p1,126.471,3770,3161,0,609,5923,16,0,16,100
io1_l2p1n1_l4p1n1,140.818,6927,6327,0,600,10329,16,0,16,100
io2_l2n1n1_l4n1n1,17.809,720,720,0,0,648,16,0,5,100
io2_l2n1n1_l4n1n1_d1d2,19.090,951,951,0,0,875,16,0,5,100
io2_l2n1n1_l4n1n2,21.535,982,982,0,0,843,16,0,10,100
io2_l2n1n1_l4n1n2_d1d2,19.492,972,972,0,0,771,16,0,5,100
io2_l2n1n1_l4n1p1,17.554,732,732,0,0,660,16,0,5,100
io2_l2n1n1_l4n1p1_d1d2,19.155,930,930,0,0,798,16,0,5,100
io2_l2n1n1_l4n1p2,22.476,1041,1034,0,7,815,16,0,10,100
io2_l2n1n1_l4n1p2_d1d2,23.964,1238,1231,0,7,1049,16,0,10,100
io2_l2n1n1_l4p1n1,29.860,3983,3983,0,0,4745,12,0,10,100
io2_l2n1n1_l4p1n1_d1d2,37.339,4561,4561,0,0,4281,12,0,18,100
io2_l2n1n1_l4p2n1,37.843,6616,6616,0,0,7925,16,0,10,100
io2_l2n1n1_l4p2n1_d1d2,41.166,6044,6044,0,0,9245,12,0,20,100
io2_l2n1n2_l4n1n1,21.950,879,879,0,0,762,16,0,8,100
io2_l2n1n2_l4n1n1_d1d2,22.692,1036,1036,0,0,1004,16,0,8,100
io2_l2n1n2_l4n1n2,23.352,1046,1046,0,0,895,16,0,10,100
io2_l2n1n2_l4n1n2_d1d2,21.823,1046,1046,0,0,927,16,0,8,100
io2_l2n1n2_l4n1p1,21.781,866,866,0,0,776,16,0,8,100
io2_l2n1n2_l4n1p1_d1d2,21.668,997,997,0,0,911,16,0,8,100
io2_l2n1n2_l4n1p2,23.614,1111,1104,0,7,867,16,0,10,100
io2_l2n1n2_l4n1p2_d1d2,23.912,1282,1275,0,7,1165,16,0,10,100
io2_l2n1n2_l4p1n1,33.345,4152,4152,0,0,4767,16,0,10,100
io2_l2n1n2_l4p1n1_d1d2,38.752,4522,4522,0,0,4369,12,0,18,100
io2_l2n1n2_l4p2n1,40.685,6744,6744,0,0,7951,16,0,10,100
io2_l2n1n2_l4p2n1_d1d2,43.289,6095,6095,0,0,9200,12,0,20,100
io2_l2n1p1_l4n1n1,24.909,896,896,0,0,774,16,0,5,100
io2_l2n1p1_l4n1n1_d1d2,26.159,1138,1138,0,0,977,16,0,5,100
io2_l2n1p1_l4n1n2,29.074,1165,1165,0,0,969,16,0,10,100
io2_l2n1p1_l4n1n2_d1d2,25.273,1163,1163,0,0,874,16,0,5,100
io2_l2n1p1_l4n1p1,25.300,907,907,0,0,787,16,0,5,100
io2_l2n1p1_l4n1p1_d1d2,25.035,1084,1084,0,0,859,16,0,5,100
io2_l2n1p1_l4n1p2,29.633,1220,1213,0,7,941,16,0,10,100
io2_l2n1p1_l4n1p2_d1d2,29.189,1382,1375,0,7,1110,16,0,10,100
io2_l2n1p1_l4p1n1,34.299,4089,4089,0,0,4837,12,0,10,100
io2_l2n1p1_l4p1n1_d1d2,41.419,4625,4625,0,0,4377,12,0,18,100
io2_l2n1p1_l4p2n1,41.451,6873,6873,0,0,8007,12,0,10,100
io2_l2n1p1_l4p2n1_d1d2,52.327,6193,6193,0,0,9248,16,0,20,100
io2_l2n1p2_l4n1n1,24.708,1023,1023,0,0,806,16,0,5,100
io2_l2n1p2_l4n1n1_d1d2,23.322,1192,1192,0,0,1080,16,0,5,100
io2_l2n1p2_l4n1n2,27.972,1249,1249,0,0,999,16,0,10,100
io2_l2n1p2_l4n1n2_d1d2,23.947,1219,1219,0,0,999,16,0,5,100
io2_l2n1p2_l4n1p1,25.459,1022,1022,0,0,818,16,0,5,100
io2_l2n1p2_l4n1p1_d1d2,23.177,1128,1128,0,0,983,16,0,5,100
io2_l2n1p2_l4n1p2,28.647,1292,1285,0,7,974,16,0,10,100
io2_l2n1p2_l4n1p2_d1d2,26.594,1449,1442,0,7,1235,16,0,10,100
io2_l2n1p2_l4p1n1,36.567,4087,4087,0,0,4832,16,0,10,100
io2_l2n1p2_l4p1n1_d1d2,40.444,4650,4650,0,0,4437,12,0,18,100
io2_l2n1p2_l4p2n1,45.029,6874,6874,0,0,8002,16,0,10,100
io2_l2n1p2_l4p2n1_d1d2,49.104,6626,6626,0,0,9516,12,0,20,100
io2_l2p1n1_l4n1n1,100.478,7426,7426,0,0,7494,16,0,182,100
io2_l2p1n1_l4n1n1_d1d2,109.554,10727,10727,0,0,18487,16,0,176,100
io2_l2p1n1_l4n1n2,96.474,7508,7508,0,0,7725,12,0,184,100
io2_l2p1n1_l4n1n2_d1d2,104.576,10752,10752,0,0,15278,16,0,176,100
io2_l2p1n1_l4n1p1,97.001,7423,7423,0,0,7506,16,0,182,100
io2_l2p1n1_l4n1p1_d1d2,101.290,10648,10648,0,0,15269,16,0,176,100
