prj,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks,freq(MHz)
io1_l2n1n1_l4n1n1,13.326,645,645,0,0,586,16,0,0,5,300.030
io1_l2n1n1_l4n1p1,13.207,656,647,0,9,529,16,0,0,5,300.030
io1_l2n1n1_l4p1n1,24.084,4131,4131,0,0,4202,16,0,0,5,300.030
io1_l2n1p1_l4n1n1,16.977,813,813,0,0,682,16,0,0,5,300.030
io1_l2n1p1_l4n1p1,17.611,833,824,0,9,626,16,0,0,5,300.030
io1_l2n1p1_l4p1n1,28.438,3994,3994,0,0,4252,16,0,0,5,300.030
io1_l2p1n1_l4n1n1,80.987,3752,3152,0,600,5907,16,0,0,16,300.030
io1_l2p1n1_l4n1p1,90.148,3771,3162,0,609,5944,16,0,0,16,300.030
io1_l2p1n1_l4p1n1,99.278,6887,6287,0,600,9968,16,0,0,16,300.030
io2_l2n1n1_l4n1n1,13.490,727,727,0,0,645,16,0,0,5,300.030
io2_l2n1n1_l4n1n1_d1d2,13.746,971,971,0,0,650,16,0,0,5,300.030
io2_l2n1n1_l4n1n2,16.421,992,992,0,0,905,16,0,0,10,300.030
io2_l2n1n1_l4n1n2_d1d2,13.755,932,932,0,0,677,16,0,0,5,300.030
io2_l2n1n1_l4n1p1,13.575,731,731,0,0,657,16,0,0,5,300.030
io2_l2n1n1_l4n1p1_d1d2,13.698,934,934,0,0,661,16,0,0,5,300.030
io2_l2n1n1_l4n1p2,17.619,1034,1025,0,9,877,16,0,0,10,300.030
io2_l2n1n1_l4n1p2_d1d2,17.987,1233,1224,0,9,946,16,0,0,10,300.030
io2_l2n1n1_l4p1n1,25.539,3950,3950,0,0,4743,12,0,0,10,300.030
io2_l2n1n1_l4p1n1_d1d2,29.885,4513,4513,0,0,4253,12,0,0,18,300.030
io2_l2n1n1_l4p2n1,31.984,6570,6570,0,0,7924,16,0,0,10,300.030
io2_l2n1n1_l4p2n1_d1d2,35.514,6164,6164,0,0,9040,12,0,0,20,300.030
io2_l2n1n2_l4n1n1,17.366,866,866,0,0,762,16,0,0,8,300.030
io2_l2n1n2_l4n1n1_d1d2,16.770,1021,1021,0,0,928,16,0,0,8,300.030
io2_l2n1n2_l4n1n2,19.069,1066,1066,0,0,958,16,0,0,10,300.030
io2_l2n1n2_l4n1n2_d1d2,16.822,950,950,0,0,870,16,0,0,8,300.030
io2_l2n1n2_l4n1p1,17.475,879,879,0,0,774,16,0,0,8,300.030
io2_l2n1n2_l4n1p1_d1d2,16.378,980,980,0,0,859,16,0,0,8,300.030
io2_l2n1n2_l4n1p2,19.561,1104,1095,0,9,930,16,0,0,10,300.030
io2_l2n1n2_l4n1p2_d1d2,19.526,1226,1217,0,9,1067,16,0,0,10,300.030
io2_l2n1n2_l4p1n1,29.451,4126,4126,0,0,4765,16,0,0,10,300.030
io2_l2n1n2_l4p1n1_d1d2,30.829,4490,4490,0,0,4340,12,0,0,18,300.030
io2_l2n1n2_l4p2n1,35.819,6706,6706,0,0,7949,16,0,0,10,300.030
io2_l2n1n2_l4p2n1_d1d2,36.555,6042,6042,0,0,9194,12,0,0,20,300.030
io2_l2n1p1_l4n1n1,17.895,881,881,0,0,736,16,0,0,5,300.030
io2_l2n1p1_l4n1n1_d1d2,18.070,1140,1140,0,0,764,16,0,0,5,300.030
io2_l2n1p1_l4n1n2,21.383,1144,1144,0,0,996,16,0,0,10,300.030
io2_l2n1p1_l4n1n2_d1d2,18.049,1103,1103,0,0,791,16,0,0,5,300.030
io2_l2n1p1_l4n1p1,17.625,887,887,0,0,750,16,0,0,5,300.030
io2_l2n1p1_l4n1p1_d1d2,17.875,1072,1072,0,0,775,16,0,0,5,300.030
io2_l2n1p1_l4n1p2,21.788,1182,1173,0,9,970,16,0,0,10,300.030
io2_l2n1p1_l4n1p2_d1d2,22.256,1379,1370,0,9,1060,16,0,0,10,300.030
io2_l2n1p1_l4p1n1,28.886,4002,4002,0,0,4798,12,0,0,10,300.030
io2_l2n1p1_l4p1n1_d1d2,34.007,4590,4590,0,0,4375,12,0,0,18,300.030
io2_l2n1p1_l4p2n1,35.166,6736,6736,0,0,7988,12,0,0,10,300.030
io2_l2n1p1_l4p2n1_d1d2,41.380,6050,6050,0,0,9210,16,0,0,20,300.030
io2_l2n1p2_l4n1n1,18.988,986,986,0,0,769,16,0,0,5,300.030
io2_l2n1p2_l4n1n1_d1d2,17.867,1180,1180,0,0,907,16,0,0,5,300.030
io2_l2n1p2_l4n1n2,22.187,1225,1225,0,0,1027,16,0,0,10,300.030
io2_l2n1p2_l4n1n2_d1d2,18.267,1198,1198,0,0,934,16,0,0,5,300.030
io2_l2n1p2_l4n1p1,19.305,997,997,0,0,782,16,0,0,5,300.030
io2_l2n1p2_l4n1p1_d1d2,17.553,1123,1123,0,0,919,16,0,0,5,300.030
io2_l2n1p2_l4n1p2,22.973,1260,1251,0,9,1001,16,0,0,10,300.030
io2_l2n1p2_l4n1p2_d1d2,21.950,1434,1425,0,9,1203,16,0,0,10,300.030
io2_l2n1p2_l4p1n1,32.945,4054,4054,0,0,4794,16,0,0,10,300.030
io2_l2n1p2_l4p1n1_d1d2,33.879,4623,4623,0,0,4450,12,0,0,18,300.030
io2_l2n1p2_l4p2n1,37.098,6904,6904,0,0,7985,12,0,0,10,300.030
io2_l2n1p2_l4p2n1_d1d2,40.014,6077,6077,0,0,9279,16,0,0,20,300.030
io2_l2p1n1_l4n1n1,105.663,7420,7420,0,0,7544,16,0,0,182,300.030
io2_l2p1n1_l4n1n1_d1d2,112.311,10676,10676,0,0,12361,16,0,0,176,300.030
io2_l2p1n1_l4n1n2,105.695,7510,7510,0,0,7711,12,0,0,184,300.030
io2_l2p1n1_l4n1n2_d1d2,114.349,10858,10858,0,0,15080,16,0,0,176,300.030
io2_l2p1n1_l4n1p1,106.104,7414,7414,0,0,7546,16,0,0,182,300.030
io2_l2p1n1_l4n1p1_d1d2,113.813,10654,10654,0,0,15061,16,0,0,176,300.030
io2_l2p1n1_l4n1p2,106.831,7650,7641,0,9,7744,12,0,0,184,300.030
io2_l2p1n1_l4n1p2_d1d2,117.336,10911,10902,0,9,17975,16,0,0,178,300.030
io2_l2p1n1_l4p1n1,116.217,10621,10621,0,0,11685,16,0,0,184,300.030
io2_l2p1n1_l4p1n1_d1d2,83.531,11605,11605,0,0,14509,16,0,0,84,300.030
io2_l2p1n1_l4p2n1,107.258,12729,12729,0,0,14209,16,0,0,148,300.030
io2_l2p1n1_l4p2n1_d1d2,77.739,13392,13392,0,0,18399,16,0,0,47,300.030
io2_l2p2n1_l4n1n1,143.124,8834,7639,0,1195,12474,16,0,0,26,300.030
io2_l2p2n1_l4n1n1_d1d2,163.580,10611,8970,0,1641,15847,16,0,0,52,300.030
io2_l2p2n1_l4n1n2,165.511,8750,7555,0,1195,12476,16,0,0,26,300.030
io2_l2p2n1_l4n1n2_d1d2,170.805,11414,9773,0,1641,15658,16,0,0,52,300.030
io2_l2p2n1_l4n1p1,145.102,8957,7762,0,1195,12543,16,0,0,26,300.030
io2_l2p2n1_l4n1p1_d1d2,162.545,10737,9096,0,1641,15803,16,0,0,52,300.030
io2_l2p2n1_l4n1p2,182.764,8783,7579,0,1204,12443,16,0,0,26,300.030
io2_l2p2n1_l4n1p2_d1d2,235.391,11038,9388,0,1650,15659,8,0,0,52,300.030
io2_l2p2n1_l4p1n1,198.804,11654,10459,0,1195,16036,16,0,0,26,300.030
io2_l2p2n1_l4p1n1_d1d2,260.569,13679,12038,0,1641,18119,16,0,0,52,300.030
io2_l2p2n1_l4p2n1,207.863,14865,13673,0,1192,19277,16,0,0,26,300.030
io2_l2p2n1_l4p2n1_d1d2,272.325,15450,13809,0,1641,22610,16,0,0,52,300.030
io4_l2n1n1_l4n1n1,13.430,808,808,0,0,646,16,0,0,5,300.030
io4_l2n1n1_l4n1n1_d1d2,28.238,1581,1581,0,0,646,0,64,0,5,300.030
io4_l2n1n1_l4n1n2,13.654,859,859,0,0,655,16,0,0,5,300.030
io4_l2n1n1_l4n1n2_d1d2,28.499,1648,1648,0,0,688,0,64,0,5,300.030
io4_l2n1n1_l4n1n4,23.454,1638,1638,0,0,1493,16,0,0,20,300.030
io4_l2n1n1_l4n1n4_d1d2,29.084,1709,1709,0,0,760,0,64,0,5,300.030
io4_l2n1n1_l4n1p1,13.881,835,835,0,0,662,16,0,0,5,300.030
io4_l2n1n1_l4n1p1_d1d2,28.332,1601,1601,0,0,661,0,64,0,5,300.030
io4_l2n1n1_l4n1p2,17.352,1118,1118,0,0,987,16,0,0,10,300.030
io4_l2n1n1_l4n1p2_d1d2,31.305,1939,1939,0,0,986,0,64,0,10,300.030
io4_l2n1n1_l4n1p4,24.060,1683,1674,0,9,1401,16,0,0,20,300.030
io4_l2n1n1_l4n1p4_d1d2,41.867,2477,2467,0,10,1530,16,48,0,20,300.030
io4_l2n1n1_l4p1n1,31.836,4654,4654,0,0,6163,12,0,0,20,300.030
io4_l2n1n1_l4p1n1_d1d2,53.342,5628,5628,0,0,5514,16,32,0,40,300.030
io4_l2n1n1_l4p2n1,37.107,7014,7014,0,0,9056,14,0,0,20,300.030
io4_l2n1n1_l4p2n1_d1d2,90.730,11335,11335,0,0,10721,32,32,0,78,300.030
io4_l2n1n1_l4p4n1,50.592,12313,12313,0,0,15254,16,0,0,20,300.030
io4_l2n1n1_l4p4n1_d1d2,91.869,15845,15845,0,0,22833,16,32,0,80,300.030
io4_l2n1n2_l4n1n1,17.822,981,981,0,0,822,16,0,0,8,300.030
io4_l2n1n2_l4n1n1_d1d2,30.028,1710,1710,0,0,834,0,64,0,8,300.030
io4_l2n1n2_l4n1n2,17.685,1016,1016,0,0,830,16,0,0,8,300.030
io4_l2n1n2_l4n1n2_d1d2,30.322,1790,1790,0,0,876,0,64,0,8,300.030
io4_l2n1n2_l4n1n4,26.131,1786,1786,0,0,1604,16,0,0,20,300.030
io4_l2n1n2_l4n1n4_d1d2,30.523,1849,1849,0,0,948,0,64,0,8,300.030
io4_l2n1n2_l4n1p1,18.109,986,986,0,0,837,16,0,0,8,300.030
io4_l2n1n2_l4n1p1_d1d2,29.411,1740,1740,0,0,845,0,64,0,8,300.030
io4_l2n1n2_l4n1p2,19.443,1274,1274,0,0,1100,16,0,0,10,300.030
io4_l2n1n2_l4n1p2_d1d2,31.405,2029,2029,0,0,1110,0,64,0,10,300.030
io4_l2n1n2_l4n1p4,26.241,1799,1790,0,9,1513,16,0,0,20,300.030
io4_l2n1n2_l4n1p4_d1d2,41.721,2569,2559,0,10,1654,16,48,0,20,300.030
