prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lutc_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
io1_l2n1n1_l4n1n1,10.0,8.419,1.25,32,5,758,1239,22,9,19,9,5x32,1x32
io1_l2n1n1_l4n1p1,10.0,8.419,1.25,32,5,933,1356,23,9,20,9,5x32,1x32
io1_l2n1n1_l4p1n1,10.0,9.298,1.25,32,5,4578,3914,146,71,17,71,5x32,1x32
io1_l2n1p1_l4n1n1,10.0,8.419,1.25,32,5,845,1416,24,12,21,12,5x32,1x32
io1_l2n1p1_l4n1p1,10.0,8.419,1.25,32,5,1020,1519,25,12,22,12,5x32,1x32
io1_l2n1p1_l4p1n1,10.0,9.298,1.25,32,5,4633,4074,148,74,19,74,5x32,1x32
io1_l2p1n1_l4n1n1,10.0,8.835,1.25,32,16,8070,10665,230,134,42,134,5x32,1x32
io1_l2p1n1_l4n1p1,10.0,8.835,1.25,32,16,8277,10800,231,134,43,134,5x32,1x32
io1_l2p1n1_l4p1n1,10.0,8.999,1.25,32,16,11730,13326,354,196,40,196,5x32,1x32
io2_l2n1n1_l4n1n1,10.0,8.419,1.25,32,5,776,1508,22,9,19,9,8x32,2x32
io2_l2n1n1_l4n1n1_d1d2,10.0,8.572,1.25,32,5,819,2156,23,26,20,26,8x32,2x32
io2_l2n1n1_l4n1n2,10.0,8.419,1.25,32,10,1175,1793,24,9,21,9,8x32,2x32
io2_l2n1n1_l4n1n2_d1d2,10.0,8.572,1.25,32,5,849,2110,25,21,20,21,8x32,2x32
io2_l2n1n1_l4n1p1,10.0,8.419,1.25,32,5,795,1553,23,9,20,9,8x32,2x32
io2_l2n1n1_l4n1p1_d1d2,10.0,8.572,1.25,32,5,838,2201,24,26,21,26,8x32,2x32
io2_l2n1n1_l4n1p2,10.0,8.419,1.25,32,10,1431,1944,25,9,22,9,8x32,2x32
io2_l2n1n1_l4n1p2_d1d2,10.0,8.572,1.25,32,10,1665,2654,26,21,23,21,8x32,2x32
io2_l2n1n1_l4p1n1,10.0,9.229,1.25,32,10,5334,3936,146,39,19,39,8x32,2x32
io2_l2n1n1_l4p1n1_d1d2,10.0,9.428,1.25,32,18,5274,6171,147,51,23,51,8x32,2x32
io2_l2n1n1_l4p2n1,10.0,9.298,1.25,32,10,8755,6045,274,71,19,71,8x32,2x32
