prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
io1_l1n1n1_l3n1n1_l5n1,10.0,7.966,1.25,20,5,682,1137,18,8,13,8,5x32,1x32
io1_l1n1n1_l3n1p1_l5n1,10.0,7.966,1.25,20,5,739,1212,19,8,14,8,5x32,1x32
io1_l1n1n1_l3p1n1_l5n1,10.0,9.177,1.25,21,16,9311,5747,205,70,15,70,5x32,1x32
io1_l1n1p1_l3n1n1_l5n1,10.0,7.966,1.25,20,5,739,1212,19,8,14,8,5x32,1x32
io1_l1n1p1_l3n1p1_l5n1,10.0,7.966,1.25,20,5,764,1275,20,8,15,8,5x32,1x32
io1_l1n1p1_l3p1n1_l5n1,10.0,9.177,1.25,21,16,9336,5807,206,70,16,70,5x32,1x32
io1_l1p1n1_l3n1n1_l5p1,10.0,9.177,1.25,21,16,9435,5824,205,70,15,70,5x32,1x32
io1_l1p1n1_l3n1p1_l5p1,10.0,9.177,1.25,21,16,9460,5893,206,70,16,70,5x32,1x32
io1_l1p1n1_l3p1n1_l5p1,10.0,8.644,1.25,21,16,9965,7332,392,132,13,132,5x32,1x32
io2_l1n1n1_l3n1n1_l5n1,10.0,8.423,1.25,24,5,774,1587,18,8,13,8,7x32,1x32
io2_l1n1n1_l3n1n1_l5n1_d1d2,10.0,8.423,1.25,24,5,773,1812,19,18,14,18,7x32,1x32
io2_l1n1n1_l3n1n2_l5n1,10.0,8.423,1.25,24,8,1026,1718,21,8,14,8,7x32,1x32
io2_l1n1n1_l3n1n2_l5n1_d1d2,10.0,8.423,1.25,24,8,1024,1933,22,13,15,13,7x32,1x32
io2_l1n1n1_l3n1p1_l5n1,10.0,8.423,1.25,24,5,831,1668,19,8,14,8,7x32,1x32
io2_l1n1n1_l3n1p1_l5n1_d1d2,10.0,8.423,1.25,24,5,830,1893,20,18,15,18,7x32,1x32
io2_l1n1n1_l3n1p2_l5n1,10.0,8.423,1.25,24,5,921,1643,22,8,14,8,7x32,1x32
io2_l1n1n1_l3n1p2_l5n1_d1d2,10.0,8.423,1.25,24,5,920,1858,23,13,15,13,7x32,1x32
io2_l1n1n1_l3p1n1_l5n1,10.0,9.687,1.25,26,26,5564,5363,205,38,18,38,7x32,1x32
io2_l1n1n1_l3p1n1_l5n1_d1d2,10.0,9.687,1.25,26,26,5408,5824,206,43,19,43,7x32,1x32
io2_l1n1n1_l3p2n1_l5n1,10.0,9.634,1.25,26,32,16302,9579,397,70,21,70,7x32,1x32
io2_l1n1n1_l3p2n1_l5n1_d1d2,10.0,9.597,1.25,26,64,20235,12483,398,43,34,43,7x32,1x32
io2_l1n1n2_l3n1n1_l5n1,10.0,8.423,1.25,24,8,1026,1718,21,8,14,8,7x32,1x32
