prj,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks,freq(MHz)
io1_l1n1n1_l3n1n1_l5n1,11.273,596,596,0,0,475,8,4,0,5,300.030
io1_l1n1n1_l3n1p1_l5n1,13.298,709,709,0,0,537,8,4,0,5,300.030
io1_l1n1n1_l3p1n1_l5n1,36.368,4842,4244,0,598,7625,9,3,0,16,300.030
io1_l1n1p1_l3n1n1_l5n1,12.842,691,691,0,0,537,8,4,0,5,300.030
io1_l1n1p1_l3n1p1_l5n1,14.422,751,751,0,0,567,8,4,0,5,300.030
io1_l1n1p1_l3p1n1_l5n1,42.310,4793,4195,0,598,7654,9,3,0,16,300.030
io1_l1p1n1_l3n1n1_l5p1,36.524,4629,4031,0,598,7667,9,3,0,16,300.030
io1_l1p1n1_l3n1p1_l5p1,46.446,4894,4296,0,598,7672,9,3,0,16,300.030
io1_l1p1n1_l3p1n1_l5p1,71.748,6786,5590,0,1196,9913,9,3,0,16,300.030
io2_l1n1n1_l3n1n1_l5n1,13.144,766,766,0,0,613,8,8,0,5,300.030
io2_l1n1n1_l3n1n1_l5n1_d1d2,12.955,862,862,0,0,609,8,8,0,5,300.030
io2_l1n1n1_l3n1n2_l5n1,15.884,873,873,0,0,736,8,8,0,8,300.030
io2_l1n1n1_l3n1n2_l5n1_d1d2,16.081,945,945,0,0,795,8,8,0,8,300.030
io2_l1n1n1_l3n1p1_l5n1,15.359,870,870,0,0,674,8,8,0,5,300.030
io2_l1n1n1_l3n1p1_l5n1_d1d2,14.986,942,942,0,0,663,8,8,0,5,300.030
io2_l1n1n1_l3n1p2_l5n1,14.688,890,890,0,0,706,8,8,0,5,300.030
io2_l1n1n1_l3n1p2_l5n1_d1d2,14.494,969,969,0,0,764,8,8,0,5,300.030
io2_l1n1n1_l3p1n1_l5n1,38.348,3808,3808,0,0,4845,8,6,0,26,300.030
io2_l1n1n1_l3p1n1_l5n1_d1d2,38.332,3643,3643,0,0,4671,8,6,0,26,300.030
io2_l1n1n1_l3p2n1_l5n1,52.046,8686,7497,0,1189,12945,8,6,0,32,300.030
io2_l1n1n1_l3p2n1_l5n1_d1d2,72.433,11503,9866,0,1637,15304,4,6,0,64,300.030
io2_l1n1n2_l3n1n1_l5n1,15.565,870,870,0,0,736,8,8,0,8,300.030
io2_l1n1n2_l3n1n1_l5n1_d1d2,15.870,946,946,0,0,795,8,8,0,8,300.030
io2_l1n1n2_l3n1n2_l5n1,16.013,848,848,0,0,603,8,8,0,8,300.030
io2_l1n1n2_l3n1n2_l5n1_d1d2,16.057,904,904,0,0,725,8,8,0,8,300.030
io2_l1n1n2_l3n1p1_l5n1,18.211,958,958,0,0,791,8,8,0,8,300.030
io2_l1n1n2_l3n1p1_l5n1_d1d2,18.983,1006,1006,0,0,849,8,8,0,8,300.030
io2_l1n1n2_l3n1p2_l5n1,17.125,961,961,0,0,664,8,8,0,8,300.030
io2_l1n1n2_l3n1p2_l5n1_d1d2,17.497,1009,1009,0,0,788,8,8,0,8,300.030
io2_l1n1n2_l3p1n1_l5n1,38.601,3775,3775,0,0,4773,8,6,0,26,300.030
io2_l1n1n2_l3p1n1_l5n1_d1d2,39.050,3694,3694,0,0,4668,8,6,0,26,300.030
io2_l1n1n2_l3p2n1_l5n1,59.780,8864,7675,0,1189,12890,10,6,0,32,300.030
io2_l1n1n2_l3p2n1_l5n1_d1d2,79.322,11776,10139,0,1637,15283,10,6,0,64,300.030
io2_l1n1p1_l3n1n1_l5n1,14.665,870,870,0,0,674,8,8,0,5,300.030
io2_l1n1p1_l3n1n1_l5n1_d1d2,14.773,936,936,0,0,663,8,8,0,5,300.030
io2_l1n1p1_l3n1n2_l5n1,17.855,945,945,0,0,791,8,8,0,8,300.030
io2_l1n1p1_l3n1n2_l5n1_d1d2,17.646,999,999,0,0,849,8,8,0,8,300.030
io2_l1n1p1_l3n1p1_l5n1,17.426,914,914,0,0,703,8,8,0,5,300.030
io2_l1n1p1_l3n1p1_l5n1_d1d2,17.335,950,950,0,0,685,8,8,0,5,300.030
io2_l1n1p1_l3n1p2_l5n1,16.908,976,976,0,0,737,8,8,0,5,300.030
io2_l1n1p1_l3n1p2_l5n1_d1d2,17.010,1026,1026,0,0,786,8,8,0,5,300.030
io2_l1n1p1_l3p1n1_l5n1,41.121,3866,3866,0,0,4866,8,6,0,26,300.030
io2_l1n1p1_l3p1n1_l5n1_d1d2,41.197,3710,3710,0,0,4698,8,6,0,26,300.030
io2_l1n1p1_l3p2n1_l5n1,61.285,8618,7429,0,1189,12999,10,6,0,32,300.030
io2_l1n1p1_l3p2n1_l5n1_d1d2,82.923,11553,9916,0,1637,15314,8,4,0,64,300.030
io2_l1n1p2_l3n1n1_l5n1,15.471,887,887,0,0,706,8,8,0,5,300.030
io2_l1n1p2_l3n1n1_l5n1_d1d2,14.939,957,957,0,0,764,8,8,0,5,300.030
io2_l1n1p2_l3n1n2_l5n1,17.401,960,960,0,0,664,8,8,0,8,300.030
io2_l1n1p2_l3n1n2_l5n1_d1d2,17.817,1007,1007,0,0,788,8,8,0,8,300.030
io2_l1n1p2_l3n1p1_l5n1,18.547,973,973,0,0,737,8,8,0,5,300.030
io2_l1n1p2_l3n1p1_l5n1_d1d2,18.740,1022,1022,0,0,786,8,8,0,5,300.030
io2_l1n1p2_l3n1p2_l5n1,16.861,983,983,0,0,597,8,8,0,5,300.030
io2_l1n1p2_l3n1p2_l5n1_d1d2,17.100,1024,1024,0,0,723,8,8,0,5,300.030
io2_l1n1p2_l3p1n1_l5n1,41.427,3896,3896,0,0,4805,8,6,0,26,300.030
io2_l1n1p2_l3p1n1_l5n1_d1d2,41.070,3776,3776,0,0,4697,8,6,0,26,300.030
io2_l1n1p2_l3p2n1_l5n1,63.680,8484,7295,0,1189,12904,10,6,0,32,300.030
io2_l1n1p2_l3p2n1_l5n1_d1d2,86.830,11726,10089,0,1637,15320,10,6,0,64,300.030
io2_l1p1n1_l3n1n1_l5p1,34.093,3768,3768,0,0,4857,8,6,0,26,300.030
io2_l1p1n1_l3n1n1_l5p1_d1d2,33.655,3657,3657,0,0,4687,8,6,0,26,300.030
io2_l1p1n1_l3n1n2_l5p1,35.616,3832,3832,0,0,4787,8,6,0,26,300.030
io2_l1p1n1_l3n1n2_l5p1_d1d2,35.087,3599,3599,0,0,4681,8,6,0,26,300.030
io2_l1p1n1_l3n1p1_l5p1,38.270,3866,3866,0,0,4880,8,6,0,26,300.030
io2_l1p1n1_l3n1p1_l5p1_d1d2,38.668,3720,3720,0,0,4710,8,6,0,26,300.030
io2_l1p1n1_l3n1p2_l5p1,37.531,3930,3930,0,0,4820,8,6,0,26,300.030
io2_l1p1n1_l3n1p2_l5p1_d1d2,37.047,3830,3830,0,0,4714,8,6,0,26,300.030
io2_l1p1n1_l3p1n1_l5p1,31.293,3274,3274,0,0,3510,8,6,0,14,300.030
io2_l1p1n1_l3p1n1_l5p1_d1d2,31.730,3390,3390,0,0,3757,8,6,0,14,300.030
io2_l1p1n1_l3p2n1_l5p1,66.729,10743,9554,0,1189,14307,10,4,0,32,300.030
io2_l1p1n1_l3p2n1_l5p1_d1d2,85.034,13361,11724,0,1637,15750,10,6,0,64,300.030
io2_l1p2n1_l3n1n1_l5p2,53.581,8776,7587,0,1189,12946,10,6,0,32,300.030
io2_l1p2n1_l3n1n1_l5p2_d1d2,67.775,11647,10010,0,1637,15303,8,6,0,64,300.030
io2_l1p2n1_l3n1n2_l5p2,60.697,8650,7461,0,1189,12886,10,4,0,32,300.030
io2_l1p2n1_l3n1n2_l5p2_d1d2,74.592,11536,9899,0,1637,15316,8,6,0,64,300.030
io2_l1p2n1_l3n1p1_l5p2,62.326,8784,7595,0,1189,12988,8,6,0,32,300.030
io2_l1p2n1_l3n1p1_l5p2_d1d2,79.752,11495,9858,0,1637,15296,10,6,0,64,300.030
io2_l1p2n1_l3n1p2_l5p2,63.788,8794,7605,0,1189,12912,10,6,0,32,300.030
io2_l1p2n1_l3n1p2_l5p2_d1d2,78.278,11850,10213,0,1637,15326,6,4,0,64,300.030
