clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lut,uram
io1_l2n1n1_l5n1n1_l7n1n1,10.0,7.966,1.25,56,5,870,1525,0
io1_l2n1n1_l5n1n1_l7n1p1,10.0,7.966,1.25,56,5,999,1637,0
io1_l2n1n1_l5n1n1_l7p1n1,10.0,9.177,1.25,56,10,2505,3827,0
io1_l2n1p1_l5n1p1_l7n1n1,10.0,7.966,1.25,56,5,1058,1868,0
io1_l2n1p1_l5n1p1_l7n1p1,10.0,7.966,1.25,56,5,1187,1980,0
io1_l2n1p1_l5n1p1_l7p1n1,10.0,9.177,1.25,56,10,2661,4153,0
io1_l2p1n1_l5p1n1_l7n1n1,10.0,8.644,1.25,56,16,14291,19652,0
io1_l2p1n1_l5p1n1_l7n1p1,10.0,8.644,1.25,56,16,14420,19764,0
io1_l2p1n1_l5p1n1_l7p1n1,10.0,8.016,1.25,56,16,15315,21566,0
io2_l2n1n1_l5n1n1_l7n1n1,10.0,8.423,1.25,56,5,929,1953,0
io2_l2n1n1_l5n1n1_l7n1n1_d1d2,10.0,7.966,1.25,56,5,1074,2934,0
io2_l2n1n1_l5n1n1_l7n1n2,10.0,8.423,1.25,56,10,1306,2244,0
io2_l2n1n1_l5n1n1_l7n1n2_d1d2,10.0,8.423,1.25,56,5,1069,2900,0
io2_l2n1n1_l5n1n1_l7n1p1,10.0,8.423,1.25,56,5,1231,2161,0
io2_l2n1n1_l5n1n1_l7n1p1_d1d2,10.0,8.423,1.25,56,5,1653,3270,0
io2_l2n1n1_l5n1n1_l7n1p2,10.0,8.423,1.25,56,10,1434,2355,0
io2_l2n1n1_l5n1n1_l7n1p2_d1d2,10.0,8.423,1.25,56,10,1905,3486,0
io2_l2n1n1_l5n1n1_l7p1n1,10.0,9.597,1.25,56,20,4145,4727,0
io2_l2n1n1_l5n1n1_l7p1n1_d1d2,10.0,8.499,1.25,56,20,4672,6747,0
io2_l2n1n1_l5n1n1_l7p2n1,10.0,9.634,1.25,56,20,4076,5882,0
io2_l2n1n1_l5n1n1_l7p2n1_d1d2,10.0,8.499,1.25,56,40,7691,8388,0
io2_l2n1n2_l5n1n2_l7n1n1,10.0,9.066,1.25,56,8,1246,2195,0
