prj,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks
io1_l2n1n1_l5n1n1_l8n1n1,16.026,830,830,0,0,671,28,0,0,5
io1_l2n1n1_l5n1n1_l8n1p1,17.047,969,969,0,0,747,28,0,0,5
io1_l2n1n1_l5n1n1_l8p1n1,29.105,3756,3156,0,600,5660,28,0,0,10
io1_l2n1p1_l5n1p1_l8n1n1,20.343,1142,1142,0,0,823,28,0,0,5
io1_l2n1p1_l5n1p1_l8n1p1,20.395,1294,1294,0,0,899,28,0,0,5
io1_l2n1p1_l5n1p1_l8p1n1,33.914,4010,3410,0,600,5811,28,0,0,10
io1_l2p1n1_l5p1n1_l8n1n1,70.692,5655,4455,0,1200,8119,28,0,0,10
io1_l2p1n1_l5p1n1_l8n1p1,74.229,5867,4667,0,1200,8178,28,0,0,10
io1_l2p1n1_l5p1n1_l8p1n1,118.926,8139,6339,0,1800,10714,28,0,0,10
io2_l2n1n1_l5n1n1_l8n1n1,17.215,961,961,0,0,795,28,0,0,5
io2_l2n1n1_l5n1n1_l8n1n1_d1d2,17.685,1321,1321,0,0,804,28,0,0,5
io2_l2n1n1_l5n1n1_l8n1n2,18.354,1059,1059,0,0,989,24,0,0,8
io2_l2n1n1_l5n1n1_l8n1n2_d1d2,18.676,1372,1372,0,0,996,28,0,0,8
io2_l2n1n1_l5n1n1_l8n1p1,17.519,1101,1101,0,0,865,28,0,0,5
io2_l2n1n1_l5n1n1_l8n1p1_d1d2,18.261,1476,1476,0,0,960,28,0,0,5
io2_l2n1n1_l5n1n1_l8n1p2,16.670,1182,1182,0,0,990,24,0,0,5
io2_l2n1n1_l5n1n1_l8n1p2_d1d2,17.890,1557,1557,0,0,1075,28,0,0,5
io2_l2n1n1_l5n1n1_l8p1n1,23.777,2306,2306,0,0,2696,24,0,0,8
io2_l2n1n1_l5n1n1_l8p1n1_d1d2,42.795,6796,6796,0,0,9043,28,0,0,14
io2_l2n1n1_l5n1n1_l8p2n1,43.554,7121,5929,0,1192,11852,28,0,0,20
io2_l2n1n1_l5n1n1_l8p2n1_d1d2,54.319,10640,8999,0,1641,14950,24,0,0,40
io2_l2n1n2_l5n1n2_l8n1n1,21.193,1128,1128,0,0,913,28,0,0,8
io2_l2n1n2_l5n1n2_l8n1n1_d1d2,20.382,1373,1373,0,0,1048,28,0,0,8
io2_l2n1n2_l5n1n2_l8n1n2,22.242,1154,1154,0,0,972,28,0,0,8
io2_l2n1n2_l5n1n2_l8n1n2_d1d2,19.958,1340,1340,0,0,1107,28,0,0,8
io2_l2n1n2_l5n1n2_l8n1p1,22.032,1263,1263,0,0,985,28,0,0,8
io2_l2n1n2_l5n1n2_l8n1p1_d1d2,21.021,1542,1542,0,0,1223,28,0,0,8
io2_l2n1n2_l5n1n2_l8n1p2,23.080,1343,1343,0,0,1079,28,0,0,8
io2_l2n1n2_l5n1n2_l8n1p2_d1d2,21.580,1524,1524,0,0,1289,28,0,0,8
io2_l2n1n2_l5n1n2_l8p1n1,27.453,2288,2288,0,0,2682,28,0,0,8
io2_l2n1n2_l5n1n2_l8p1n1_d1d2,41.720,6684,6684,0,0,9141,28,0,0,14
io2_l2n1n2_l5n1n2_l8p2n1,45.678,7625,6433,0,1192,11879,24,0,0,20
io2_l2n1n2_l5n1n2_l8p2n1_d1d2,57.215,10778,9137,0,1641,15135,22,0,0,40
io2_l2n1p1_l5n1p1_l8n1n1,21.100,1264,1264,0,0,937,28,0,0,5
io2_l2n1p1_l5n1p1_l8n1n1_d1d2,21.101,1699,1699,0,0,1124,28,0,0,5
io2_l2n1p1_l5n1p1_l8n1n2,22.119,1395,1395,0,0,1123,24,0,0,8
io2_l2n1p1_l5n1p1_l8n1n2_d1d2,22.328,1729,1729,0,0,1242,28,0,0,8
io2_l2n1p1_l5n1p1_l8n1p1,20.847,1388,1388,0,0,1002,28,0,0,5
io2_l2n1p1_l5n1p1_l8n1p1_d1d2,21.670,1791,1791,0,0,1179,28,0,0,5
io2_l2n1p1_l5n1p1_l8n1p2,21.515,1516,1516,0,0,1128,24,0,0,5
io2_l2n1p1_l5n1p1_l8n1p2_d1d2,21.810,1885,1885,0,0,1321,28,0,0,5
io2_l2n1p1_l5n1p1_l8p1n1,27.923,2598,2598,0,0,2804,24,0,0,8
io2_l2n1p1_l5n1p1_l8p1n1_d1d2,41.589,7121,7121,0,0,9266,28,0,0,14
io2_l2n1p1_l5n1p1_l8p2n1,49.613,7793,6601,0,1192,11985,28,0,0,20
io2_l2n1p1_l5n1p1_l8p2n1_d1d2,57.350,11053,9412,0,1641,15259,24,0,0,40
io2_l2n1p2_l5n1p2_l8n1n1,22.889,1326,1326,0,0,993,28,0,0,5
io2_l2n1p2_l5n1p2_l8n1n1_d1d2,20.726,1688,1688,0,0,1276,28,0,0,5
io2_l2n1p2_l5n1p2_l8n1n2,23.978,1445,1445,0,0,1149,28,0,0,8
io2_l2n1p2_l5n1p2_l8n1n2_d1d2,23.018,1652,1652,0,0,1470,28,0,0,8
io2_l2n1p2_l5n1p2_l8n1p1,22.371,1526,1526,0,0,1064,28,0,0,5
io2_l2n1p2_l5n1p2_l8n1p1_d1d2,22.121,1856,1856,0,0,1398,28,0,0,5
io2_l2n1p2_l5n1p2_l8n1p2,24.071,1563,1563,0,0,1126,28,0,0,5
io2_l2n1p2_l5n1p2_l8n1p2_d1d2,21.504,1869,1869,0,0,1477,28,0,0,5
io2_l2n1p2_l5n1p2_l8p1n1,29.770,2612,2612,0,0,2821,28,0,0,8
io2_l2n1p2_l5n1p2_l8p1n1_d1d2,44.389,7256,7256,0,0,9508,28,0,0,14
io2_l2n1p2_l5n1p2_l8p2n1,48.852,7687,6495,0,1192,11967,24,0,0,20
io2_l2n1p2_l5n1p2_l8p2n1_d1d2,60.329,11130,9489,0,1641,15325,22,0,0,40
io2_l2p1n1_l5p1n1_l8n1n1,35.449,3648,3648,0,0,4475,28,0,0,8
io2_l2p1n1_l5p1n1_l8n1n1_d1d2,60.214,11538,11538,0,0,16035,28,0,0,14
io2_l2p1n1_l5p1n1_l8n1n2,34.681,3678,3678,0,0,4565,28,0,0,8
io2_l2p1n1_l5p1n1_l8n1n2_d1d2,59.506,11504,11504,0,0,16184,28,0,0,14
io2_l2p1n1_l5p1n1_l8n1p1,34.991,3786,3786,0,0,4505,28,0,0,8
io2_l2p1n1_l5p1n1_l8n1p1_d1d2,62.273,11606,11606,0,0,16182,28,0,0,14
io2_l2p1n1_l5p1n1_l8n1p2,35.422,3785,3785,0,0,4553,28,0,0,8
io2_l2p1n1_l5p1n1_l8n1p2_d1d2,60.125,11744,11744,0,0,16325,28,0,0,14
io2_l2p1n1_l5p1n1_l8p1n1,34.611,3540,3540,0,0,4133,28,0,0,8
io2_l2p1n1_l5p1n1_l8p1n1_d1d2,68.864,16352,16352,0,0,27171,28,0,0,14
io2_l2p1n1_l5p1n1_l8p2n1,53.616,9269,8077,0,1192,12981,28,0,0,20
io2_l2p1n1_l5p1n1_l8p2n1_d1d2,87.503,21549,19908,0,1641,29534,28,0,0,40
io2_l2p2n1_l5p2n1_l8n1n1,92.108,11566,9182,0,2384,17541,28,0,0,20
io2_l2p2n1_l5p2n1_l8n1n1_d1d2,105.302,16877,13595,0,3282,22231,24,0,0,40
io2_l2p2n1_l5p2n1_l8n1n2,94.589,11731,9347,0,2384,17449,28,0,0,20
io2_l2p2n1_l5p2n1_l8n1n2_d1d2,106.585,15919,12637,0,3282,22306,28,0,0,40
io2_l2p2n1_l5p2n1_l8n1p1,93.669,11632,9248,0,2384,17586,28,0,0,20
io2_l2p2n1_l5p2n1_l8n1p1_d1d2,110.357,16921,13639,0,3282,22508,28,0,0,40
io2_l2p2n1_l5p2n1_l8n1p2,93.948,11791,9407,0,2384,17497,28,0,0,20
io2_l2p2n1_l5p2n1_l8n1p2_d1d2,112.594,16843,13561,0,3282,22425,28,0,0,40
io2_l2p2n1_l5p2n1_l8p1n1,95.476,12748,10364,0,2384,17960,28,0,0,20
io2_l2p2n1_l5p2n1_l8p1n1_d1d2,126.591,22216,18934,0,3282,29067,28,0,0,40
io2_l2p2n1_l5p2n1_l8p2n1,191.360,15920,12344,0,3576,22960,28,0,0,20
io2_l2p2n1_l5p2n1_l8p2n1_d1d2,301.487,22782,17859,0,4923,29369,28,0,0,40
io4_l2n1n1_l5n1n1_l8n1n1,16.829,1099,1099,0,0,793,28,0,0,5
io4_l2n1n1_l5n1n1_l8n1n1_d1d2,39.143,2388,2388,0,0,794,0,112,0,5
io4_l2n1n1_l5n1n1_l8n1n2,18.479,1242,1242,0,0,980,24,0,0,8
io4_l2n1n1_l5n1n1_l8n1n2_d1d2,42.198,2504,2504,0,0,979,0,112,0,8
io4_l2n1n1_l5n1n1_l8n1n4,18.893,1338,1338,0,0,1168,24,0,0,8
io4_l2n1n1_l5n1n1_l8n1n4_d1d2,45.354,2659,2659,0,0,1306,0,112,0,14
io4_l2n1n1_l5n1n1_l8n1p1,16.821,1241,1241,0,0,861,28,0,0,5
io4_l2n1n1_l5n1n1_l8n1p1_d1d2,39.158,2549,2549,0,0,867,0,112,0,5
io4_l2n1n1_l5n1n1_l8n1p2,17.728,1433,1433,0,0,993,24,0,0,5
io4_l2n1n1_l5n1n1_l8n1p2_d1d2,40.652,2694,2694,0,0,997,0,112,0,5
io4_l2n1n1_l5n1n1_l8n1p4,18.522,1466,1466,0,0,1207,24,0,0,5
io4_l2n1n1_l5n1n1_l8n1p4_d1d2,40.884,2712,2712,0,0,1187,0,112,0,5
io4_l2n1n1_l5n1n1_l8p1n1,22.483,1849,1849,0,0,1600,24,0,0,11
io4_l2n1n1_l5n1n1_l8p1n1_d1d2,45.971,2827,2827,0,0,1579,0,112,0,14
io4_l2n1n1_l5n1n1_l8p2n1,32.929,4829,4829,0,0,5768,28,0,0,8
io4_l2n1n1_l5n1n1_l8p2n1_d1d2,62.200,6859,6859,0,0,6562,0,104,0,26
io4_l2n1n1_l5n1n1_l8p4n1,64.088,13252,10876,0,2376,22350,25,0,0,40
io4_l2n1n1_l5n1n1_l8p4n1_d1d2,105.696,19846,16636,0,3210,29619,16,80,0,80
io4_l2n1n2_l5n1n2_l8n1n1,21.505,1332,1332,0,0,1038,28,0,0,8
io4_l2n1n2_l5n1n2_l8n1n1_d1d2,39.138,2551,2551,0,0,1037,0,112,0,8
