clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lut,uram
io1_l2n1n1_l5n1n1_l8n1n1,10.0,8.419,1.25,56,5,906,1586,0
io1_l2n1n1_l5n1n1_l8n1p1,10.0,8.419,1.25,56,5,977,1756,0
io1_l2n1n1_l5n1n1_l8p1n1,10.0,9.229,1.25,56,10,7754,10691,0
io1_l2n1p1_l5n1p1_l8n1n1,10.0,8.419,1.25,56,5,1048,1926,0
io1_l2n1p1_l5n1p1_l8n1p1,10.0,8.419,1.25,56,5,1119,2096,0
io1_l2n1p1_l5n1p1_l8p1n1,10.0,9.229,1.25,56,10,7896,11027,0
io1_l2p1n1_l5p1n1_l8n1n1,10.0,8.905,1.25,56,10,8871,17807,0
io1_l2p1n1_l5p1n1_l8n1p1,10.0,8.905,1.25,56,10,8942,17977,0
io1_l2p1n1_l5p1n1_l8p1n1,10.0,8.999,1.25,56,10,10052,24931,0
io2_l2n1n1_l5n1n1_l8n1n1,10.0,8.419,1.25,56,5,936,2038,0
io2_l2n1n1_l5n1n1_l8n1n1_d1d2,10.0,8.572,1.25,56,5,1006,3095,0
io2_l2n1n1_l5n1n1_l8n1n2,10.0,8.419,1.25,56,8,1194,2215,0
io2_l2n1n1_l5n1n1_l8n1n2_d1d2,10.0,8.572,1.25,56,8,1257,3189,0
io2_l2n1n1_l5n1n1_l8n1p1,10.0,8.419,1.25,56,5,1002,2230,0
io2_l2n1n1_l5n1n1_l8n1p1_d1d2,10.0,8.572,1.25,56,5,1128,3333,0
io2_l2n1n1_l5n1n1_l8n1p2,10.0,8.419,1.25,56,5,1129,2301,0
io2_l2n1n1_l5n1n1_l8n1p2_d1d2,10.0,8.572,1.25,56,5,1269,3297,0
io2_l2n1n1_l5n1n1_l8p1n1,10.0,9.32,1.25,56,8,3103,7472,0
io2_l2n1n1_l5n1n1_l8p1n1_d1d2,10.0,9.451,1.25,56,14,9519,13892,0
io2_l2n1n1_l5n1n1_l8p2n1,10.0,9.229,1.25,56,20,15116,11521,0
io2_l2n1n1_l5n1n1_l8p2n1_d1d2,10.0,9.359,1.25,56,40,19568,18042,0
io2_l2n1n2_l5n1n2_l8n1n1,10.0,8.55,1.25,56,8,1260,2266,0
io2_l2n1n2_l5n1n2_l8n1n1_d1d2,10.0,8.999,1.25,56,8,1316,3157,0
io2_l2n1n2_l5n1n2_l8n1n2,10.0,8.562,1.25,56,8,1326,2299,0
io2_l2n1n2_l5n1n2_l8n1n2_d1d2,10.0,9.011,1.25,56,8,1375,3107,0
io2_l2n1n2_l5n1n2_l8n1p1,10.0,8.55,1.25,56,8,1326,2458,0
io2_l2n1n2_l5n1n2_l8n1p1_d1d2,10.0,8.999,1.25,56,8,1438,3395,0
io2_l2n1n2_l5n1n2_l8n1p2,10.0,8.562,1.25,56,8,1421,2514,0
io2_l2n1n2_l5n1n2_l8n1p2_d1d2,10.0,9.011,1.25,56,8,1547,3344,0
io2_l2n1n2_l5n1n2_l8p1n1,10.0,9.32,1.25,56,8,3235,7547,0
io2_l2n1n2_l5n1n2_l8p1n1_d1d2,10.0,9.474,1.25,56,14,9637,13787,0
io2_l2n1n2_l5n1n2_l8p2n1,10.0,9.229,1.25,56,20,15248,11599,0
io2_l2n1n2_l5n1n2_l8p2n1_d1d2,10.0,9.382,1.25,56,40,19686,17937,0
io2_l2n1p1_l5n1p1_l8n1n1,10.0,8.419,1.25,56,5,1068,2422,0
io2_l2n1p1_l5n1p1_l8n1n1_d1d2,10.0,8.572,1.25,56,5,1250,3571,0
io2_l2n1p1_l5n1p1_l8n1n2,10.0,8.419,1.25,56,8,1326,2599,0
io2_l2n1p1_l5n1p1_l8n1n2_d1d2,10.0,8.572,1.25,56,8,1501,3665,0
io2_l2n1p1_l5n1p1_l8n1p1,10.0,8.419,1.25,56,5,1134,2614,0
io2_l2n1p1_l5n1p1_l8n1p1_d1d2,10.0,8.419,1.25,56,5,1372,3809,0
io2_l2n1p1_l5n1p1_l8n1p2,10.0,8.419,1.25,56,5,1261,2685,0
io2_l2n1p1_l5n1p1_l8n1p2_d1d2,10.0,8.419,1.25,56,5,1513,3773,0
io2_l2n1p1_l5n1p1_l8p1n1,10.0,9.32,1.25,56,8,3235,7848,0
io2_l2n1p1_l5n1p1_l8p1n1_d1d2,10.0,9.451,1.25,56,14,9733,14352,0
io2_l2n1p1_l5n1p1_l8p2n1,10.0,9.229,1.25,56,20,15248,11897,0
io2_l2n1p1_l5n1p1_l8p2n1_d1d2,10.0,9.206,1.25,56,40,19775,18502,0
io2_l2n1p2_l5n1p2_l8n1n1,10.0,8.847,1.25,56,5,1258,2543,0
io2_l2n1p2_l5n1p2_l8n1n1_d1d2,10.0,8.999,1.25,56,5,1468,3478,0
