clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lut,uram
io1_l2n1n1_l5n1n1_l7n1n1,10.0,7.966,1.25,56,5,888,1592,0
io1_l2n1n1_l5n1n1_l7n1p1,10.0,7.966,1.25,56,7,1244,1912,0
io1_l2n1n1_l5n1n1_l7p1n1,10.0,9.177,1.25,56,14,3136,4753,0
io1_l2n1p1_l5n1p1_l7n1n1,10.0,7.966,1.25,56,5,1060,1918,0
io1_l2n1p1_l5n1p1_l7n1p1,10.0,7.966,1.25,56,7,1416,2232,0
io1_l2n1p1_l5n1p1_l7p1n1,10.0,9.177,1.25,56,14,3276,5069,0
io1_l2p1n1_l5p1n1_l7n1n1,10.0,9.23,1.25,56,16,9195,18988,0
io1_l2p1n1_l5p1n1_l7n1p1,10.0,8.644,1.25,56,16,9324,19112,0
io1_l2p1n1_l5p1n1_l7p1n1,10.0,8.675,1.25,56,20,10768,21774,0
io2_l2n1n1_l5n1n1_l7n1n1,10.0,8.423,1.25,56,5,949,2110,0
io2_l2n1n1_l5n1n1_l7n1n1_d1d2,10.0,7.966,1.25,56,5,1142,3170,0
io2_l2n1n1_l5n1n1_l7n1n2,10.0,8.423,1.25,56,10,1390,2399,0
io2_l2n1n1_l5n1n1_l7n1n2_d1d2,10.0,9.085,1.25,56,5,1100,3110,0
io2_l2n1n1_l5n1n1_l7n1p1,10.0,8.423,1.25,56,7,1446,2494,0
io2_l2n1n1_l5n1n1_l7n1p1_d1d2,10.0,8.423,1.25,56,7,1848,3646,0
io2_l2n1n1_l5n1n1_l7n1p2,10.0,8.423,1.25,56,14,1972,2906,0
io2_l2n1n1_l5n1n1_l7n1p2_d1d2,10.0,8.423,1.25,56,14,2377,4080,0
io2_l2n1n1_l5n1n1_l7p1n1,10.0,9.597,1.25,56,28,5072,6321,0
io2_l2n1n1_l5n1n1_l7p1n1_d1d2,10.0,9.597,1.25,56,28,5597,8842,0
io2_l2n1n1_l5n1n1_l7p2n1,10.0,9.634,1.25,56,28,5387,7756,0
io2_l2n1n1_l5n1n1_l7p2n1_d1d2,10.0,9.14,1.25,56,56,9012,11391,0
io2_l2n1n2_l5n1n2_l7n1n1,10.0,9.085,1.25,56,8,1165,2199,0
io2_l2n1n2_l5n1n2_l7n1n1_d1d2,10.0,7.966,1.25,56,8,1418,3231,0
io2_l2n1n2_l5n1n2_l7n1n2,10.0,9.085,1.25,56,10,1446,2363,0
io2_l2n1n2_l5n1n2_l7n1n2_d1d2,10.0,8.423,1.25,56,8,1376,3171,0
io2_l2n1n2_l5n1n2_l7n1p1,10.0,9.066,1.25,56,10,1662,2589,0
io2_l2n1n2_l5n1n2_l7n1p1_d1d2,10.0,9.066,1.25,56,10,2124,3713,0
io2_l2n1n2_l5n1n2_l7n1p2,10.0,9.066,1.25,56,14,2028,2876,0
io2_l2n1n2_l5n1n2_l7n1p2_d1d2,10.0,9.066,1.25,56,14,2493,4022,0
io2_l2n1n2_l5n1n2_l7p1n1,10.0,9.634,1.25,56,28,5128,6273,0
io2_l2n1n2_l5n1n2_l7p1n1_d1d2,10.0,9.634,1.25,56,28,5713,8765,0
io2_l2n1n2_l5n1n2_l7p2n1,10.0,9.672,1.25,56,28,5443,7724,0
io2_l2n1n2_l5n1n2_l7p2n1_d1d2,10.0,9.177,1.25,56,56,9128,11315,0
io2_l2n1p1_l5n1p1_l7n1n1,10.0,8.423,1.25,56,5,1125,2480,0
io2_l2n1p1_l5n1p1_l7n1n1_d1d2,10.0,7.966,1.25,56,5,1322,3626,0
io2_l2n1p1_l5n1p1_l7n1n2,10.0,8.423,1.25,56,10,1566,2769,0
io2_l2n1p1_l5n1p1_l7n1n2_d1d2,10.0,9.085,1.25,56,5,1280,3566,0
io2_l2n1p1_l5n1p1_l7n1p1,10.0,8.423,1.25,56,7,1622,2858,0
io2_l2n1p1_l5n1p1_l7n1p1_d1d2,10.0,8.423,1.25,56,7,2028,4102,0
io2_l2n1p1_l5n1p1_l7n1p2,10.0,8.423,1.25,56,14,2148,3270,0
io2_l2n1p1_l5n1p1_l7n1p2_d1d2,10.0,8.423,1.25,56,14,2557,4536,0
io2_l2n1p1_l5n1p1_l7p1n1,10.0,9.597,1.25,56,28,5216,6677,0
io2_l2n1p1_l5n1p1_l7p1n1_d1d2,10.0,9.597,1.25,56,28,5777,9282,0
io2_l2n1p1_l5n1p1_l7p2n1,10.0,9.634,1.25,56,28,5531,8112,0
io2_l2n1p1_l5n1p1_l7p2n1_d1d2,10.0,9.14,1.25,56,56,9192,11831,0
io2_l2n1p2_l5n1p2_l7n1n1,10.0,9.085,1.25,56,5,1185,2403,0
io2_l2n1p2_l5n1p2_l7n1n1_d1d2,10.0,7.966,1.25,56,5,1478,3519,0
io2_l2n1p2_l5n1p2_l7n1n2,10.0,9.085,1.25,56,10,1626,2692,0
io2_l2n1p2_l5n1p2_l7n1n2_d1d2,10.0,8.423,1.25,56,5,1436,3456,0
io2_l2n1p2_l5n1p2_l7n1p1,10.0,9.066,1.25,56,7,1682,2793,0
io2_l2n1p2_l5n1p2_l7n1p1_d1d2,10.0,9.066,1.25,56,7,2184,4001,0
io2_l2n1p2_l5n1p2_l7n1p2,10.0,9.066,1.25,56,14,2208,3205,0
io2_l2n1p2_l5n1p2_l7n1p2_d1d2,10.0,9.066,1.25,56,14,2713,4435,0
io2_l2n1p2_l5n1p2_l7p1n1,10.0,9.634,1.25,56,28,5276,6597,0
