prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lutc_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
io1_l2n1n1_l5n1n1_l7n1n1,10.0,8.847,1.25,56,5,888,1586,32,13,25,13,5x32,1x32
io1_l2n1n1_l5n1n1_l7n1p1,10.0,8.847,1.25,56,7,1244,1902,33,13,27,13,5x32,1x32
io1_l2n1n1_l5n1n1_l7p1n1,10.0,9.251,1.25,56,14,3136,4733,219,75,27,75,5x32,1x32
io1_l2n1p1_l5n1p1_l7n1n1,10.0,8.847,1.25,56,5,1030,1916,36,19,29,19,5x32,1x32
io1_l2n1p1_l5n1p1_l7n1p1,10.0,8.847,1.25,56,7,1386,2226,37,19,31,19,5x32,1x32
io1_l2n1p1_l5n1p1_l7p1n1,10.0,9.251,1.25,56,14,3246,5053,223,81,31,81,5x32,1x32
io1_l2p1n1_l5p1n1_l7n1n1,10.0,8.905,1.25,56,16,9195,18972,406,389,25,389,5x32,1x32
io1_l2p1n1_l5p1n1_l7n1p1,10.0,8.905,1.25,56,16,9324,19096,407,389,26,389,5x32,1x32
io1_l2p1n1_l5p1n1_l7p1n1,10.0,8.999,1.25,56,20,10768,21750,593,451,25,451,5x32,1x32
io2_l2n1n1_l5n1n1_l7n1n1,10.0,8.847,1.25,56,5,949,2104,33,15,26,15,8x32,2x32
io2_l2n1n1_l5n1n1_l7n1n1_d1d2,10.0,8.847,1.25,56,5,1013,3160,34,44,27,44,8x32,2x32
io2_l2n1n1_l5n1n1_l7n1n2,10.0,8.847,1.25,56,10,1390,2387,36,15,28,15,8x32,2x32
io2_l2n1n1_l5n1n1_l7n1n2_d1d2,10.0,9.011,1.25,56,5,1036,3104,37,39,27,39,8x32,2x32
io2_l2n1n1_l5n1n1_l7n1p1,10.0,8.847,1.25,56,7,1446,2484,34,15,28,15,8x32,2x32
io2_l2n1n1_l5n1n1_l7n1p1_d1d2,10.0,8.847,1.25,56,7,1704,3636,35,44,29,44,8x32,2x32
io2_l2n1n1_l5n1n1_l7n1p2,10.0,8.847,1.25,56,14,1972,2886,37,15,31,15,8x32,2x32
io2_l2n1n1_l5n1n1_l7n1p2_d1d2,10.0,8.847,1.25,56,14,2313,4060,38,39,32,39,8x32,2x32
io2_l2n1n1_l5n1n1_l7p1n1,10.0,9.229,1.25,56,28,5072,6281,220,45,34,45,8x32,2x32
io2_l2n1n1_l5n1n1_l7p1n1_d1d2,10.0,9.359,1.25,56,28,5533,8802,221,69,35,69,8x32,2x32
io2_l2n1n1_l5n1n1_l7p2n1,10.0,9.251,1.25,56,28,5387,7716,412,77,34,77,8x32,2x32
io2_l2n1n1_l5n1n1_l7p2n1_d1d2,10.0,9.359,1.25,56,56,8948,11311,413,69,47,69,8x32,2x32
io2_l2n1n2_l5n1n2_l7n1n1,10.0,8.847,1.25,56,8,1165,2191,39,15,27,15,8x32,2x32
io2_l2n1n2_l5n1n2_l7n1n1_d1d2,10.0,9.011,1.25,56,8,1289,3219,40,30,28,30,8x32,2x32
io2_l2n1n2_l5n1n2_l7n1n2,10.0,8.847,1.25,56,10,1446,2351,42,15,28,15,8x32,2x32
io2_l2n1n2_l5n1n2_l7n1n2_d1d2,10.0,8.858,1.25,56,8,1312,3163,43,25,28,25,8x32,2x32
io2_l2n1n2_l5n1n2_l7n1p1,10.0,8.847,1.25,56,10,1662,2577,40,15,29,15,8x32,2x32
io2_l2n1n2_l5n1n2_l7n1p1_d1d2,10.0,8.999,1.25,56,10,1980,3701,41,30,30,30,8x32,2x32
io2_l2n1n2_l5n1n2_l7n1p2,10.0,8.847,1.25,56,14,2028,2856,43,15,31,15,8x32,2x32
io2_l2n1n2_l5n1n2_l7n1p2_d1d2,10.0,8.999,1.25,56,14,2429,4002,44,25,32,25,8x32,2x32
io2_l2n1n2_l5n1n2_l7p1n1,10.0,9.229,1.25,56,28,5128,6233,226,45,34,45,8x32,2x32
io2_l2n1n2_l5n1n2_l7p1n1_d1d2,10.0,9.382,1.25,56,28,5649,8725,227,55,35,55,8x32,2x32
io2_l2n1n2_l5n1n2_l7p2n1,10.0,9.251,1.25,56,28,5443,7684,418,77,34,77,8x32,2x32
io2_l2n1n2_l5n1n2_l7p2n1_d1d2,10.0,9.382,1.25,56,56,9064,11235,419,55,47,55,8x32,2x32
io2_l2n1p1_l5n1p1_l7n1n1,10.0,8.847,1.25,56,5,1125,2478,37,23,30,23,8x32,2x32
io2_l2n1p1_l5n1p1_l7n1n1_d1d2,10.0,8.847,1.25,56,5,1227,3620,38,68,31,68,8x32,2x32
io2_l2n1p1_l5n1p1_l7n1n2,10.0,8.847,1.25,56,10,1566,2761,40,23,32,23,8x32,2x32
io2_l2n1p1_l5n1p1_l7n1n2_d1d2,10.0,8.858,1.25,56,5,1250,3564,41,63,31,63,8x32,2x32
io2_l2n1p1_l5n1p1_l7n1p1,10.0,8.847,1.25,56,7,1622,2852,38,23,32,23,8x32,2x32
io2_l2n1p1_l5n1p1_l7n1p1_d1d2,10.0,8.847,1.25,56,7,1918,4096,39,68,33,68,8x32,2x32
io2_l2n1p1_l5n1p1_l7n1p2,10.0,8.847,1.25,56,14,2148,3254,41,23,35,23,8x32,2x32
io2_l2n1p1_l5n1p1_l7n1p2_d1d2,10.0,8.847,1.25,56,14,2527,4520,42,63,36,63,8x32,2x32
io2_l2n1p1_l5n1p1_l7p1n1,10.0,9.229,1.25,56,28,5216,6641,224,53,38,53,8x32,2x32
io2_l2n1p1_l5n1p1_l7p1n1_d1d2,10.0,9.229,1.25,56,28,5717,9246,225,93,39,93,8x32,2x32
io2_l2n1p1_l5n1p1_l7p2n1,10.0,9.251,1.25,56,28,5501,8076,416,85,38,85,8x32,2x32
io2_l2n1p1_l5n1p1_l7p2n1_d1d2,10.0,9.229,1.25,56,56,9132,11755,417,93,51,93,8x32,2x32
io2_l2n1p2_l5n1p2_l7n1n1,10.0,8.562,1.25,56,5,1185,2401,43,23,30,23,8x32,2x32
io2_l2n1p2_l5n1p2_l7n1n1_d1d2,10.0,9.011,1.25,56,5,1413,3513,44,52,31,52,8x32,2x32
io2_l2n1p2_l5n1p2_l7n1n2,10.0,8.562,1.25,56,10,1626,2684,46,23,32,23,8x32,2x32
io2_l2n1p2_l5n1p2_l7n1n2_d1d2,10.0,8.813,1.25,56,5,1436,3454,47,47,31,47,8x32,2x32
io2_l2n1p2_l5n1p2_l7n1p1,10.0,8.55,1.25,56,7,1682,2787,44,23,32,23,8x32,2x32
io2_l2n1p2_l5n1p2_l7n1p1_d1d2,10.0,8.999,1.25,56,7,2104,3995,45,52,33,52,8x32,2x32
io2_l2n1p2_l5n1p2_l7n1p2,10.0,8.55,1.25,56,14,2208,3189,47,23,35,23,8x32,2x32
io2_l2n1p2_l5n1p2_l7n1p2_d1d2,10.0,8.55,1.25,56,14,2713,4419,48,47,36,47,8x32,2x32
io2_l2n1p2_l5n1p2_l7p1n1,10.0,8.933,1.25,56,28,5276,6561,230,53,38,53,8x32,2x32
io2_l2n1p2_l5n1p2_l7p1n1_d1d2,10.0,8.933,1.25,56,28,5873,9128,231,77,39,77,8x32,2x32
io2_l2n1p2_l5n1p2_l7p2n1,10.0,8.955,1.25,56,28,5563,7996,422,85,38,85,8x32,2x32
io2_l2n1p2_l5n1p2_l7p2n1_d1d2,10.0,8.824,1.25,56,56,9316,11639,423,77,51,77,8x32,2x32
io2_l2p1n1_l5p1n1_l7n1n1,10.0,9.367,1.25,56,140,12951,18690,407,199,67,199,8x32,2x32
io2_l2p1n1_l5p1n1_l7n1n1_d1d2,10.0,9.639,1.25,56,158,23677,31165,408,214,74,214,8x32,2x32
io2_l2p1n1_l5p1n1_l7n1n2,10.0,9.367,1.25,56,142,13232,18847,410,199,68,199,8x32,2x32
io2_l2p1n1_l5p1n1_l7n1n2_d1d2,10.0,9.661,1.25,56,83,20596,27492,411,209,49,209,8x32,2x32
io2_l2p1n1_l5p1n1_l7n1p1,10.0,9.367,1.25,56,142,13448,19108,408,199,69,199,8x32,2x32
io2_l2p1n1_l5p1n1_l7n1p1_d1d2,10.0,9.367,1.25,56,151,24272,31086,409,214,73,214,8x32,2x32
io2_l2p1n1_l5p1n1_l7n1p2,10.0,9.367,1.25,56,146,13814,19372,411,199,71,199,8x32,2x32
io2_l2p1n1_l5p1n1_l7n1p2_d1d2,10.0,9.367,1.25,56,161,25329,31560,412,209,77,209,8x32,2x32
io2_l2p1n1_l5p1n1_l7p1n1,10.0,9.344,1.25,56,184,18283,24075,594,229,82,229,8x32,2x32
io2_l2p1n1_l5p1n1_l7p1n1_d1d2,10.0,9.367,1.25,56,169,27397,36141,595,239,78,239,8x32,2x32
io2_l2p1n1_l5p1n1_l7p2n1,10.0,9.39,1.25,56,160,17318,24412,786,261,74,261,8x32,2x32
io2_l2p1n1_l5p1n1_l7p2n1_d1d2,10.0,9.322,1.25,56,176,29628,37776,787,239,83,239,8x32,2x32
io2_l2p2n1_l5p2n1_l7n1n1,10.0,9.002,1.25,56,26,18008,17979,663,263,30,263,8x32,2x32
io2_l2p2n1_l5p2n1_l7n1n1_d1d2,10.0,9.382,1.25,56,52,24948,26547,664,204,41,204,8x32,2x32
io2_l2p2n1_l5p2n1_l7n1n2,10.0,8.905,1.25,56,26,18030,17901,666,263,30,263,8x32,2x32
io2_l2p2n1_l5p2n1_l7n1n2_d1d2,10.0,9.229,1.25,56,52,24985,26484,667,199,41,199,8x32,2x32
io2_l2p2n1_l5p2n1_l7n1p1,10.0,8.905,1.25,56,26,18278,18158,664,263,31,263,8x32,2x32
io2_l2p2n1_l5p2n1_l7n1p1_d1d2,10.0,8.988,1.25,56,52,25412,26818,665,204,42,204,8x32,2x32
io2_l2p2n1_l5p2n1_l7n1p2,10.0,8.905,1.25,56,26,18158,18044,667,263,31,263,8x32,2x32
io2_l2p2n1_l5p2n1_l7n1p2_d1d2,10.0,8.835,1.25,56,52,25382,26706,668,199,42,199,8x32,2x32
io2_l2p2n1_l5p2n1_l7p1n1,10.0,8.952,1.25,56,34,19836,21010,850,293,32,293,8x32,2x32
io2_l2p2n1_l5p2n1_l7p1n1_d1d2,10.0,8.858,1.25,56,52,26293,29958,851,229,39,229,8x32,2x32
io2_l2p2n1_l5p2n1_l7p2n1,10.0,8.999,1.25,56,34,20023,22453,1042,325,32,325,8x32,2x32
io2_l2p2n1_l5p2n1_l7p2n1_d1d2,10.0,8.858,1.25,56,68,28428,32022,1043,229,47,229,8x32,2x32
io4_l2n1n1_l5n1n1_l7n1n1,10.0,8.847,1.25,56,5,985,2425,35,19,28,19,14x32,4x32
io4_l2n1n1_l5n1n1_l7n1n1_d1d2,10.0,8.847,1.25,112,5,1145,5200,36,19,29,19,14x32,4x32
io4_l2n1n1_l5n1n1_l7n1n2,10.0,8.858,1.25,56,5,1012,2634,38,22,28,22,14x32,4x32
io4_l2n1n1_l5n1n1_l7n1n2_d1d2,10.0,8.858,1.25,112,5,1247,5463,39,22,29,22,14x32,4x32
io4_l2n1n1_l5n1n1_l7n1n4,10.0,8.847,1.25,56,20,2308,3511,44,19,34,19,14x32,4x32
io4_l2n1n1_l5n1n1_l7n1n4_d1d2,10.0,8.847,1.25,112,20,2491,5866,45,19,35,19,14x32,4x32
io4_l2n1n1_l5n1n1_l7n1p1,10.0,8.847,1.25,56,7,1611,2869,36,19,30,19,14x32,4x32
io4_l2n1n1_l5n1n1_l7n1p1_d1d2,10.0,8.847,1.25,112,7,1635,5580,37,19,31,19,14x32,4x32
io4_l2n1n1_l5n1n1_l7n1p2,10.0,8.847,1.25,56,14,2352,3622,39,22,33,22,14x32,4x32
io4_l2n1n1_l5n1n1_l7n1p2_d1d2,10.0,8.847,1.25,112,14,2381,6387,40,22,34,22,14x32,4x32
io4_l2n1n1_l5n1n1_l7n1p4,10.0,8.847,1.25,56,28,3343,4377,45,19,39,19,14x32,4x32
io4_l2n1n1_l5n1n1_l7n1p4_d1d2,10.0,8.847,1.25,112,28,3599,7820,46,19,40,19,14x32,4x32
io4_l2n1n1_l5n1n1_l7p1n1,10.0,8.835,1.25,56,56,9857,9251,222,33,48,33,14x32,4x32
io4_l2n1n1_l5n1n1_l7p1n1_d1d2,10.0,8.835,1.25,176,56,10018,17685,223,33,49,33,14x32,4x32
io4_l2n1n1_l5n1n1_l7p2n1,10.0,9.229,1.25,56,56,9444,10899,414,49,48,49,14x32,4x32
io4_l2n1n1_l5n1n1_l7p2n1_d1d2,10.0,8.835,1.25,176,112,18258,23615,415,36,73,36,14x32,4x32
io4_l2n1n1_l5n1n1_l7p4n1,10.0,9.251,1.25,56,56,9869,13323,798,81,48,81,14x32,4x32
io4_l2n1n1_l5n1n1_l7p4n1_d1d2,10.0,8.835,1.25,176,224,35757,33094,799,33,121,33,14x32,4x32
io4_l2n1n2_l5n1n2_l7n1n1,10.0,8.847,1.25,56,8,1291,2864,41,25,29,25,14x32,4x32
io4_l2n1n2_l5n1n2_l7n1n1_d1d2,10.0,8.847,1.25,112,8,1429,5679,42,21,30,21,14x32,4x32
io4_l2n1n2_l5n1n2_l7n1n2,10.0,8.858,1.25,56,8,1318,3073,44,28,29,28,14x32,4x32
io4_l2n1n2_l5n1n2_l7n1n2_d1d2,10.0,8.858,1.25,112,8,1531,5942,45,24,30,24,14x32,4x32
io4_l2n1n2_l5n1n2_l7n1n4,10.0,8.847,1.25,56,20,2454,3827,50,25,34,25,14x32,4x32
io4_l2n1n2_l5n1n2_l7n1n4_d1d2,10.0,8.847,1.25,112,20,2615,6030,51,21,35,21,14x32,4x32
io4_l2n1n2_l5n1n2_l7n1p1,10.0,8.847,1.25,56,10,1917,3314,42,25,31,25,14x32,4x32
io4_l2n1n2_l5n1n2_l7n1p1_d1d2,10.0,8.847,1.25,112,10,1919,6065,43,21,32,21,14x32,4x32
io4_l2n1n2_l5n1n2_l7n1p2,10.0,8.847,1.25,56,14,2498,3944,45,28,33,28,14x32,4x32
io4_l2n1n2_l5n1n2_l7n1p2_d1d2,10.0,8.847,1.25,112,14,2505,6749,46,24,34,24,14x32,4x32
io4_l2n1n2_l5n1n2_l7n1p4,10.0,8.847,1.25,56,28,3489,4699,51,25,39,25,14x32,4x32
io4_l2n1n2_l5n1n2_l7n1p4_d1d2,10.0,8.847,1.25,112,28,3723,8182,52,21,40,21,14x32,4x32
io4_l2n1n2_l5n1n2_l7p1n1,10.0,8.835,1.25,56,56,10003,9555,228,39,48,39,14x32,4x32
io4_l2n1n2_l5n1n2_l7p1n1_d1d2,10.0,8.835,1.25,176,56,10142,18028,229,35,49,35,14x32,4x32
io4_l2n1n2_l5n1n2_l7p2n1,10.0,9.229,1.25,56,56,9590,11203,420,55,48,55,14x32,4x32
