prj,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks,freq(MHz)
io1_l2n1n1_l5n1n1_l7n1n1,38.692,844,844,0,0,641,28,0,5,100
io1_l2n1n1_l5n1n1_l7n1p1,40.033,1112,1103,0,9,868,28,0,7,100
io1_l2n1n1_l5n1n1_l7p1n1,47.984,2870,2870,0,0,2484,28,0,14,100
io1_l2n1p1_l5n1p1_l7n1n1,39.212,1193,1193,0,0,799,28,0,5,100
io1_l2n1p1_l5n1p1_l7n1p1,40.476,1457,1448,0,9,1026,28,0,7,100
io1_l2n1p1_l5n1p1_l7p1n1,48.847,3223,3223,0,0,2609,28,0,14,100
io1_l2p1n1_l5p1n1_l7n1n1,57.628,6131,4931,0,1200,8270,28,0,16,100
io1_l2p1n1_l5p1n1_l7n1p1,59.348,5965,4756,0,1209,8298,28,0,16,100
io1_l2p1n1_l5p1n1_l7p1n1,62.247,7652,6452,0,1200,9560,28,0,20,100
io2_l2n1n1_l5n1n1_l7n1n1,16.269,957,957,0,0,797,28,0,5,100
io2_l2n1n1_l5n1n1_l7n1n1_d1d2,16.605,1358,1358,0,0,812,28,0,5,100
io2_l2n1n1_l5n1n1_l7n1n2,20.598,1278,1278,0,0,1057,28,0,10,100
io2_l2n1n1_l5n1n1_l7n1n2_d1d2,16.963,1418,1418,0,0,853,28,0,5,100
io2_l2n1n1_l5n1n1_l7n1p1,18.236,1230,1221,0,9,1023,28,0,7,100
io2_l2n1n1_l5n1n1_l7n1p1_d1d2,18.616,1597,1587,0,10,1042,28,0,7,100
io2_l2n1n1_l5n1n1_l7n1p2,22.965,1749,1740,0,9,1481,28,0,14,100
io2_l2n1n1_l5n1n1_l7n1p2_d1d2,23.743,2110,2101,0,9,1580,28,0,14,100
io2_l2n1n1_l5n1n1_l7p1n1,37.115,4843,4843,0,0,4317,28,0,28,100
io2_l2n1n1_l5n1n1_l7p1n1_d1d2,36.735,5448,5448,0,0,4314,28,0,28,100
io2_l2n1n1_l5n1n1_l7p2n1,37.622,5026,5026,0,0,4548,28,0,28,100
io2_l2n1n1_l5n1n1_l7p2n1_d1d2,53.841,8706,8706,0,0,7590,26,0,56,100
io2_l2n1n2_l5n1n2_l7n1n1,18.798,1087,1087,0,0,755,28,0,8,100
io2_l2n1n2_l5n1n2_l7n1n1_d1d2,19.741,1387,1387,0,0,1057,28,0,8,100
io2_l2n1n2_l5n1n2_l7n1n2,19.932,1344,1344,0,0,951,28,0,10,100
io2_l2n1n2_l5n1n2_l7n1n2_d1d2,19.840,1460,1460,0,0,1060,28,0,8,100
io2_l2n1n2_l5n1n2_l7n1p1,21.179,1370,1361,0,9,981,28,0,10,100
io2_l2n1n2_l5n1n2_l7n1p1_d1d2,22.298,1652,1642,0,10,1251,28,0,10,100
io2_l2n1n2_l5n1n2_l7n1p2,24.143,1809,1800,0,9,1375,28,0,14,100
io2_l2n1n2_l5n1n2_l7n1p2_d1d2,25.605,2119,2110,0,9,1705,28,0,14,100
io2_l2n1n2_l5n1n2_l7p1n1,37.814,4830,4830,0,0,4213,28,0,28,100
io2_l2n1n2_l5n1n2_l7p1n1_d1d2,38.309,5397,5397,0,0,4465,28,0,28,100
io2_l2n1n2_l5n1n2_l7p2n1,38.256,4938,4938,0,0,4442,28,0,28,100
io2_l2n1n2_l5n1n2_l7p2n1_d1d2,55.921,8556,8556,0,0,7706,28,0,56,100
io2_l2n1p1_l5n1p1_l7n1n1,21.918,1300,1300,0,0,990,28,0,5,100
io2_l2n1p1_l5n1p1_l7n1n1_d1d2,21.291,1676,1676,0,0,1034,28,0,5,100
io2_l2n1p1_l5n1p1_l7n1n2,25.063,1603,1603,0,0,1249,28,0,10,100
io2_l2n1p1_l5n1p1_l7n1n2_d1d2,21.753,1726,1726,0,0,1075,28,0,5,100
io2_l2n1p1_l5n1p1_l7n1p1,23.257,1536,1527,0,9,1217,28,0,7,100
io2_l2n1p1_l5n1p1_l7n1p1_d1d2,24.415,1958,1948,0,10,1262,28,0,7,100
io2_l2n1p1_l5n1p1_l7n1p2,28.568,2044,2035,0,9,1671,28,0,14,100
io2_l2n1p1_l5n1p1_l7n1p2_d1d2,29.331,2453,2444,0,9,1779,28,0,14,100
io2_l2n1p1_l5n1p1_l7p1n1,43.193,5114,5114,0,0,4473,28,0,28,100
io2_l2n1p1_l5n1p1_l7p1n1_d1d2,42.424,5658,5658,0,0,4505,28,0,28,100
io2_l2n1p1_l5n1p1_l7p2n1,43.934,5225,5225,0,0,4693,28,0,28,100
io2_l2n1p1_l5n1p1_l7p2n1_d1d2,60.838,9127,9127,0,0,7782,28,0,56,100
io2_l2n1p2_l5n1p2_l7n1n1,20.835,1303,1303,0,0,861,28,0,5,100
io2_l2n1p2_l5n1p2_l7n1n1_d1d2,21.782,1696,1696,0,0,1224,28,0,5,100
io2_l2n1p2_l5n1p2_l7n1n2,24.485,1601,1601,0,0,1120,28,0,10,100
io2_l2n1p2_l5n1p2_l7n1n2_d1d2,21.846,1720,1720,0,0,1263,28,0,5,100
io2_l2n1p2_l5n1p2_l7n1p1,23.781,1570,1561,0,9,1087,28,0,7,100
io2_l2n1p2_l5n1p2_l7n1p1_d1d2,24.148,1947,1937,0,10,1452,28,0,7,100
io2_l2n1p2_l5n1p2_l7n1p2,28.543,2068,2059,0,9,1545,28,0,14,100
io2_l2n1p2_l5n1p2_l7n1p2_d1d2,28.696,2448,2439,0,9,1969,28,0,14,100
io2_l2n1p2_l5n1p2_l7p1n1,42.364,5113,5113,0,0,4343,28,0,28,100
io2_l2n1p2_l5n1p2_l7p1n1_d1d2,41.299,5614,5614,0,0,4662,28,0,28,100
io2_l2n1p2_l5n1p2_l7p2n1,42.435,5305,5305,0,0,4568,28,0,28,100
io2_l2n1p2_l5n1p2_l7p2n1_d1d2,58.333,9120,9120,0,0,8197,28,0,56,100
io2_l2p1n1_l5p1n1_l7n1n1,93.126,7471,7471,0,0,8165,28,0,140,100
io2_l2p1n1_l5p1n1_l7n1n1_d1d2,124.464,15716,15716,0,0,18430,28,0,158,100
io2_l2p1n1_l5p1n1_l7n1n2,93.852,7695,7695,0,0,8361,28,0,142,100
io2_l2p1n1_l5p1n1_l7n1n2_d1d2,93.737,14454,14454,0,0,18726,28,0,83,100
io2_l2p1n1_l5p1n1_l7n1p1,95.126,7727,7718,0,9,8369,28,0,142,100
io2_l2p1n1_l5p1n1_l7n1p1_d1d2,124.856,15647,15637,0,10,19485,28,0,151,100
io2_l2p1n1_l5p1n1_l7n1p2,98.185,8145,8136,0,9,8794,28,0,146,100
io2_l2p1n1_l5p1n1_l7n1p2_d1d2,127.744,16728,16719,0,9,19775,28,0,161,100
io2_l2p1n1_l5p1n1_l7p1n1,123.198,13288,13288,0,0,12329,28,0,184,100
io2_l2p1n1_l5p1n1_l7p1n1_d1d2,135.068,18692,18692,0,0,23059,28,0,169,100
