prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lutc_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
io1_l2n1n1_l4n1n1,10.0,8.419,1.25,32,5,727,1231,22,10,19,10,4x32,1x32
io1_l2n1n1_l4n1p1,10.0,7.966,1.25,32,5,856,1358,23,10,20,10,4x32,1x32
io1_l2n1n1_l4p1n1,10.0,8.644,1.25,32,5,4579,3933,146,72,17,72,4x32,1x32
io1_l2n1p1_l4n1n1,10.0,7.966,1.25,32,5,829,1412,24,13,21,13,4x32,1x32
io1_l2n1p1_l4n1p1,10.0,8.419,1.25,32,5,943,1515,25,13,22,13,4x32,1x32
io1_l2n1p1_l4p1n1,10.0,8.644,1.25,32,5,4649,4091,148,75,19,75,4x32,1x32
io1_l2p1n1_l4n1n1,10.0,8.59,1.25,32,16,7977,11137,209,198,21,198,4x32,1x32
io1_l2p1n1_l4n1p1,10.0,8.59,1.25,32,16,8106,11252,210,198,22,198,4x32,1x32
io1_l2p1n1_l4p1n1,10.0,8.999,1.25,32,16,11630,13783,333,260,19,260,4x32,1x32
io2_l2n1n1_l4n1n1,10.0,8.423,1.25,32,5,747,1552,23,12,20,12,6x32,2x32
io2_l2n1n1_l4n1n1_d1d2,10.0,7.966,1.25,32,5,856,2157,24,29,21,29,6x32,2x32
io2_l2n1n1_l4n1n2,10.0,8.423,1.25,32,10,1165,1849,25,12,22,12,6x32,2x32
io2_l2n1n1_l4n1n2_d1d2,10.0,8.572,1.25,32,5,839,2117,26,24,21,24,6x32,2x32
io2_l2n1n1_l4n1p1,10.0,8.423,1.25,32,5,796,1635,24,12,21,12,6x32,2x32
io2_l2n1n1_l4n1p1_d1d2,10.0,7.966,1.25,32,5,918,2256,25,29,22,29,6x32,2x32
io2_l2n1n1_l4n1p2,10.0,8.423,1.25,32,10,1357,2004,26,12,23,12,6x32,2x32
io2_l2n1n1_l4n1p2_d1d2,10.0,8.572,1.25,32,10,1591,2701,27,24,24,24,6x32,2x32
io2_l2n1n1_l4p1n1,10.0,9.047,1.25,32,10,5337,4018,147,42,20,42,6x32,2x32
io2_l2n1n1_l4p1n1_d1d2,10.0,8.48,1.25,32,18,5308,6222,148,54,24,54,6x32,2x32
io2_l2n1n1_l4p2n1,10.0,9.101,1.25,32,10,8758,6111,275,74,20,74,6x32,2x32
io2_l2n1n1_l4p2n1_d1d2,10.0,9.229,1.25,32,20,10221,6459,276,54,25,54,6x32,2x32
io2_l2n1n2_l4n1n1,10.0,8.423,1.25,32,8,999,1692,26,12,21,12,6x32,2x32
io2_l2n1n2_l4n1n1_d1d2,10.0,7.966,1.25,32,8,1106,2283,27,22,22,22,6x32,2x32
io2_l2n1n2_l4n1n2,10.0,8.423,1.25,32,10,1257,1864,28,12,22,12,6x32,2x32
io2_l2n1n2_l4n1n2_d1d2,10.0,8.572,1.25,32,8,1089,2241,29,17,22,17,6x32,2x32
io2_l2n1n2_l4n1p1,10.0,8.423,1.25,32,8,1048,1775,27,12,22,12,6x32,2x32
io2_l2n1n2_l4n1p1_d1d2,10.0,7.966,1.25,32,8,1168,2382,28,22,23,22,6x32,2x32
io2_l2n1n2_l4n1p2,10.0,8.423,1.25,32,10,1449,2019,29,12,23,12,6x32,2x32
io2_l2n1n2_l4n1p2_d1d2,10.0,8.572,1.25,32,10,1681,2702,30,17,24,17,6x32,2x32
