prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lutc_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
io1_l2n1n1_l4n1n1,10.0,8.419,1.25,32,5,727,1231,22,10,19,10,4x32,1x32
io1_l2n1n1_l4n1p1,10.0,8.419,1.25,32,5,856,1352,23,10,20,10,4x32,1x32
io1_l2n1n1_l4p1n1,10.0,9.298,1.25,32,5,4579,3927,146,72,17,72,4x32,1x32
io1_l2n1p1_l4n1n1,10.0,8.419,1.25,32,5,814,1408,24,13,21,13,4x32,1x32
io1_l2n1p1_l4n1p1,10.0,8.419,1.25,32,5,943,1515,25,13,22,13,4x32,1x32
io1_l2n1p1_l4p1n1,10.0,9.298,1.25,32,5,4634,4087,148,75,19,75,4x32,1x32
io1_l2p1n1_l4n1n1,10.0,8.835,1.25,32,16,7977,11121,209,198,21,198,4x32,1x32
io1_l2p1n1_l4n1p1,10.0,8.835,1.25,32,16,8106,11236,210,198,22,198,4x32,1x32
io1_l2p1n1_l4p1n1,10.0,8.999,1.25,32,16,11630,13783,333,260,19,260,4x32,1x32
io2_l2n1n1_l4n1n1,10.0,8.419,1.25,32,5,747,1546,23,12,20,12,6x32,2x32
io2_l2n1n1_l4n1n1_d1d2,10.0,8.572,1.25,32,5,792,2151,24,29,21,29,6x32,2x32
io2_l2n1n1_l4n1n2,10.0,8.419,1.25,32,10,1165,1837,25,12,22,12,6x32,2x32
io2_l2n1n1_l4n1n2_d1d2,10.0,8.572,1.25,32,5,839,2117,26,24,21,24,6x32,2x32
io2_l2n1n1_l4n1p1,10.0,8.419,1.25,32,5,796,1629,24,12,21,12,6x32,2x32
io2_l2n1n1_l4n1p1_d1d2,10.0,8.572,1.25,32,5,853,2246,25,29,22,29,6x32,2x32
io2_l2n1n1_l4n1p2,10.0,8.419,1.25,32,10,1357,1992,26,12,23,12,6x32,2x32
io2_l2n1n1_l4n1p2_d1d2,10.0,8.572,1.25,32,10,1591,2701,27,24,24,24,6x32,2x32
io2_l2n1n1_l4p1n1,10.0,9.229,1.25,32,10,5337,4006,147,42,20,42,6x32,2x32
io2_l2n1n1_l4p1n1_d1d2,10.0,9.428,1.25,32,18,5276,6202,148,54,24,54,6x32,2x32
io2_l2n1n1_l4p2n1,10.0,9.298,1.25,32,10,8758,6099,275,74,20,74,6x32,2x32
io2_l2n1n1_l4p2n1_d1d2,10.0,9.229,1.25,32,20,10221,6459,276,54,25,54,6x32,2x32
io2_l2n1n2_l4n1n1,10.0,8.419,1.25,32,8,999,1684,26,12,21,12,6x32,2x32
io2_l2n1n2_l4n1n1_d1d2,10.0,8.572,1.25,32,8,1042,2275,27,22,22,22,6x32,2x32
io2_l2n1n2_l4n1n2,10.0,8.419,1.25,32,10,1257,1852,28,12,22,12,6x32,2x32
io2_l2n1n2_l4n1n2_d1d2,10.0,8.572,1.25,32,8,1089,2241,29,17,22,17,6x32,2x32
io2_l2n1n2_l4n1p1,10.0,8.419,1.25,32,8,1048,1767,27,12,22,12,6x32,2x32
io2_l2n1n2_l4n1p1_d1d2,10.0,8.572,1.25,32,8,1103,2370,28,22,23,22,6x32,2x32
io2_l2n1n2_l4n1p2,10.0,8.419,1.25,32,10,1449,2007,29,12,23,12,6x32,2x32
io2_l2n1n2_l4n1p2_d1d2,10.0,8.572,1.25,32,10,1681,2702,30,17,24,17,6x32,2x32
io2_l2n1n2_l4p1n1,10.0,9.229,1.25,32,10,5397,3997,150,42,20,42,6x32,2x32
io2_l2n1n2_l4p1n1_d1d2,10.0,9.206,1.25,32,18,5334,6181,151,47,24,47,6x32,2x32
io2_l2n1n2_l4p2n1,10.0,9.298,1.25,32,10,8818,6090,278,74,20,74,6x32,2x32
io2_l2n1n2_l4p2n1_d1d2,10.0,9.382,1.25,32,20,10279,6436,279,47,25,47,6x32,2x32
io2_l2n1p1_l4n1n1,10.0,8.419,1.25,32,5,851,1745,25,16,22,16,6x32,2x32
io2_l2n1p1_l4n1n1_d1d2,10.0,8.572,1.25,32,5,899,2381,26,41,23,41,6x32,2x32
io2_l2n1p1_l4n1n2,10.0,8.419,1.25,32,10,1269,2036,27,16,24,16,6x32,2x32
io2_l2n1p1_l4n1n2_d1d2,10.0,8.419,1.25,32,5,946,2347,28,36,23,36,6x32,2x32
io2_l2n1p1_l4n1p1,10.0,8.419,1.25,32,5,900,1826,26,16,23,16,6x32,2x32
io2_l2n1p1_l4n1p1_d1d2,10.0,8.572,1.25,32,5,960,2472,27,41,24,41,6x32,2x32
io2_l2n1p1_l4n1p2,10.0,8.419,1.25,32,10,1461,2177,28,16,25,16,6x32,2x32
io2_l2n1p1_l4n1p2_d1d2,10.0,8.419,1.25,32,10,1698,2916,29,36,26,36,6x32,2x32
io2_l2n1p1_l4p1n1,10.0,9.229,1.25,32,10,5409,4186,149,46,22,46,6x32,2x32
io2_l2n1p1_l4p1n1_d1d2,10.0,9.206,1.25,32,18,5368,6424,150,66,26,66,6x32,2x32
io2_l2n1p1_l4p2n1,10.0,9.298,1.25,32,10,8830,6279,277,78,22,78,6x32,2x32
io2_l2n1p1_l4p2n1_d1d2,10.0,9.229,1.25,32,20,10313,6681,278,66,27,66,6x32,2x32
io2_l2n1p2_l4n1n1,10.0,8.847,1.25,32,5,945,1718,28,16,22,16,6x32,2x32
io2_l2n1p2_l4n1n1_d1d2,10.0,8.847,1.25,32,5,1040,2351,29,33,23,33,6x32,2x32
io2_l2n1p2_l4n1n2,10.0,8.847,1.25,32,10,1363,2009,30,16,24,16,6x32,2x32
io2_l2n1p2_l4n1n2_d1d2,10.0,8.858,1.25,32,5,1087,2316,31,28,23,28,6x32,2x32
io2_l2n1p2_l4n1p1,10.0,8.847,1.25,32,5,994,1799,29,16,23,16,6x32,2x32
io2_l2n1p2_l4n1p1_d1d2,10.0,8.847,1.25,32,5,1101,2442,30,33,24,33,6x32,2x32
io2_l2n1p2_l4n1p2,10.0,8.847,1.25,32,10,1555,2164,31,16,25,16,6x32,2x32
io2_l2n1p2_l4n1p2_d1d2,10.0,8.847,1.25,32,10,1839,2901,32,28,26,28,6x32,2x32
io2_l2n1p2_l4p1n1,10.0,9.251,1.25,32,10,5471,4153,152,46,22,46,6x32,2x32
io2_l2n1p2_l4p1n1_d1d2,10.0,9.229,1.25,32,18,5446,6377,153,58,26,58,6x32,2x32
io2_l2n1p2_l4p2n1,10.0,9.321,1.25,32,10,8892,6246,280,78,22,78,6x32,2x32
io2_l2n1p2_l4p2n1_d1d2,10.0,9.251,1.25,32,20,10391,6630,281,58,27,58,6x32,2x32
io2_l2p1n1_l4n1n1,10.0,9.263,1.25,32,152,11292,13451,210,104,67,104,6x32,2x32
io2_l2p1n1_l4n1n1_d1d2,10.0,9.058,1.25,32,176,17212,20389,211,114,76,114,6x32,2x32
io2_l2p1n1_l4n1n2,10.0,9.263,1.25,32,154,11550,13587,212,104,68,104,6x32,2x32
