prj,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks,freq(MHz)
io1_l1n1n1_l3n1n1,12.262,528,528,0,0,453,4,4,5,100
io1_l1n1n1_l3n1p1,13.041,663,663,0,0,485,4,4,5,100
io1_l1n1n1_l3p1n1,32.297,4254,3658,0,596,7342,5,3,10,100
io1_l1n1p1_l3n1n1,16.187,572,567,0,5,473,5,3,5,100
io1_l1n1p1_l3n1p1,19.183,697,692,0,5,505,5,3,5,100
io1_l1n1p1_l3p1n1,60.940,4291,3690,0,601,7369,6,2,10,100
io1_l1p1n1_l3n1n1,26.292,2245,2245,0,0,3154,5,3,10,100
io1_l1p1n1_l3n1p1,31.452,2362,2362,0,0,3230,5,3,10,100
io1_l1p1n1_l3p1n1,66.602,5553,4957,0,596,9077,6,2,10,100
io2_l1n1n1_l3n1n1,14.338,689,689,0,0,656,4,8,5,100
io2_l1n1n1_l3n1n1_d1d2,14.626,797,797,0,0,789,4,8,5,100
io2_l1n1n1_l3n1n2,18.449,774,774,0,0,779,4,8,8,100
io2_l1n1n1_l3n1n2_d1d2,17.617,835,835,0,0,845,4,8,8,100
io2_l1n1n1_l3n1p1,15.455,821,821,0,0,692,4,8,5,100
io2_l1n1n1_l3n1p1_d1d2,15.792,859,859,0,0,753,4,8,5,100
io2_l1n1n1_l3n1p2,16.190,819,819,0,0,751,4,8,5,100
io2_l1n1n1_l3n1p2_d1d2,15.969,893,893,0,0,817,4,8,5,100
io2_l1n1n1_l3p1n1,30.766,2389,2389,0,0,3731,4,6,14,100
io2_l1n1n1_l3p1n1_d1d2,31.220,2469,2469,0,0,3732,4,6,14,100
io2_l1n1n1_l3p2n1,45.392,7344,6156,0,1188,12439,6,4,20,100
io2_l1n1n1_l3p2n1_d1d2,60.660,9190,7554,0,1636,14130,4,4,40,100
io2_l1n1n2_l3n1n1,19.217,952,952,0,0,949,4,8,10,100
io2_l1n1n2_l3n1n1_d1d2,20.132,1028,1028,0,0,1046,4,8,10,100
io2_l1n1n2_l3n1n2,19.786,991,991,0,0,879,4,8,10,100
io2_l1n1n2_l3n1n2_d1d2,20.869,1076,1076,0,0,1006,4,8,10,100
io2_l1n1n2_l3n1p1,21.809,1116,1116,0,0,1016,4,8,10,100
io2_l1n1n2_l3n1p1_d1d2,21.996,1125,1125,0,0,1015,4,8,10,100
io2_l1n1n2_l3n1p2,21.609,1140,1140,0,0,947,4,8,10,100
io2_l1n1n2_l3n1p2_d1d2,21.809,1193,1193,0,0,1074,4,8,10,100
io2_l1n1n2_l3p1n1,34.459,2574,2574,0,0,3897,4,6,16,100
io2_l1n1n2_l3p1n1_d1d2,34.185,2642,2642,0,0,3895,4,6,16,100
io2_l1n1n2_l3p2n1,51.202,7987,6799,0,1188,12439,4,6,20,100
io2_l1n1n2_l3p2n1_d1d2,70.322,9793,8157,0,1636,14254,6,6,40,100
io2_l1n1p1_l3n1n1,15.824,813,813,0,0,680,4,6,5,100
io2_l1n1p1_l3n1n1_d1d2,15.711,880,880,0,0,748,4,6,5,100
io2_l1n1p1_l3n1n2,19.752,886,886,0,0,803,4,6,8,100
io2_l1n1p1_l3n1n2_d1d2,20.664,942,942,0,0,835,4,6,8,100
io2_l1n1p1_l3n1p1,18.906,906,906,0,0,716,4,6,5,100
io2_l1n1p1_l3n1p1_d1d2,19.245,957,957,0,0,709,4,6,5,100
io2_l1n1p1_l3n1p2,17.706,922,922,0,0,775,4,6,5,100
io2_l1n1p1_l3n1p2_d1d2,17.977,1001,1001,0,0,776,4,6,5,100
io2_l1n1p1_l3p1n1,33.912,2556,2556,0,0,3755,8,4,14,100
io2_l1n1p1_l3p1n1_d1d2,34.892,2579,2579,0,0,3687,8,4,14,100
io2_l1n1p1_l3p2n1,54.216,7355,6167,0,1188,12496,8,4,20,100
io2_l1n1p1_l3p2n1_d1d2,72.434,9799,8163,0,1636,14255,8,4,40,100
io2_l1n1p2_l3n1n1,22.457,1048,1043,0,5,1003,6,4,10,100
io2_l1n1p2_l3n1n1_d1d2,22.852,1149,1144,0,5,1058,6,4,10,100
io2_l1n1p2_l3n1n2,22.495,1052,1047,0,5,902,6,4,10,100
io2_l1n1p2_l3n1n2_d1d2,23.963,1185,1180,0,5,1018,6,4,10,100
io2_l1n1p2_l3n1p1,27.030,1173,1168,0,5,1039,6,4,10,100
io2_l1n1p2_l3n1p1_d1d2,28.022,1233,1228,0,5,1021,6,4,10,100
io2_l1n1p2_l3n1p2,26.157,1204,1199,0,5,970,6,4,10,100
io2_l1n1p2_l3n1p2_d1d2,26.896,1281,1276,0,5,1086,6,4,10,100
io2_l1n1p2_l3p1n1,39.784,2674,2669,0,5,3919,10,0,16,100
io2_l1n1p2_l3p1n1_d1d2,41.011,2826,2821,0,5,3906,10,0,16,100
io2_l1n1p2_l3p2n1,99.674,8172,6979,0,1193,12593,10,2,20,100
io2_l1n1p2_l3p2n1_d1d2,102.648,9803,8162,0,1641,14269,6,2,40,100
io2_l1p1n1_l3n1n1,38.999,4173,4173,0,0,4205,6,6,18,100
io2_l1p1n1_l3n1n1_d1d2,40.979,4267,4267,0,0,4233,6,6,18,100
io2_l1p1n1_l3n1n2,41.718,4174,4174,0,0,4165,6,6,18,100
io2_l1p1n1_l3n1n2_d1d2,43.314,4287,4287,0,0,4221,6,6,18,100
io2_l1p1n1_l3n1p1,44.920,4276,4276,0,0,4240,6,6,18,100
io2_l1p1n1_l3n1p1_d1d2,45.990,4374,4374,0,0,4230,6,6,18,100
io2_l1p1n1_l3n1p2,45.436,4306,4306,0,0,4167,6,6,18,100
io2_l1p1n1_l3n1p2_d1d2,45.817,4383,4383,0,0,4225,6,6,18,100
io2_l1p1n1_l3p1n1,50.548,5844,5844,0,0,6676,8,4,18,100
io2_l1p1n1_l3p1n1_d1d2,51.390,6050,6050,0,0,6729,8,4,18,100
io2_l1p1n1_l3p2n1,108.134,9723,8535,0,1188,14292,6,2,20,100
io2_l1p1n1_l3p2n1_d1d2,128.495,12806,11170,0,1636,16388,6,4,40,100
io2_l1p2n1_l3n1n1,38.554,3610,3610,0,0,4840,6,6,20,100
io2_l1p2n1_l3n1n1_d1d2,57.898,6442,6442,0,0,6481,6,6,38,100
io2_l1p2n1_l3n1n2,40.108,3717,3717,0,0,4807,6,6,20,100
io2_l1p2n1_l3n1n2_d1d2,61.144,6251,6251,0,0,6542,6,6,38,100
io2_l1p2n1_l3n1p1,45.132,3623,3623,0,0,4876,6,6,20,100
io2_l1p2n1_l3n1p1_d1d2,65.026,6442,6442,0,0,6546,6,6,38,100
io2_l1p2n1_l3n1p2,44.752,3812,3812,0,0,4816,6,6,20,100
io2_l1p2n1_l3n1p2_d1d2,64.274,6509,6509,0,0,6544,6,6,38,100
io2_l1p2n1_l3p1n1,48.439,5070,5070,0,0,7661,8,4,20,100
io2_l1p2n1_l3p1n1_d1d2,69.298,7966,7966,0,0,9015,8,4,38,100
io2_l1p2n1_l3p2n1,110.800,8324,7136,0,1188,14619,8,2,20,100
io2_l1p2n1_l3p2n1_d1d2,131.977,12664,11028,0,1636,15413,6,4,40,100
io4_l1n1n1_l3n1n1,15.827,1361,849,512,0,1611,4,0,5,100
io4_l1n1n1_l3n1n1_d1d2,20.962,1627,1115,512,0,1611,0,16,5,100
io4_l1n1n1_l3n1n2,19.673,1495,983,512,0,1764,4,0,8,100
