prj,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks,freq(MHz)
io1_l1n1n1_l3n1n1_l5n1,14.230,628,628,0,0,475,8,4,5,100
io1_l1n1n1_l3n1p1_l5n1,16.059,737,737,0,0,537,8,4,5,100
io1_l1n1n1_l3p1n1_l5n1,45.424,4863,4267,0,596,7624,9,3,16,100
io1_l1n1p1_l3n1n1_l5n1,16.604,734,734,0,0,537,8,4,5,100
io1_l1n1p1_l3n1p1_l5n1,19.058,800,800,0,0,567,8,4,5,100
io1_l1n1p1_l3p1n1_l5n1,54.121,4739,4143,0,596,7658,9,3,16,100
io1_l1p1n1_l3n1n1_l5p1,43.822,4645,4049,0,596,7696,9,3,16,100
io1_l1p1n1_l3n1p1_l5p1,56.612,4951,4355,0,596,7671,9,3,16,100
io1_l1p1n1_l3p1n1_l5p1,91.758,6971,5779,0,1192,9963,9,3,16,100
io2_l1n1n1_l3n1n1_l5n1,16.103,768,768,0,0,613,8,8,5,100
io2_l1n1n1_l3n1n1_l5n1_d1d2,15.495,867,867,0,0,679,8,8,5,100
io2_l1n1n1_l3n1n2_l5n1,20.212,888,888,0,0,736,8,8,8,100
io2_l1n1n1_l3n1n2_l5n1_d1d2,20.695,957,957,0,0,830,8,8,8,100
io2_l1n1n1_l3n1p1_l5n1,16.852,894,894,0,0,674,8,8,5,100
io2_l1n1n1_l3n1p1_l5n1_d1d2,17.677,958,958,0,0,671,8,8,5,100
io2_l1n1n1_l3n1p2_l5n1,17.402,946,946,0,0,701,8,8,5,100
io2_l1n1n1_l3n1p2_l5n1_d1d2,17.416,1025,1025,0,0,762,8,8,5,100
io2_l1n1n1_l3p1n1_l5n1,48.243,3846,3846,0,0,4845,8,6,26,100
io2_l1n1n1_l3p1n1_l5n1_d1d2,49.581,3682,3682,0,0,4671,8,6,26,100
io2_l1n1n1_l3p2n1_l5n1,68.779,8782,7594,0,1188,12912,8,6,32,100
io2_l1n1n1_l3p2n1_l5n1_d1d2,94.817,11578,9942,0,1636,15291,6,6,64,100
io2_l1n1n2_l3n1n1_l5n1,18.250,874,874,0,0,736,8,8,8,100
io2_l1n1n2_l3n1n1_l5n1_d1d2,19.748,966,966,0,0,830,8,8,8,100
io2_l1n1n2_l3n1n2_l5n1,19.187,865,865,0,0,603,8,8,8,100
io2_l1n1n2_l3n1n2_l5n1_d1d2,20.176,930,930,0,0,725,8,8,8,100
io2_l1n1n2_l3n1p1_l5n1,21.844,998,998,0,0,797,8,8,8,100
io2_l1n1n2_l3n1p1_l5n1_d1d2,23.083,1028,1028,0,0,855,8,8,8,100
io2_l1n1n2_l3n1p2_l5n1,20.196,997,997,0,0,664,8,8,8,100
io2_l1n1n2_l3n1p2_l5n1_d1d2,21.890,1057,1057,0,0,786,8,8,8,100
io2_l1n1n2_l3p1n1_l5n1,49.817,3808,3808,0,0,4773,8,6,26,100
