prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
io1_l2n1n1_l5n1n1_l7n1n1,10.0,7.966,1.25,56,5,870,1525,30,12,25,12,6x32,1x32
io1_l2n1n1_l5n1n1_l7n1p1,10.0,7.966,1.25,56,5,999,1637,31,12,26,12,6x32,1x32
io1_l2n1n1_l5n1n1_l7p1n1,10.0,9.177,1.25,56,10,2505,3827,154,74,25,74,6x32,1x32
io1_l2n1p1_l5n1p1_l7n1n1,10.0,7.966,1.25,56,5,1058,1868,34,18,29,18,6x32,1x32
io1_l2n1p1_l5n1p1_l7n1p1,10.0,7.966,1.25,56,5,1187,1980,35,18,30,18,6x32,1x32
io1_l2n1p1_l5n1p1_l7p1n1,10.0,9.177,1.25,56,10,2661,4153,158,80,29,80,6x32,1x32
io1_l2p1n1_l5p1n1_l7n1n1,10.0,8.644,1.25,56,16,14291,19652,383,262,67,262,6x32,1x32
io1_l2p1n1_l5p1n1_l7n1p1,10.0,8.644,1.25,56,16,14420,19764,384,262,68,262,6x32,1x32
io1_l2p1n1_l5p1n1_l7p1n1,10.0,8.016,1.25,56,16,15315,21566,507,324,65,324,6x32,1x32
io2_l2n1n1_l5n1n1_l7n1n1,10.0,8.423,1.25,56,5,929,1953,30,12,25,12,10x32,2x32
io2_l2n1n1_l5n1n1_l7n1n1_d1d2,10.0,7.966,1.25,56,5,1074,2934,31,41,26,41,10x32,2x32
io2_l2n1n1_l5n1n1_l7n1n2,10.0,8.423,1.25,56,10,1306,2244,32,12,27,12,10x32,2x32
io2_l2n1n1_l5n1n1_l7n1n2_d1d2,10.0,8.423,1.25,56,5,1069,2900,33,36,26,36,10x32,2x32
io2_l2n1n1_l5n1n1_l7n1p1,10.0,8.423,1.25,56,5,1231,2161,31,12,26,12,10x32,2x32
io2_l2n1n1_l5n1n1_l7n1p1_d1d2,10.0,8.423,1.25,56,5,1653,3270,32,41,27,41,10x32,2x32
io2_l2n1n1_l5n1n1_l7n1p2,10.0,8.423,1.25,56,10,1434,2355,33,12,28,12,10x32,2x32
io2_l2n1n1_l5n1n1_l7n1p2_d1d2,10.0,8.423,1.25,56,10,1905,3486,34,36,29,36,10x32,2x32
io2_l2n1n1_l5n1n1_l7p1n1,10.0,9.597,1.25,56,20,4145,4727,154,42,29,42,10x32,2x32
io2_l2n1n1_l5n1n1_l7p1n1_d1d2,10.0,8.499,1.25,56,20,4672,6747,155,66,30,66,10x32,2x32
io2_l2n1n1_l5n1n1_l7p2n1,10.0,9.634,1.25,56,20,4076,5882,282,74,29,74,10x32,2x32
io2_l2n1n1_l5n1n1_l7p2n1_d1d2,10.0,8.499,1.25,56,40,7691,8388,283,66,38,66,10x32,2x32
io2_l2n1n2_l5n1n2_l7n1n1,10.0,9.066,1.25,56,8,1246,2195,35,14,26,14,10x32,2x32
io2_l2n1n2_l5n1n2_l7n1n1_d1d2,10.0,7.966,1.25,56,8,1383,3010,36,27,27,27,10x32,2x32
io2_l2n1n2_l5n1n2_l7n1n2,10.0,9.066,1.25,56,10,1463,2361,37,14,27,14,10x32,2x32
io2_l2n1n2_l5n1n2_l7n1n2_d1d2,10.0,9.085,1.25,56,8,1378,2976,38,22,27,22,10x32,2x32
io2_l2n1n2_l5n1n2_l7n1p1,10.0,9.066,1.25,56,8,1548,2403,36,14,27,14,10x32,2x32
io2_l2n1n2_l5n1n2_l7n1p1_d1d2,10.0,9.066,1.25,56,8,1962,3346,37,27,28,27,10x32,2x32
io2_l2n1n2_l5n1n2_l7n1p2,10.0,9.066,1.25,56,10,1591,2472,38,14,28,14,10x32,2x32
io2_l2n1n2_l5n1n2_l7n1p2_d1d2,10.0,9.066,1.25,56,10,2054,3437,39,22,29,22,10x32,2x32
io2_l2n1n2_l5n1n2_l7p1n1,10.0,9.634,1.25,56,20,4302,4823,159,44,29,44,10x32,2x32
io2_l2n1n2_l5n1n2_l7p1n1_d1d2,10.0,8.499,1.25,56,20,4821,6676,160,52,30,52,10x32,2x32
