prj,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks,freq(MHz)
io1_l2n1n1_l5n1n1_l7n1n1,20.359,861,861,0,0,637,28,0,5,100
io1_l2n1n1_l5n1n1_l7n1p1,21.163,899,890,0,9,676,28,0,5,100
io1_l2n1n1_l5n1n1_l7p1n1,28.607,2130,2130,0,0,1924,28,0,10,100
io1_l2n1p1_l5n1p1_l7n1n1,27.524,1198,1198,0,0,838,28,0,5,100
io1_l2n1p1_l5n1p1_l7n1p1,29.295,1228,1219,0,9,878,28,0,5,100
io1_l2n1p1_l5n1p1_l7p1n1,37.529,2448,2448,0,0,2093,28,0,10,100
io1_l2p1n1_l5p1n1_l7n1n1,146.997,6229,5029,0,1200,10485,28,0,16,100
io1_l2p1n1_l5p1n1_l7n1p1,150.400,6168,4959,0,1209,10573,28,0,16,100
io1_l2p1n1_l5p1n1_l7p1n1,152.246,7127,5927,0,1200,11327,28,0,16,100
io2_l2n1n1_l5n1n1_l7n1n1,20.496,1004,1004,0,0,791,28,0,5,100
io2_l2n1n1_l5n1n1_l7n1n1_d1d2,21.736,1312,1312,0,0,1093,28,0,5,100
io2_l2n1n1_l5n1n1_l7n1n2,24.861,1241,1241,0,0,987,28,0,10,100
io2_l2n1n1_l5n1n1_l7n1n2_d1d2,22.028,1377,1377,0,0,1049,28,0,5,100
io2_l2n1n1_l5n1n1_l7n1p1,21.193,1018,1011,0,7,809,28,0,5,100
io2_l2n1n1_l5n1n1_l7n1p1_d1d2,22.005,1335,1327,0,8,1045,28,0,5,100
io2_l2n1n1_l5n1n1_l7n1p2,25.416,1309,1302,0,7,1023,28,0,10,100
io2_l2n1n1_l5n1n1_l7n1p2_d1d2,26.142,1668,1662,0,6,1407,28,0,10,100
io2_l2n1n1_l5n1n1_l7p1n1,38.425,3261,3261,0,0,3518,28,0,20,100
io2_l2n1n1_l5n1n1_l7p1n1_d1d2,40.135,3647,3647,0,0,3732,28,0,20,100
io2_l2n1n1_l5n1n1_l7p2n1,38.395,3294,3294,0,0,3360,28,0,20,100
io2_l2n1n1_l5n1n1_l7p2n1_d1d2,58.507,5881,5881,0,0,6712,28,0,40,100
io2_l2n1n2_l5n1n2_l7n1n1,24.277,1209,1209,0,0,967,28,0,8,100
io2_l2n1n2_l5n1n2_l7n1n1_d1d2,25.365,1395,1395,0,0,1248,28,0,8,100
io2_l2n1n2_l5n1n2_l7n1n2,26.572,1386,1386,0,0,1099,28,0,10,100
io2_l2n1n2_l5n1n2_l7n1n2_d1d2,26.978,1440,1440,0,0,1198,28,0,8,100
io2_l2n1n2_l5n1n2_l7n1p1,24.172,1216,1208,0,8,985,28,0,8,100
io2_l2n1n2_l5n1n2_l7n1p1_d1d2,25.128,1419,1411,0,8,1223,28,0,8,100
io2_l2n1n2_l5n1n2_l7n1p2,27.684,1436,1429,0,7,1135,28,0,10,100
io2_l2n1n2_l5n1n2_l7n1p2_d1d2,27.321,1611,1604,0,7,1412,28,0,10,100
io2_l2n1n2_l5n1n2_l7p1n1,41.049,3391,3391,0,0,3630,28,0,20,100
io2_l2n1n2_l5n1n2_l7p1n1_d1d2,41.049,3733,3733,0,0,3821,28,0,20,100
io2_l2n1n2_l5n1n2_l7p2n1,40.030,3467,3467,0,0,3473,28,0,20,100
io2_l2n1n2_l5n1n2_l7p2n1_d1d2,58.289,5830,5830,0,0,6799,28,0,40,100
io2_l2n1p1_l5n1p1_l7n1n1,27.812,1341,1341,0,0,1017,28,0,5,100
io2_l2n1p1_l5n1p1_l7n1n1_d1d2,28.211,1667,1667,0,0,1214,28,0,5,100
io2_l2n1p1_l5n1p1_l7n1n2,32.202,1637,1637,0,0,1213,28,0,10,100
io2_l2n1p1_l5n1p1_l7n1n2_d1d2,28.596,1650,1650,0,0,1195,28,0,5,100
io2_l2n1p1_l5n1p1_l7n1p1,28.379,1381,1373,0,8,1035,28,0,5,100
io2_l2n1p1_l5n1p1_l7n1p1_d1d2,28.434,1728,1720,0,8,1257,28,0,5,100
io2_l2n1p1_l5n1p1_l7n1p2,33.003,1679,1671,0,8,1249,28,0,10,100
io2_l2n1p1_l5n1p1_l7n1p2_d1d2,34.110,1993,1986,0,7,1505,28,0,10,100
io2_l2n1p1_l5n1p1_l7p1n1,45.764,3633,3633,0,0,3713,28,0,20,100
io2_l2n1p1_l5n1p1_l7p1n1_d1d2,46.097,4017,4017,0,0,3885,28,0,20,100
io2_l2n1p1_l5n1p1_l7p2n1,45.539,3712,3712,0,0,3555,28,0,20,100
io2_l2n1p1_l5n1p1_l7p2n1_d1d2,64.156,6119,6119,0,0,6860,28,0,40,100
io2_l2n1p2_l5n1p2_l7n1n1,28.172,1407,1407,0,0,1112,28,0,5,100
io2_l2n1p2_l5n1p2_l7n1n1_d1d2,26.520,1642,1642,0,0,1430,28,0,5,100
io2_l2n1p2_l5n1p2_l7n1n2,31.933,1647,1647,0,0,1305,28,0,10,100
io2_l2n1p2_l5n1p2_l7n1n2_d1d2,28.597,1733,1733,0,0,1382,28,0,5,100
io2_l2n1p2_l5n1p2_l7n1p1,27.922,1454,1446,0,8,1134,28,0,5,100
io2_l2n1p2_l5n1p2_l7n1p1_d1d2,26.977,1638,1630,0,8,1435,28,0,5,100
io2_l2n1p2_l5n1p2_l7n1p2,32.081,1735,1728,0,7,1348,28,0,10,100
io2_l2n1p2_l5n1p2_l7n1p2_d1d2,31.506,1917,1911,0,6,1688,28,0,10,100
io2_l2n1p2_l5n1p2_l7p1n1,46.060,3687,3687,0,0,3808,28,0,20,100
