prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
io1_l2n1n1_l5n1n1_l8n1n1,10.0,8.419,1.25,56,5,906,1586,32,13,28,13,4x32,1x32
io1_l2n1n1_l5n1n1_l8n1p1,10.0,8.419,1.25,56,5,977,1756,34,16,30,16,4x32,1x32
io1_l2n1n1_l5n1n1_l8p1n1,10.0,9.229,1.25,56,10,7754,10691,177,138,49,138,4x32,1x32
io1_l2n1p1_l5n1p1_l8n1n1,10.0,8.419,1.25,56,5,1048,1926,36,19,32,19,4x32,1x32
io1_l2n1p1_l5n1p1_l8n1p1,10.0,8.419,1.25,56,5,1119,2096,38,22,34,22,4x32,1x32
io1_l2n1p1_l5n1p1_l8p1n1,10.0,9.229,1.25,56,10,7896,11027,181,144,53,144,4x32,1x32
io1_l2p1n1_l5p1n1_l8n1n1,10.0,8.905,1.25,56,10,8871,17807,322,263,68,263,4x32,1x32
io1_l2p1n1_l5p1n1_l8n1p1,10.0,8.905,1.25,56,10,8942,17977,324,266,70,266,4x32,1x32
io1_l2p1n1_l5p1n1_l8p1n1,10.0,8.999,1.25,56,10,10052,24931,467,388,87,388,4x32,1x32
io2_l2n1n1_l5n1n1_l8n1n1,10.0,8.419,1.25,56,5,936,2038,32,13,28,13,8x32,2x32
io2_l2n1n1_l5n1n1_l8n1n1_d1d2,10.0,8.572,1.25,56,5,1006,3095,33,49,29,49,8x32,2x32
io2_l2n1n1_l5n1n1_l8n1n2,10.0,8.419,1.25,56,8,1194,2215,34,14,29,14,8x32,2x32
io2_l2n1n1_l5n1n1_l8n1n2_d1d2,10.0,8.572,1.25,56,8,1257,3189,35,42,30,42,8x32,2x32
io2_l2n1n1_l5n1n1_l8n1p1,10.0,8.419,1.25,56,5,1002,2230,34,17,30,17,8x32,2x32
io2_l2n1n1_l5n1n1_l8n1p1_d1d2,10.0,8.572,1.25,56,5,1128,3333,35,61,31,61,8x32,2x32
