prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
io1_l2n1n1_l5n1n1_l7n1n1,10.0,7.966,1.25,56,5,888,1592,32,13,25,13,5x32,1x32
io1_l2n1n1_l5n1n1_l7n1p1,10.0,7.966,1.25,56,7,1244,1912,33,13,27,13,5x32,1x32
io1_l2n1n1_l5n1n1_l7p1n1,10.0,9.177,1.25,56,14,3136,4753,219,75,27,75,5x32,1x32
io1_l2n1p1_l5n1p1_l7n1n1,10.0,7.966,1.25,56,5,1060,1918,36,19,29,19,5x32,1x32
io1_l2n1p1_l5n1p1_l7n1p1,10.0,7.966,1.25,56,7,1416,2232,37,19,31,19,5x32,1x32
io1_l2n1p1_l5n1p1_l7p1n1,10.0,9.177,1.25,56,14,3276,5069,223,81,31,81,5x32,1x32
io1_l2p1n1_l5p1n1_l7n1n1,10.0,9.23,1.25,56,16,9195,18988,406,389,25,389,5x32,1x32
io1_l2p1n1_l5p1n1_l7n1p1,10.0,8.644,1.25,56,16,9324,19112,407,389,26,389,5x32,1x32
io1_l2p1n1_l5p1n1_l7p1n1,10.0,8.675,1.25,56,20,10768,21774,593,451,25,451,5x32,1x32
io2_l2n1n1_l5n1n1_l7n1n1,10.0,8.423,1.25,56,5,949,2110,33,15,26,15,8x32,2x32
io2_l2n1n1_l5n1n1_l7n1n1_d1d2,10.0,7.966,1.25,56,5,1142,3170,34,44,27,44,8x32,2x32
io2_l2n1n1_l5n1n1_l7n1n2,10.0,8.423,1.25,56,10,1390,2399,36,15,28,15,8x32,2x32
io2_l2n1n1_l5n1n1_l7n1n2_d1d2,10.0,9.085,1.25,56,5,1100,3110,37,39,27,39,8x32,2x32
io2_l2n1n1_l5n1n1_l7n1p1,10.0,8.423,1.25,56,7,1446,2494,34,15,28,15,8x32,2x32
io2_l2n1n1_l5n1n1_l7n1p1_d1d2,10.0,8.423,1.25,56,7,1848,3646,35,44,29,44,8x32,2x32
io2_l2n1n1_l5n1n1_l7n1p2,10.0,8.423,1.25,56,14,1972,2906,37,15,31,15,8x32,2x32
io2_l2n1n1_l5n1n1_l7n1p2_d1d2,10.0,8.423,1.25,56,14,2377,4080,38,39,32,39,8x32,2x32
io2_l2n1n1_l5n1n1_l7p1n1,10.0,9.597,1.25,56,28,5072,6321,220,45,34,45,8x32,2x32
io2_l2n1n1_l5n1n1_l7p1n1_d1d2,10.0,9.597,1.25,56,28,5597,8842,221,69,35,69,8x32,2x32
io2_l2n1n1_l5n1n1_l7p2n1,10.0,9.634,1.25,56,28,5387,7756,412,77,34,77,8x32,2x32
io2_l2n1n1_l5n1n1_l7p2n1_d1d2,10.0,9.14,1.25,56,56,9012,11391,413,69,47,69,8x32,2x32
io2_l2n1n2_l5n1n2_l7n1n1,10.0,9.085,1.25,56,8,1165,2199,39,15,27,15,8x32,2x32
io2_l2n1n2_l5n1n2_l7n1n1_d1d2,10.0,7.966,1.25,56,8,1418,3231,40,30,28,30,8x32,2x32
io2_l2n1n2_l5n1n2_l7n1n2,10.0,9.085,1.25,56,10,1446,2363,42,15,28,15,8x32,2x32
io2_l2n1n2_l5n1n2_l7n1n2_d1d2,10.0,8.423,1.25,56,8,1376,3171,43,25,28,25,8x32,2x32
io2_l2n1n2_l5n1n2_l7n1p1,10.0,9.066,1.25,56,10,1662,2589,40,15,29,15,8x32,2x32
io2_l2n1n2_l5n1n2_l7n1p1_d1d2,10.0,9.066,1.25,56,10,2124,3713,41,30,30,30,8x32,2x32
io2_l2n1n2_l5n1n2_l7n1p2,10.0,9.066,1.25,56,14,2028,2876,43,15,31,15,8x32,2x32
io2_l2n1n2_l5n1n2_l7n1p2_d1d2,10.0,9.066,1.25,56,14,2493,4022,44,25,32,25,8x32,2x32
io2_l2n1n2_l5n1n2_l7p1n1,10.0,9.634,1.25,56,28,5128,6273,226,45,34,45,8x32,2x32
io2_l2n1n2_l5n1n2_l7p1n1_d1d2,10.0,9.634,1.25,56,28,5713,8765,227,55,35,55,8x32,2x32
io2_l2n1n2_l5n1n2_l7p2n1,10.0,9.672,1.25,56,28,5443,7724,418,77,34,77,8x32,2x32
