name_unique,dataset_name,name,part,target_clock_period,version_vitis_hls,version_vivado,clock_period,latency_best_cycles,latency_best_seconds,latency_average_cycles,latency_average_seconds,latency_worst_cycles,latency_worst_seconds,resources_lut_used,resources_ff_used,resources_dsp_used,resources_bram_used,resources_uram_used
atax_opt_0be919c04b989f7b73228901ad21d07d,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,8895.0,6.240732000000001e-05,8895.0,6.240732000000001e-05,8895.0,6.240732000000001e-05,29082,33104,320,70,0
atax_opt_0e0ff6d326fbe666c4ef0da00595eb88,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.2720000000000005e-09,3046.0,2.2150512e-05,3046.0,2.2150512e-05,3046.0,2.2150512e-05,87489,143200,640,252,0
atax_opt_0e66b56c6b01a368b452665c22ca8bcb,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,25560.0,0.00017932896000000001,25560.0,0.00017932896000000001,25560.0,0.00017932896000000001,1814,1768,5,13,0
atax_opt_115bb59f31c2cbb10eb131a5be433154,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,21521.0,0.00015099133600000002,21521.0,0.00015099133600000002,21521.0,0.00015099133600000002,2134,1899,10,20,0
atax_opt_16e8f88f590fe5d45c730afd973de098,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,26700.0,0.0001899438,26700.0,0.0001899438,26700.0,0.0001899438,2291,1552,5,8,0
atax_opt_24593534ba274fa438da9dcd317da89a,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,21007.0,0.000149443798,21007.0,0.000149443798,21007.0,0.000149443798,3612,3644,14,8,0
atax_opt_25b1f1b198ec3bad7649d71be61792f7,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,38987.0,0.000277353518,38987.0,0.000277353518,38987.0,0.000277353518,2269,1457,5,8,0
atax_opt_2fabd2ab7c82ae536f56d18732998a21,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,42571.0,0.000302850094,42571.0,0.000302850094,42571.0,0.000302850094,3550,2837,5,8,0
atax_opt_3ad9fdbea18a5a233f5b328adb94a22f,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.2720000000000005e-09,21840.0,0.00015882048,21840.0,0.00015882048,21840.0,0.00015882048,34303,40929,80,6,0
atax_opt_3e575d5a1904331bcb191220d155dcff,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.2720000000000005e-09,1518.0,1.1038896000000001e-05,1518.0,1.1038896000000001e-05,1518.0,1.1038896000000001e-05,110854,151240,1280,480,0
atax_opt_410cdd8209865d12ed09830ca4642605,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,9080.0,6.370528000000001e-05,9080.0,6.370528000000001e-05,9080.0,6.370528000000001e-05,12510,18561,80,126,0
atax_opt_4fad2325864ddbe70516b9256f49103d,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.331000000000001e-09,5142.0,3.7696002000000005e-05,5142.0,3.7696002000000005e-05,5142.0,3.7696002000000005e-05,61332,75120,320,4,0
atax_opt_5136c0bcc922ebcef59e41fd4214b679,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,22544.0,0.000160378016,22544.0,0.000160378016,22544.0,0.000160378016,3020,2956,20,11,0
atax_opt_61c4c1d4aa9c2251bdc85a41855a46f1,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,22544.0,0.000160378016,22544.0,0.000160378016,22544.0,0.000160378016,2869,2750,20,11,0
