name_unique,dataset_name,name,part,target_clock_period,version_vitis_hls,version_vivado,hls_synth__clock_period,hls_synth__latency_best_cycles,hls_synth__latency_best_seconds,hls_synth__latency_average_cycles,hls_synth__latency_average_seconds,hls_synth__latency_worst_cycles,hls_synth__latency_worst_seconds,hls_synth__resources_lut_used,hls_synth__resources_ff_used,hls_synth__resources_dsp_used,hls_synth__resources_bram_used,hls_synth__resources_uram_used,impl__power__total_power,impl__power__dynamic_power,impl__power__static_power,impl__utilization__Total LUTs,impl__utilization__Logic LUTs,impl__utilization__LUTRAMs,impl__utilization__SRLs,impl__utilization__FFs,impl__utilization__RAMB36,impl__utilization__RAMB18,impl__utilization__URAM,impl__utilization__DSP Blocks,impl__timing__wns,impl__timing__tns,impl__timing__whs,impl__timing__ths,impl__timing__wpws,impl__timing__tpws,impl__timing__clock_period,impl__timing__clock_frequency,execution__OptDSLFrontend__t_start,execution__OptDSLFrontend__t_end,execution__OptDSLFrontend__dt,execution__OptDSLFrontend__core,execution__VitisHLSSynthFlow__t_start,execution__VitisHLSSynthFlow__t_end,execution__VitisHLSSynthFlow__dt,execution__VitisHLSSynthFlow__core,execution__VitisHLSImplFlow__t_start,execution__VitisHLSImplFlow__t_end,execution__VitisHLSImplFlow__dt,execution__VitisHLSImplFlow__core,execution__VitisHLSImplReportFlow__t_start,execution__VitisHLSImplReportFlow__t_end,execution__VitisHLSImplReportFlow__dt,execution__VitisHLSImplReportFlow__core
gsm_opt_0825d38964e1f45ee6f4b4e5a77df443,chstone_xilinx,Gsm_LPC_Analysis,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.26e-09,108.0,7.8408e-07,420.0,3.0492e-06,871.0,6.32346e-06,51464,17157,87,4,0,908.947,287.142,621.805,21773,21772,0,1,14756,0,0,0,87,-1.913,-416.897,0.019,0.0,4.468,0.0,10.0,100.0,636266.717022335,636266.745664616,0.02864228095859289,26,636268.61019646,636335.114131916,66.5039354559267,4,637833.764368902,639223.492299011,1389.7279301090166,4,663963.393475089,664117.574320972,154.18084588297643,0
gsm_opt_21690a955914018aa275971f2f423857,chstone_xilinx,Gsm_LPC_Analysis,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.26e-09,108.0,7.8408e-07,440.0,3.1944000000000003e-06,990.0,7.1874e-06,51977,17138,87,4,0,907.99,286.19,621.799,21216,21215,0,1,14907,0,0,0,87,-1.808,-226.21,0.019,0.0,4.468,0.0,10.0,100.0,636266.717022335,636266.722322531,0.005300196004100144,26,636268.609998086,636339.278169675,70.66817158902995,0,637833.7635267,639121.411392115,1287.647865415085,0,663963.393478865,664114.092493688,150.69901482295245,1
gsm_opt_27863689f8abfb23e9d96304bae8f117,chstone_xilinx,Gsm_LPC_Analysis,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.26e-09,103.0,7.4778e-07,428.0,3.10728e-06,970.0,7.0422e-06,100594,21675,222,4,0,1013.89,391.504,622.386,23055,23046,0,9,17347,0,0,0,222,-3.111,-205.682,0.019,0.0,4.468,0.0,10.0,100.0,636266.717022335,636266.729351753,0.012329417979344726,26,636268.61005893,636344.311089392,75.70103046204895,2,637833.76420004,639633.846229913,1800.0820298729232,2,661885.443441548,662004.484445174,119.04100362595636,3
gsm_opt_27c4dc8848daaa91366fd06e8511c808,chstone_xilinx,Gsm_LPC_Analysis,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.1670000000000006e-09,376.0,2.6947920000000002e-06,758.0,5.432586e-06,1279.0,9.166593e-06,36826,15428,45,4,0,911.232,289.415,621.817,24221,24221,0,0,13692,0,0,0,45,-3.304,-801.693,0.019,0.0,4.725,0.0,10.0,100.0,636266.717022335,636266.726315105,0.009292769944295287,26,636268.610033153,636342.831773783,74.22174062998965,1,637833.764071211,639150.56764218,1316.8035709690303,1,663963.393520503,664111.868307598,148.47478709509596,3
gsm_opt_5a12f066ea792355b337b19a500fb595,chstone_xilinx,Gsm_LPC_Analysis,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.2960000000000004e-09,376.0,2.7432960000000004e-06,765.0,5.581440000000001e-06,1318.0,9.616128000000001e-06,34871,15224,45,4,0,915.499,293.658,621.841,23895,23895,0,0,13656,0,0,0,45,-4.138,-2251.278,0.019,0.0,4.725,0.0,10.0,100.0,636266.717022335,636266.824774211,0.10775187599938363,26,636268.610416384,636339.46580245,70.85538606601767,8,637833.765375159,639100.993592864,1267.2282177050365,7,663963.393590994,664110.078977023,146.6853860290721,2
gsm_opt_73e5eac93b050dd742ef5d06d9e5b6ac,chstone_xilinx,Gsm_LPC_Analysis,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.2960000000000004e-09,145.0,1.05792e-06,474.0,3.458304e-06,967.0,7.055232000000001e-06,41101,16305,67,4,0,885.168,263.494,621.674,22182,22181,0,1,14338,0,0,0,67,-3.61,-1201.003,0.019,0.0,4.468,0.0,10.0,100.0,636266.717022335,636267.421975188,0.7049528529169038,26,636268.610481446,636337.821364815,69.21088336897083,10,637833.765491973,639045.660128642,1211.8946366689634,9,663963.393630606,664114.138258079,150.74462747294456,4
gsm_opt_d25cb66319504ea6f111a2d07fd066c0,chstone_xilinx,Gsm_LPC_Analysis,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.2960000000000004e-09,225.0,1.6416e-06,574.0,4.187904e-06,1087.0,7.930752e-06,36615,16041,53,4,0,830.098,208.728,621.37,22574,22574,0,0,14243,0,0,0,53,-5.963,-5348.006,0.019,0.0,4.725,0.0,10.0,100.0,636266.717022335,636266.847714698,0.13069236290175468,26,636268.610403023,636340.150985822,71.54058279900346,9,637833.76539938,638980.183239007,1146.4178396270145,8,663963.393717321,664118.08163118,154.68791385903023,5
gsm_opt_d7f2c78f25dad857db9d4aad849fc992,chstone_xilinx,Gsm_LPC_Analysis,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.26e-09,108.0,7.8408e-07,435.0,3.1581e-06,980.0,7.1148e-06,71402,19447,139,4,0,940.648,318.668,621.98,21473,21456,0,17,16171,0,0,0,139,-2.091,-494.861,0.019,0.0,4.468,0.0,10.0,100.0,636266.717022335,636266.754512783,0.037490447983145714,26,636268.610225992,636340.776149535,72.16592354292516,5,637833.76444441,639397.605424647,1563.8409802370006,5,663963.393776217,664127.730314306,164.3365380889736,6
gsm_opt_ea12b54bf509c1a86145135d646cfeba,chstone_xilinx,Gsm_LPC_Analysis,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.26e-09,103.0,7.4778e-07,408.0,2.9620800000000003e-06,851.0,6.17826e-06,101941,21820,222,4,0,1019.426,397.01,622.416,23849,23840,0,9,17318,0,0,0,222,-2.308,-99.277,0.01,0.0,4.468,0.0,10.0,100.0,636266.717022335,636266.772218392,0.05519605695735663,26,636268.610270402,636345.647892993,77.03762259089854,7,637833.765285421,639633.856291992,1800.0910065709613,6,661885.444448627,662004.677825379,119.2333767520031,10
gsm_opt_fc0fcb3053f2eeb9e1c660093414c4db,chstone_xilinx,Gsm_LPC_Analysis,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.2960000000000004e-09,108.0,7.879680000000001e-07,422.0,3.078912e-06,900.0,6.5664e-06,73442,19636,139,4,0,952.492,330.447,622.045,22040,22023,0,17,16366,0,0,0,139,-1.247,-46.178,0.019,0.0,4.468,0.0,10.0,100.0,636266.717022335,636266.732173509,0.015151173924095929,26,636268.610167576,636343.841124643,75.2309570669895,3,637833.764314933,639296.07819269,1462.3138777570566,3,663963.393823031,664128.586499954,165.1926769230049,7
