design_id,dataset_name,latency_average_cycles,resources_lut_used,resources_ff_used,resources_bram_used,resources_dsp_used,PC_0,PC_1
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-1.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-flatten.__PIPE__L3-flatten.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,12777.0,17181.0,11944.0,5.0,253.0,-3.9848056,3.534248
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-1.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-flatten.__PIPE__L3-flatten.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-80,hlsyn,12777.0,17181.0,11944.0,5.0,253.0,-3.9978724,3.5086453
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-1.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-off.__PIPE__L3-flatten.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-80,hlsyn,190418.0,7755.0,3968.0,5.0,45.0,-4.85908,-3.4799767
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-1.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-flatten.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,190418.0,7754.0,3968.0,5.0,45.0,-4.9021883,-3.4802177
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-1.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-flatten.__TILE__L0-40.__TILE__L1-1.__TILE__L2-1.__TILE__L3-80,hlsyn,190418.0,7754.0,3968.0,5.0,45.0,-4.8256373,-3.4315467
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-1.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-off.__TILE__L0-40.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,898162.0,178.0,0.0,7.0,0.0,5.1373534,-7.938844
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-1.__PARA__L5-16.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-off.__TILE__L0-40.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,404559.0,2185.0,432.0,5.0,4.0,-1.7711251,-8.112842
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-1.__PARA__L5-16.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-off.__TILE__L0-40.__TILE__L1-1.__TILE__L2-1.__TILE__L3-8,hlsyn,2273727.0,8263.0,3903.0,2.0,6.0,9.451292,-4.8044014
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-1.__PARA__L5-16.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-off.__TILE__L0-40.__TILE__L1-1.__TILE__L2-1.__TILE__L3-80,hlsyn,404559.0,2185.0,432.0,5.0,4.0,-1.7463738,-8.1469965
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-1.__PARA__L5-32.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-flatten.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-80,hlsyn,117819.0,14312.0,9704.0,5.0,252.0,-3.9941883,3.4501297
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-1.__PARA__L5-50.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-NA.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-2,hlsyn,221760.0,231691.0,68613.0,2.0,83.0,-1.2486632,3.88033
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-1.__PARA__L5-50.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-NA.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-2,hlsyn,221760.0,231691.0,68613.0,2.0,83.0,-1.2760916,3.8556743
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-1.__PARA__L5-50.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-flatten.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-2,hlsyn,221760.0,311452.0,114743.0,2.0,620.0,-0.5663577,6.530159
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-1.__PARA__L5-50.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-flatten.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-2,hlsyn,221760.0,311452.0,114743.0,2.0,620.0,-0.5469129,6.4656773
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-1.__PARA__L5-50.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-off.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-2,hlsyn,221760.0,231691.0,68613.0,2.0,83.0,-1.2020351,3.910973
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-1.__PARA__L5-50.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-off.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-2,hlsyn,221760.0,231691.0,68613.0,2.0,83.0,-1.2340536,3.9066164
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-1.__PARA__L5-50.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-NA.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-2,hlsyn,221760.0,231691.0,68613.0,2.0,83.0,-1.318991,3.8783088
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-1.__PARA__L5-50.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-flatten.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-2,hlsyn,221760.0,311452.0,114743.0,2.0,620.0,-0.5413968,6.6173167
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-16.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-flatten.__TILE__L0-40.__TILE__L1-1.__TILE__L2-1.__TILE__L3-80,hlsyn,140192.0,10452.0,4289.0,12.0,47.0,-4.0984573,-3.1452248
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-16.__PARA__L5-16.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-NA.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,366555.0,4599.0,1177.0,12.0,17.0,-1.6849543,-7.0431437
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-16.__PARA__L5-16.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,366555.0,4599.0,1177.0,12.0,17.0,-1.6698264,-7.0247297
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-16.__PARA__L5-25.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-NA.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,305755.0,7855.0,2190.0,12.0,18.0,-2.6007676,-6.9915876
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-16.__PARA__L5-25.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-NA.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,305755.0,7855.0,2190.0,12.0,18.0,-2.6231139,-6.8966813
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-16.__PARA__L5-25.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-off.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,305755.0,7855.0,2190.0,12.0,18.0,-2.5710127,-6.8584256
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-16.__PARA__L5-25.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-off.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,305755.0,7855.0,2190.0,12.0,18.0,-2.5710595,-6.8595896
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-16.__PARA__L5-25.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-NA.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,305755.0,7855.0,2190.0,12.0,18.0,-2.5577667,-6.9639215
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-16.__PARA__L5-25.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,305755.0,7855.0,2190.0,12.0,18.0,-2.5214086,-7.089534
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-2.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-flatten.__TILE__L0-40.__TILE__L1-1.__TILE__L2-1.__TILE__L3-80,hlsyn,130193.0,7868.0,3985.0,5.0,45.0,-4.9207206,-3.2296987
