prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
io1_l2n1n1_l5n1n1_l8n1n1,10.0,8.419,1.25,56,5,906,1586,32.0,13.0,28.0,13.0,4x32,1x32
io1_l2n1n1_l5n1n1_l8n1p1,10.0,8.419,1.25,56,5,977,1756,34.0,16.0,30.0,16.0,4x32,1x32
io1_l2n1n1_l5n1n1_l8p1n1,10.0,9.229,1.25,56,10,7754,10691,177.0,138.0,49.0,138.0,4x32,1x32
io1_l2n1p1_l5n1p1_l8n1n1,10.0,8.419,1.25,56,5,1048,1926,36.0,19.0,32.0,19.0,4x32,1x32
io1_l2n1p1_l5n1p1_l8n1p1,10.0,8.419,1.25,56,5,1119,2096,38.0,22.0,34.0,22.0,4x32,1x32
io1_l2n1p1_l5n1p1_l8p1n1,10.0,9.229,1.25,56,10,7896,11027,181.0,144.0,53.0,144.0,4x32,1x32
io1_l2p1n1_l5p1n1_l8n1n1,10.0,8.905,1.25,56,10,8871,17807,322.0,263.0,68.0,263.0,4x32,1x32
io1_l2p1n1_l5p1n1_l8n1p1,10.0,8.905,1.25,56,10,8942,17977,324.0,266.0,70.0,266.0,4x32,1x32
io1_l2p1n1_l5p1n1_l8p1n1,10.0,8.999,1.25,56,10,10052,24931,467.0,388.0,87.0,388.0,4x32,1x32
io2_l2n1n1_l5n1n1_l8n1n1,10.0,8.419,1.25,56,5,936,2038,32.0,13.0,28.0,13.0,8x32,2x32
io2_l2n1n1_l5n1n1_l8n1n1_d1d2,10.0,8.572,1.25,56,5,1006,3095,33.0,49.0,29.0,49.0,8x32,2x32
io2_l2n1n1_l5n1n1_l8n1n2,10.0,8.419,1.25,56,8,1194,2215,34.0,14.0,29.0,14.0,8x32,2x32
io2_l2n1n1_l5n1n1_l8n1n2_d1d2,10.0,8.572,1.25,56,8,1257,3189,35.0,42.0,30.0,42.0,8x32,2x32
io2_l2n1n1_l5n1n1_l8n1p1,10.0,8.419,1.25,56,5,1002,2230,34.0,17.0,30.0,17.0,8x32,2x32
io2_l2n1n1_l5n1n1_l8n1p1_d1d2,10.0,8.572,1.25,56,5,1128,3333,35.0,61.0,31.0,61.0,8x32,2x32
io2_l2n1n1_l5n1n1_l8n1p2,10.0,8.419,1.25,56,5,1129,2301,37.0,18.0,31.0,18.0,8x32,2x32
io2_l2n1n1_l5n1n1_l8n1p2_d1d2,10.0,8.572,1.25,56,5,1269,3297,37.0,53.0,31.0,53.0,8x32,2x32
io2_l2n1n1_l5n1n1_l8p1n1,10.0,9.32,1.25,56,8,3103,7472,177.0,74.0,48.0,74.0,8x32,2x32
io2_l2n1n1_l5n1n1_l8p1n1_d1d2,10.0,9.451,1.25,56,14,9519,13892,169.0,103.0,42.0,103.0,8x32,2x32
io2_l2n1n1_l5n1n1_l8p2n1,10.0,9.229,1.25,56,20,15116,11521,305.0,74.0,53.0,74.0,8x32,2x32
io2_l2n1n1_l5n1n1_l8p2n1_d1d2,10.0,9.359,1.25,56,40,19568,18042,297.0,98.0,53.0,98.0,8x32,2x32
io2_l2n1n2_l5n1n2_l8n1n1,10.0,8.55,1.25,56,8,1260,2266,36.0,15.0,29.0,15.0,8x32,2x32
io2_l2n1n2_l5n1n2_l8n1n1_d1d2,10.0,8.999,1.25,56,8,1316,3157,37.0,35.0,30.0,35.0,8x32,2x32
io2_l2n1n2_l5n1n2_l8n1n2,10.0,8.562,1.25,56,8,1326,2299,38.0,16.0,29.0,16.0,8x32,2x32
io2_l2n1n2_l5n1n2_l8n1n2_d1d2,10.0,9.011,1.25,56,8,1375,3107,39.0,28.0,30.0,28.0,8x32,2x32
io2_l2n1n2_l5n1n2_l8n1p1,10.0,8.55,1.25,56,8,1326,2458,38.0,19.0,31.0,19.0,8x32,2x32
io2_l2n1n2_l5n1n2_l8n1p1_d1d2,10.0,8.999,1.25,56,8,1438,3395,39.0,47.0,32.0,47.0,8x32,2x32
io2_l2n1n2_l5n1n2_l8n1p2,10.0,8.562,1.25,56,8,1421,2514,41.0,20.0,32.0,20.0,8x32,2x32
io2_l2n1n2_l5n1n2_l8n1p2_d1d2,10.0,9.011,1.25,56,8,1547,3344,41.0,39.0,32.0,39.0,8x32,2x32
io2_l2n1n2_l5n1n2_l8p1n1,10.0,9.32,1.25,56,8,3235,7547,181.0,76.0,48.0,76.0,8x32,2x32
io2_l2n1n2_l5n1n2_l8p1n1_d1d2,10.0,9.474,1.25,56,14,9637,13787,173.0,89.0,42.0,89.0,8x32,2x32
io2_l2n1n2_l5n1n2_l8p2n1,10.0,9.229,1.25,56,20,15248,11599,309.0,76.0,53.0,76.0,8x32,2x32
io2_l2n1n2_l5n1n2_l8p2n1_d1d2,10.0,9.382,1.25,56,40,19686,17937,301.0,84.0,53.0,84.0,8x32,2x32
io2_l2n1p1_l5n1p1_l8n1n1,10.0,8.419,1.25,56,5,1068,2422,36.0,21.0,32.0,21.0,8x32,2x32
io2_l2n1p1_l5n1p1_l8n1n1_d1d2,10.0,8.572,1.25,56,5,1250,3571,37.0,73.0,33.0,73.0,8x32,2x32
io2_l2n1p1_l5n1p1_l8n1n2,10.0,8.419,1.25,56,8,1326,2599,38.0,22.0,33.0,22.0,8x32,2x32
io2_l2n1p1_l5n1p1_l8n1n2_d1d2,10.0,8.572,1.25,56,8,1501,3665,39.0,66.0,34.0,66.0,8x32,2x32
io2_l2n1p1_l5n1p1_l8n1p1,10.0,8.419,1.25,56,5,1134,2614,38.0,25.0,34.0,25.0,8x32,2x32
io2_l2n1p1_l5n1p1_l8n1p1_d1d2,10.0,8.419,1.25,56,5,1372,3809,39.0,85.0,35.0,85.0,8x32,2x32
io2_l2n1p1_l5n1p1_l8n1p2,10.0,8.419,1.25,56,5,1261,2685,41.0,26.0,35.0,26.0,8x32,2x32
io2_l2n1p1_l5n1p1_l8n1p2_d1d2,10.0,8.419,1.25,56,5,1513,3773,41.0,77.0,35.0,77.0,8x32,2x32
io2_l2n1p1_l5n1p1_l8p1n1,10.0,9.32,1.25,56,8,3235,7848,181.0,82.0,52.0,82.0,8x32,2x32
io2_l2n1p1_l5n1p1_l8p1n1_d1d2,10.0,9.451,1.25,56,14,9733,14352,173.0,127.0,46.0,127.0,8x32,2x32
io2_l2n1p1_l5n1p1_l8p2n1,10.0,9.229,1.25,56,20,15248,11897,309.0,82.0,57.0,82.0,8x32,2x32
io2_l2n1p1_l5n1p1_l8p2n1_d1d2,10.0,9.206,1.25,56,40,19775,18502,301.0,122.0,57.0,122.0,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1n1,10.0,8.847,1.25,56,5,1258,2543,42.0,23.0,34.0,23.0,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1n1_d1d2,10.0,8.999,1.25,56,5,1468,3478,41.0,57.0,33.0,57.0,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1n2,10.0,8.847,1.25,56,8,1484,2705,44.0,24.0,35.0,24.0,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1n2_d1d2,10.0,9.011,1.25,56,8,1687,3557,43.0,50.0,34.0,50.0,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1p1,10.0,8.847,1.25,56,5,1324,2735,44.0,27.0,36.0,27.0,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1p1_d1d2,10.0,8.847,1.25,56,5,1590,3716,43.0,69.0,35.0,69.0,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1p2,10.0,8.858,1.25,56,5,1387,2783,47.0,28.0,37.0,28.0,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1p2_d1d2,10.0,8.858,1.25,56,5,1667,3657,45.0,61.0,35.0,61.0,8x32,2x32
io2_l2n1p2_l5n1p2_l8p1n1,10.0,9.025,1.25,56,8,3361,7938,187.0,84.0,54.0,84.0,8x32,2x32
io2_l2n1p2_l5n1p2_l8p1n1_d1d2,10.0,9.474,1.25,56,14,9903,14228,177.0,111.0,46.0,111.0,8x32,2x32
io2_l2n1p2_l5n1p2_l8p2n1,10.0,9.251,1.25,56,20,15374,11992,315.0,84.0,59.0,84.0,8x32,2x32
io2_l2n1p2_l5n1p2_l8p2n1_d1d2,10.0,9.229,1.25,56,40,19931,18382,305.0,106.0,57.0,106.0,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1n1,10.0,9.069,1.25,56,8,5109,12523,322.0,135.0,67.0,135.0,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1n1_d1d2,10.0,9.245,1.25,56,14,16688,23808,305.0,157.0,52.0,157.0,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1n2,10.0,9.19,1.25,56,8,5186,12537,324.0,136.0,67.0,136.0,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1n2_d1d2,10.0,9.639,1.25,56,14,16765,23737,307.0,150.0,52.0,150.0,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1p1,10.0,9.069,1.25,56,8,5186,12731,324.0,139.0,69.0,139.0,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1p1_d1d2,10.0,9.245,1.25,56,14,16813,24058,307.0,169.0,54.0,169.0,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1p2,10.0,9.463,1.25,56,8,5249,12760,327.0,140.0,70.0,140.0,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1p2_d1d2,10.0,9.639,1.25,56,14,16879,23980,309.0,161.0,54.0,161.0,8x32,2x32
io2_l2p1n1_l5p1n1_l8p1n1,10.0,9.438,1.25,56,8,4923,16343,467.0,196.0,86.0,196.0,8x32,2x32
io2_l2p1n1_l5p1n1_l8p1n1_d1d2,10.0,9.392,1.25,56,14,23853,32751,441.0,211.0,62.0,211.0,8x32,2x32
io2_l2p1n1_l5p1n1_l8p2n1,10.0,9.022,1.25,56,20,16622,21581,595.0,196.0,91.0,196.0,8x32,2x32
io2_l2p1n1_l5p1n1_l8p2n1_d1d2,10.0,9.282,1.25,56,40,33374,38175,569.0,206.0,73.0,206.0,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1n1,10.0,8.905,1.25,56,20,17575,16577,578.0,135.0,72.0,135.0,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1n1_d1d2,10.0,8.988,1.25,56,40,23311,26209,561.0,147.0,63.0,147.0,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1n2,10.0,9.002,1.25,56,20,17577,16608,580.0,136.0,72.0,136.0,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1n2_d1d2,10.0,9.382,1.25,56,40,23370,26154,563.0,140.0,63.0,140.0,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1p1,10.0,8.905,1.25,56,20,17641,16769,580.0,139.0,74.0,139.0,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1p1_d1d2,10.0,8.835,1.25,56,40,23418,26447,563.0,159.0,65.0,159.0,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1p2,10.0,9.298,1.25,56,20,17640,16816,583.0,140.0,75.0,140.0,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1p2_d1d2,10.0,9.229,1.25,56,40,23510,26389,565.0,151.0,65.0,151.0,8x32,2x32
io2_l2p2n1_l5p2n1_l8p1n1,10.0,9.415,1.25,56,20,18270,21836,723.0,196.0,91.0,196.0,8x32,2x32
io2_l2p2n1_l5p2n1_l8p1n1_d1d2,10.0,9.285,1.25,56,40,30216,36540,697.0,201.0,73.0,201.0,8x32,2x32
io2_l2p2n1_l5p2n1_l8p2n1,10.0,8.999,1.25,56,20,19906,21661,851.0,196.0,91.0,196.0,8x32,2x32
io2_l2p2n1_l5p2n1_l8p2n1_d1d2,10.0,8.858,1.25,56,40,27061,34293,825.0,196.0,73.0,196.0,8x32,2x32
io4_l2n1n1_l5n1n1_l8n1n1,10.0,8.419,1.25,56,5,996,2244,32.0,13.0,28.0,13.0,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1n1_d1d2,10.0,8.419,1.25,112,5,1256,4949,33.0,13.0,29.0,13.0,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1n2,10.0,8.419,1.25,56,8,1252,2503,34.0,17.0,29.0,17.0,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1n2_d1d2,10.0,8.419,1.25,112,8,1509,4647,35.0,16.0,30.0,16.0,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1n4,10.0,8.847,1.25,56,8,1443,2597,39.0,16.0,30.0,16.0,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1n4_d1d2,10.0,8.602,1.25,112,14,1967,4913,39.0,13.0,32.0,13.0,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1p1,10.0,8.419,1.25,56,5,1063,2446,34.0,16.0,30.0,16.0,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1p1_d1d2,10.0,8.419,1.25,112,5,1325,5223,35.0,16.0,31.0,16.0,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1p2,10.0,8.419,1.25,56,5,1191,2598,37.0,20.0,31.0,20.0,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1p2_d1d2,10.0,8.419,1.25,112,5,1453,5611,37.0,19.0,31.0,19.0,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1p4,10.0,8.858,1.25,56,5,1396,2740,43.0,19.0,33.0,19.0,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1p4_d1d2,10.0,8.858,1.25,112,5,1647,5721,41.0,16.0,31.0,16.0,16x32,4x32
io4_l2n1n1_l5n1n1_l8p1n1,10.0,8.945,1.25,56,11,2026,6793,177.0,42.0,49.0,42.0,16x32,4x32
io4_l2n1n1_l5n1n1_l8p1n1_d1d2,10.0,9.206,1.25,112,14,2321,10751,164.0,42.0,37.0,42.0,16x32,4x32
io4_l2n1n1_l5n1n1_l8p2n1,10.0,9.392,1.25,56,8,6711,8324,305.0,45.0,48.0,45.0,16x32,4x32
io4_l2n1n1_l5n1n1_l8p2n1_d1d2,10.0,9.322,1.25,120,26,8239,13404,292.0,45.0,41.0,45.0,16x32,4x32
io4_l2n1n1_l5n1n1_l8p4n1,10.0,9.229,1.25,56,40,28621,16757,561.0,42.0,61.0,42.0,16x32,4x32
io4_l2n1n1_l5n1n1_l8p4n1_d1d2,10.0,9.206,1.25,144,80,40646,26768,548.0,42.0,64.0,42.0,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1n1,10.0,8.493,1.25,56,8,1316,2636,36.0,21.0,29.0,21.0,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1n1_d1d2,10.0,8.59,1.25,112,8,1570,5851,37.0,19.0,30.0,19.0,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1n2,10.0,8.505,1.25,56,8,1380,2751,38.0,25.0,29.0,25.0,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1n2_d1d2,10.0,8.602,1.25,112,8,1631,5021,39.0,22.0,30.0,22.0,16x32,4x32
