design_id,dataset_name,parallel_type,name,part,target_clock_period,version_vitis_hls,version_vivado,clock_period,latency_best_cycles,latency_best_seconds,latency_average_cycles,latency_average_seconds,latency_worst_cycles,latency_worst_seconds,resources_lut_used,resources_ff_used,resources_dsp_used,resources_bram_used,resources_uram_used,t_start,t_end,dt,core,timeout
aes_table_opt_4e97c4ec45461e153f8283862d3e3578,machsuite_xilinx,naive,aes256_encrypt_ecb,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.0290000000000004e-09,611.0,4.294719e-06,611.0,4.294719e-06,611.0,4.294719e-06,330469.0,83173.0,0.0,32.0,0.0,239607.789934709,239648.314040835,40.5241061259876,0,False
aes_table_opt_ab8ded9686249a892c7f6fe24da20e97,machsuite_xilinx,naive,aes256_encrypt_ecb,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.279e-09,681.0,4.956999e-06,681.0,4.956999e-06,681.0,4.956999e-06,325694.0,83625.0,0.0,4.0,0.0,239607.789973165,239642.074657206,34.284684040991124,1,False
aes_table_opt_eb868b80d752ab472992ad760d56ec8a,machsuite_xilinx,naive,aes256_encrypt_ecb,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.279e-09,675.0,4.913325e-06,675.0,4.913325e-06,675.0,4.913325e-06,329044.0,83492.0,0.0,16.0,0.0,239607.79011401,239644.702461855,36.91234784500557,2,False
aes_table_opt_8a3159a366752f8c339d58638516d152,machsuite_xilinx,naive,aes256_encrypt_ecb,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.0290000000000004e-09,611.0,4.294719e-06,611.0,4.294719e-06,611.0,4.294719e-06,330467.0,83197.0,0.0,32.0,0.0,239607.790146625,239648.461248591,40.671101965999696,3,False
aes_table_opt_ae0c036a27cbdac38e9f7652e60291d4,machsuite_xilinx,naive,aes256_encrypt_ecb,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.117e-09,952.0,6.775384e-06,952.0,6.775384e-06,952.0,6.775384e-06,394822.0,77792.0,0.0,2.0,0.0,239607.790137187,239648.180948103,40.39081091599655,4,False
aes_table_opt_7f09e675a6cebdaef9c714805d5e69eb,machsuite_xilinx,naive,aes256_encrypt_ecb,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.117e-09,804.0,5.722068e-06,804.0,5.722068e-06,804.0,5.722068e-06,395561.0,78767.0,0.0,4.0,0.0,239607.790165427,239647.727490528,39.93732510099653,5,False
aes_table_opt_ee825ed4146ae5d56bfc842d60d0c7ae,machsuite_xilinx,naive,aes256_encrypt_ecb,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.117e-09,1582.0,1.1259094e-05,1725.0,1.2276825e-05,1868.0,1.3294556000000001e-05,399394.0,78182.0,0.0,12.0,0.0,239607.790180234,239644.078793817,36.288613582990365,6,False
aes_table_opt_b2733e866f820d30cfce275bb14fa847,machsuite_xilinx,naive,aes256_encrypt_ecb,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,6.925e-09,1686.0,1.167555e-05,1855.0,1.2845875e-05,2024.0,1.40162e-05,329173.0,83921.0,0.0,6.0,0.0,239607.790221921,239643.483225158,35.693003237014636,7,False
aes_tableless_opt_48668a8d8254b27e431933143841f4f1,machsuite_xilinx,naive,aes256_encrypt_ecb,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,6.925e-09,1469.0,1.0172825e-05,16924.0,0.00011719869999999999,102058.0,0.00070675165,331945.0,60475.0,0.0,0.0,0.0,239607.790249436,239645.954577958,38.16432852201979,9,False
aes_tableless_opt_f64a26452d92e9c786d7935842beec1c,machsuite_xilinx,naive,aes256_encrypt_ecb,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,6.925e-09,1786.0,1.236805e-05,17344.0,0.0001201072,102582.0,0.00071038035,328398.0,60404.0,0.0,0.0,0.0,239607.794384842,239640.548723521,32.75433867899119,8,False
aes_tableless_opt_e4c1ea15e94f505396dd01a3a999135d,machsuite_xilinx,naive,aes256_encrypt_ecb,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,6.925e-09,1897.0,1.3136724999999999e-05,17364.0,0.00012024569999999999,102498.0,0.00070979865,329708.0,60341.0,0.0,0.0,0.0,239607.794391505,239643.56333186,35.768940354988445,10,False
aes_tableless_opt_b6e739c7c5e29191492e58590ff9e4e0,machsuite_xilinx,naive,aes256_encrypt_ecb,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,6.925e-09,1313.0,9.092525e-06,16859.0,0.000116748575,102097.0,0.000707021725,331148.0,60084.0,0.0,0.0,0.0,239607.794414419,239642.953284281,35.15886986197438,11,False
aes_tableless_opt_89f9068edf021178eaa856502707db82,machsuite_xilinx,naive,aes256_encrypt_ecb,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.042e-09,1916.0,1.3492472e-05,17474.0,0.000123051908,102712.0,0.000723297904,214294.0,22810.0,0.0,0.0,0.0,239607.794462909,239638.680424587,30.88596167799551,12,False
aes_tableless_opt_aa5e0fa4286ec3a18b42bd07f50c0c57,machsuite_xilinx,naive,aes256_encrypt_ecb,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.042e-09,1786.0,1.2577012000000001e-05,17344.0,0.000122136448,102582.0,0.000722382444,214541.0,23613.0,0.0,0.0,0.0,239607.794463206,239639.060824776,31.26636157001485,13,False
aes_tableless_opt_34154e2bd0cd397b1a0856d9968fe91e,machsuite_xilinx,naive,aes256_encrypt_ecb,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.042e-09,1717.0,1.2091114e-05,17275.0,0.00012165055,102513.0,0.0007218965460000001,214527.0,23520.0,0.0,0.0,0.0,239607.794535545,239637.114448515,29.319912970007863,14,False
aes_tableless_opt_2f634706742d788f5aab9c8b5bdb39a9,machsuite_xilinx,naive,aes256_encrypt_ecb,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,6.925e-09,1825.0,1.2638125e-05,17383.0,0.000120377275,102621.0,0.000710650425,328781.0,60446.0,0.0,0.0,0.0,239607.794581725,239639.894712901,32.10013117600465,15,False
backprop_opt_d13f86bb90be73765d4dbe9dffebeace,machsuite_xilinx,naive,,,,,,,,,,,,,,,,,,239607.794738496,239907.881160657,300.0864221609954,16,True
backprop_opt_4e8c63128c1c62d48cce9ac93499e608,machsuite_xilinx,naive,backprop,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.537e-09,5382424.0,0.040567329687999996,5382424.0,0.040567329687999996,5382424.0,0.040567329687999996,45698.0,78436.0,158.0,72.0,0.0,239607.794717722,239885.457777077,277.6630593550217,17,False
backprop_opt_4b2b92342f23ba65431667e2a0b5f508,machsuite_xilinx,naive,,,,,,,,,,,,,,,,,,239607.794831089,239907.871655923,300.0768248339882,18,True
backprop_opt_4cecfd4509659fbe123e4fb468bd21d2,machsuite_xilinx,naive,,,,,,,,,,,,,,,,,,239607.794855714,239907.8463317,300.05147598602343,20,True
backprop_opt_bc75a876ea3c76d3f60f6ccb7ff0c250,machsuite_xilinx,naive,backprop,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.357000000000001e-09,11985065.0,0.08817412320500001,11985065.0,0.08817412320500001,11985065.0,0.08817412320500001,102075.0,113719.0,720.0,64.0,0.0,239607.794850136,239834.204401011,226.40955087498878,21,False
backprop_opt_aea225282d06a1f3e32a55beabccf4c1,machsuite_xilinx,naive,,,,,,,,,,,,,,,,,,239607.794871291,239907.845890041,300.051018750004,22,True
backprop_opt_53a53c348a3bd63e0b611fed3ad29845,machsuite_xilinx,naive,backprop,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.386000000000001e-09,11743662.0,0.08673868753200001,11743662.0,0.08673868753200001,11743662.0,0.08673868753200001,24886.0,29848.0,147.0,54.0,0.0,239607.794909376,239708.764524225,100.9696148489893,23,False
backprop_opt_bb73cb58665ad8147eabbcd0255ed8bd,machsuite_xilinx,naive,,,,,,,,,,,,,,,,,,239607.794941638,239907.827068959,300.0321273209993,24,True
bfs_bulk_opt_ee592148aa8b94669fec2b1e4312b769,machsuite_xilinx,naive,bfs,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,6.936e-09,770.0,5.34072e-06,263690.0,0.00182895384,1044500.0,0.007244652,45244.0,70302.0,16.0,0.0,0.0,239607.794979712,239681.227681952,73.43270224001026,25,False
bfs_bulk_opt_5b227ae9456d8f93d814c258910dde91,machsuite_xilinx,naive,bfs,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,3.239e-09,770.0,2.49403e-06,373770.0,0.00121064103,1487380.0,0.00481762382,37726.0,19024.0,0.0,0.0,0.0,239607.795140269,239673.668727374,65.87358710498665,19,False
bfs_bulk_opt_4fac3c55de2c649c270ddf5e0f55ca07,machsuite_xilinx,naive,bfs,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,3.792e-09,770.0,2.9198400000000002e-06,209930.0,0.0007960545600000001,832020.0,0.00315501984,6406.0,33449.0,0.0,0.0,0.0,239607.795077645,239747.012263476,139.21718583101756,26,False
