prj,total_pwr(uW),static_pwr(uW),dynamic_pwr(mW),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks
io1_l1n1n1_l3p1n1,361247.45454545453,347532.3243243243,13.71513022113021,27.823,4229,3631,0,598,7385,5,3,0,10
io1_l1n1p1_l3n1n1,340602.44155844155,330027.35135135136,10.575090207090193,11.534,570,563,0,7,473,5,3,0,5
io1_l1n1p1_l3n1p1,345199.4266666667,331804.358974359,13.395067692307697,14.167,686,679,0,7,505,5,3,0,5
io1_l1n1p1_l3p1n1,389891.05333333334,347817.0,42.074053333333346,45.732,4283,3678,0,605,7392,6,2,0,10
io1_l1p1n1_l3n1n1,348326.96153846156,337275.4736842105,11.051487854251056,21.953,2278,2278,0,0,3099,5,3,0,10
io1_l1p1n1_l3n1p1,355409.65789473685,338168.84210526315,17.240815789473707,24.978,2405,2405,0,0,3164,5,3,0,10
io1_l1p1n1_l3p1n1,400394.92307692306,354615.7,45.77922307692305,52.093,5600,5002,0,598,9220,6,2,0,10
io2_l1n1n1_l3n1n1,339730.8378378378,333327.675,6.403162837837823,10.895,646,646,0,0,662,4,8,0,5
io2_l1n1n1_l3n1n1_d1d2,340402.26666666666,333286.63157894736,7.115635087719304,11.690,767,767,0,0,795,4,8,0,5
io2_l1n1n1_l3n1n2,337617.8947368421,332027.1282051282,5.590766531713889,13.966,753,753,0,0,782,4,8,0,8
io2_l1n1n1_l3n1n2_d1d2,339245.0263157895,331573.9459459459,7.671080369843578,14.246,822,822,0,0,850,4,8,0,8
io2_l1n1n1_l3n1p1,339827.53846153844,332180.0512820513,7.647487179487129,12.498,785,785,0,0,702,4,8,0,5
io2_l1n1n1_l3n1p1_d1d2,340111.1538461539,334135.7948717949,5.975358974358998,12.989,826,826,0,0,766,4,8,0,5
io2_l1n1n1_l3n1p2,340947.5641025641,333210.86842105264,7.736695681511483,12.521,783,783,0,0,754,4,8,0,5
io2_l1n1n1_l3n1p2_d1d2,342877.2105263158,336269.76923076925,6.607441295546538,13.172,860,860,0,0,829,4,8,0,5
io2_l1n1n1_l3p1n1,355864.94736842107,343676.6923076923,12.188255060728755,24.570,2357,2357,0,0,3762,4,6,0,14
io2_l1n1n1_l3p1n1_d1d2,354034.5,343583.1538461539,10.451346153846128,24.984,2445,2445,0,0,3744,4,6,0,14
io2_l1n1n1_l3p2n1,375565.3157894737,359816.1794871795,15.74913630229421,41.681,7303,6114,0,1189,12460,6,6,0,20
io2_l1n1n1_l3p2n1_d1d2,381766.44155844155,370998.5,10.767941558441555,53.699,9165,7528,0,1637,14161,6,6,0,40
io2_l1n1n2_l3n1n1,342092.7922077922,335179.0,6.913792207792227,15.429,958,958,0,0,1003,4,8,0,10
io2_l1n1n2_l3n1n1_d1d2,341281.9210526316,335342.9,5.939021052631549,15.613,1038,1038,0,0,1052,4,8,0,10
io2_l1n1n2_l3n1n2,341638.2105263158,334100.05263157893,7.538157894736854,15.707,979,979,0,0,879,4,8,0,10
io2_l1n1n2_l3n1n2_d1d2,342655.0253164557,334978.72222222225,7.676303094233444,16.028,1065,1065,0,0,1011,4,8,0,10
io2_l1n1n2_l3n1p1,345537.76923076925,336595.07692307694,8.942692307692312,17.320,1055,1055,0,0,1021,4,8,0,10
io2_l1n1n2_l3n1p1_d1d2,345396.858974359,333700.35,11.696508974359022,16.809,1106,1106,0,0,1018,4,8,0,10
io2_l1n1n2_l3n1p2,344805.5641025641,336256.9459459459,8.548618156618206,16.350,1093,1093,0,0,949,4,8,0,10
io2_l1n1n2_l3n1p2_d1d2,344376.6153846154,334044.84210526315,10.33177327935223,17.249,1162,1162,0,0,1086,4,8,0,10
io2_l1n1n2_l3p1n1,356518.1168831169,342841.2051282051,13.676911754911766,27.520,2561,2561,0,0,3915,4,6,0,16
io2_l1n1n2_l3p1n1_d1d2,357063.8961038961,343412.8205128205,13.651075591075584,27.264,2639,2639,0,0,3913,4,6,0,16
io2_l1n1n2_l3p2n1,382775.86666666664,360768.6052631579,22.007261403508718,45.946,7943,6754,0,1189,12458,6,6,0,20
io2_l1n1n2_l3p2n1_d1d2,385217.2051282051,365991.45945945947,19.22574566874566,58.967,9673,8036,0,1637,14198,6,6,0,40
io2_l1n1p1_l3n1n1,341263.012987013,333432.0,7.831012987012975,12.147,785,785,0,0,678,4,6,0,5
io2_l1n1p1_l3n1n1_d1d2,341253.0,334876.7368421053,6.376263157894718,12.438,838,838,0,0,672,4,6,0,5
io2_l1n1p1_l3n1n2,341056.9487179487,333052.3783783784,8.004570339570288,15.712,857,857,0,0,801,4,6,0,8
io2_l1n1p1_l3n1n2_d1d2,343437.05555555556,336547.5,6.889555555555562,15.153,904,904,0,0,794,4,6,0,8
io2_l1n1p1_l3n1p1,344668.7236842105,334229.8157894737,10.438907894736797,13.970,881,881,0,0,714,4,6,0,5
io2_l1n1p1_l3n1p1_d1d2,345350.1282051282,334630.641025641,10.719487179487187,14.456,940,940,0,0,701,4,6,0,5
io2_l1n1p1_l3n1p2,343289.29333333333,334074.15789473685,9.21513543859648,13.982,899,899,0,0,773,4,6,0,5
io2_l1n1p1_l3n1p2_d1d2,344207.62666666665,333566.9736842105,10.640652982456144,13.974,988,988,0,0,767,4,6,0,5
io2_l1n1p1_l3p1n1,358736.0909090909,344654.15789473685,14.081933014354028,27.708,2481,2481,0,0,3779,8,4,0,14
io2_l1n1p1_l3p1n1_d1d2,359238.2972972973,345615.25641025644,13.623040887040842,28.065,2522,2522,0,0,3684,8,4,0,14
io2_l1n1p1_l3p2n1,379533.22222222225,361858.36842105264,17.674853801169608,45.336,7485,6296,0,1189,12457,8,4,0,20
io2_l1n1p1_l3p2n1_d1d2,382180.5135135135,364987.07692307694,17.193436590436555,57.850,9341,7704,0,1637,14143,8,4,0,40
io2_l1n1p2_l3n1n1,344462.24324324325,334576.4324324324,9.885810810810828,17.595,1047,1041,0,6,1001,6,4,0,10
io2_l1n1p2_l3n1n1_d1d2,343857.10256410256,334363.41025641025,9.493692307692312,17.336,1151,1145,0,6,990,6,4,0,10
io2_l1n1p2_l3n1n2,342797.36842105264,334346.4324324324,8.450935988620214,17.800,1055,1049,0,6,900,6,4,0,10
io2_l1n1p2_l3n1n2_d1d2,342723.0,333060.63157894736,9.66236842105264,18.804,1163,1157,0,6,1019,6,4,0,10
io2_l1n1p2_l3n1p1,346977.8,332764.7105263158,14.213089473684201,20.596,1162,1156,0,6,1037,6,4,0,10
io2_l1n1p2_l3n1p1_d1d2,349221.2151898734,335463.7027027027,13.757512487170693,20.694,1215,1209,0,6,1019,6,4,0,10
io2_l1n1p2_l3n1p2,349995.4605263158,334691.25,15.304210526315787,19.827,1195,1189,0,6,968,6,4,0,10
io2_l1n1p2_l3n1p2_d1d2,351048.25974025973,335956.8108108108,15.091448929448903,20.346,1270,1264,0,6,1084,6,4,0,10
io2_l1n1p2_l3p1n1,371471.1621621622,343781.6111111111,27.689551051051065,31.563,2670,2664,0,6,3947,10,0,0,16
io2_l1n1p2_l3p1n1_d1d2,371451.57692307694,347433.1538461539,24.018423076923064,32.970,2798,2792,0,6,3941,10,0,0,16
io2_l1n1p2_l3p2n1,426350.9066666667,360687.0,65.66390666666668,78.684,8133,6938,0,1195,12593,10,2,0,20
io2_l1n1p2_l3p2n1_d1d2,436220.2,372444.675,63.77552500000002,92.387,9729,8086,0,1643,14277,10,2,0,40
io2_l1p1n1_l3n1n1,358016.36363636365,345146.4736842105,12.869889952153143,31.052,4192,4192,0,0,4247,6,6,0,18
io2_l1p1n1_l3n1n1_d1d2,358615.06493506493,345493.1282051282,13.121936729936744,32.393,4272,4272,0,0,4283,6,6,0,18
io2_l1p1n1_l3n1n2,358537.275,345850.3333333333,12.686941666666709,34.501,4186,4186,0,0,4218,6,6,0,18
io2_l1p1n1_l3n1n2_d1d2,359496.08,348013.3157894737,11.482764210526307,34.770,4306,4306,0,0,4266,6,6,0,18
io2_l1p1n1_l3n1p1,362931.48051948054,344781.63157894736,18.14984894053318,37.353,4257,4257,0,0,4259,6,6,0,18
io2_l1p1n1_l3n1p1_d1d2,364739.5333333333,345502.3333333333,19.237200000000012,35.562,4343,4343,0,0,4261,6,6,0,18
io2_l1p1n1_l3n1p2,366498.1780821918,346226.36842105264,20.27180966113915,35.885,4295,4295,0,0,4200,6,6,0,18
io2_l1p1n1_l3n1p2_d1d2,367109.4266666667,347614.1,19.49532666666672,36.499,4363,4363,0,0,4280,6,6,0,18
io2_l1p1n1_l3p1n1,384685.1891891892,355443.0,29.242189189189173,41.861,5884,5884,0,0,6783,8,4,0,18
io2_l1p1n1_l3p1n1_d1d2,383912.21794871794,354492.3076923077,29.41991025641025,41.725,5775,5775,0,0,6790,8,4,0,18
io2_l1p1n1_l3p2n1,443406.9342105263,366348.5,77.05843421052629,88.310,9643,8454,0,1189,14266,8,4,0,20
io2_l1p1n1_l3p2n1_d1d2,453242.18666666665,379064.3333333333,74.17785333333333,101.978,12648,11011,0,1637,16009,6,4,0,40
io2_l1p2n1_l3n1n1,355661.7297297297,345876.0,9.785729729729704,32.852,3567,3567,0,0,4902,6,6,0,20
io2_l1p2n1_l3n1n1_d1d2,363972.3116883117,353959.76923076925,10.012542457542441,46.098,6418,6418,0,0,6506,6,6,0,38
io2_l1p2n1_l3n1n2,360069.3947368421,349263.5789473684,10.80581578947365,33.295,3701,3701,0,0,4875,6,6,0,20
io2_l1p2n1_l3n1n2_d1d2,366727.71794871794,353941.35135135136,12.786366597366577,47.286,6228,6228,0,0,6502,6,6,0,38
io2_l1p2n1_l3n1p1,362734.0933333333,345450.2105263158,17.283882807017537,37.056,3604,3604,0,0,4898,6,6,0,20
io2_l1p2n1_l3n1p1_d1d2,370277.14864864864,350408.53846153844,19.8686101871102,49.335,6424,6424,0,0,6477,6,6,0,38
io2_l1p2n1_l3n1p2,366674.08974358975,346808.2162162162,19.865873527373537,35.965,3781,3781,0,0,4852,6,6,0,20
io2_l1p2n1_l3n1p2_d1d2,376200.7272727273,354264.63157894736,21.936095693779933,50.082,6610,6610,0,0,6496,6,6,0,38
io2_l1p2n1_l3p1n1,388858.4931506849,359323.28205128206,29.53521109940286,39.437,5057,5057,0,0,7514,6,0,0,20
io2_l1p2n1_l3p1n1_d1d2,395680.36,365547.24324324325,30.13311675675673,57.811,7987,7987,0,0,9127,8,4,0,38
io2_l1p2n1_l3p2n1,451251.9736842105,369564.7631578947,81.68721052631578,87.719,8280,7091,0,1189,14601,8,4,0,20
io2_l1p2n1_l3p2n1_d1d2,465364.4675324675,378313.76923076925,87.05069830169826,111.263,12620,10983,0,1637,15410,8,4,0,40
io4_l1n1n1_l3n1n1,338566.2727272727,331243.325,7.322947727272695,12.693,1085,829,256,0,1461,4,0,0,5
io4_l1n1n1_l3n1n1_d1d2,350653.3717948718,339408.9210526316,11.244450742240238,17.653,1343,1087,256,0,1611,0,16,0,5
io4_l1n1n1_l3n1n2,339112.8333333333,333228.25641025644,5.884576923076878,15.378,1234,978,256,0,1639,4,0,0,8
io4_l1n1n1_l3n1n2_d1d2,348379.82666666666,338900.1282051282,9.479698461538472,20.614,1478,1222,256,0,1765,0,16,0,8
io4_l1n1n1_l3n1n4,337559.53846153844,331565.1081081081,5.9944303534303325,20.193,1365,1109,256,0,1951,4,0,0,14
io4_l1n1n1_l3n1n4_d1d2,350654.9873417721,339961.0,10.693987341772125,23.875,1618,1362,256,0,2026,0,16,0,14
io4_l1n1n1_l3n1p1,341009.8051948052,334073.86486486485,6.935940329940349,14.138,1224,968,256,0,1459,4,0,0,5
io4_l1n1n1_l3n1p1_d1d2,352739.09589041094,341824.45714285714,10.914638747553807,20.210,1477,1221,256,0,1657,0,16,0,5
io4_l1n1n1_l3n1p2,339971.80821917806,333244.28205128206,6.727526167895994,14.279,1285,1029,256,0,1580,4,0,0,5
io4_l1n1n1_l3n1p2_d1d2,351147.2278481013,340023.0,11.124227848101292,19.301,1548,1292,256,0,1754,0,16,0,5
io4_l1n1n1_l3n1p4,348499.0256410256,338714.575,9.784450641025614,14.788,1352,1096,256,0,1796,4,0,0,5
io4_l1n1n1_l3n1p4_d1d2,352720.30136986304,341526.4736842105,11.193827685652533,18.560,1536,1280,256,0,1773,0,16,0,5
