prj,total_pwr(uW),static_pwr(uW),dynamic_pwr(mW),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks
io1_l2n1n1_l4n1n1,353195.7375,345899.475,7.296262500000012,13.326,645,645,0,0,586,16,0,0,5
io1_l2n1n1_l4n1p1,374544.575,367240.75,7.303825000000011,13.207,656,647,0,9,529,16,0,0,5
io1_l2n1n1_l4p1n1,386492.95,379122.05,7.370900000000023,24.084,4131,4131,0,0,4202,16,0,0,5
io1_l2n1p1_l4n1n1,376310.65,366398.0,9.912650000000024,16.977,813,813,0,0,682,16,0,0,5
io1_l2n1p1_l4n1p1,379515.5,368606.4,10.909099999999977,17.611,833,824,0,9,626,16,0,0,5
io1_l2n1p1_l4p1n1,394152.55,380618.3,13.53425,28.438,3994,3994,0,0,4252,16,0,0,5
io1_l2p1n1_l4n1n1,459274.76543209876,379047.875,80.22689043209877,80.987,3752,3152,0,600,5907,16,0,0,16
io1_l2p1n1_l4n1p1,474257.125,380413.125,93.844,90.148,3771,3162,0,609,5944,16,0,0,16
io1_l2p1n1_l4p1n1,485579.35,388985.3,96.59404999999998,99.278,6887,6287,0,600,9968,16,0,0,16
io2_l2n1n1_l4n1n1,352775.05,347858.25,4.916799999999989,13.490,727,727,0,0,645,16,0,0,5
io2_l2n1n1_l4n1n1_d1d2,356185.2,349566.1,6.619100000000035,13.746,971,971,0,0,650,16,0,0,5
io2_l2n1n1_l4n1n2,358620.7875,352018.05,6.602737499999988,16.421,992,992,0,0,905,16,0,0,10
io2_l2n1n1_l4n1n2_d1d2,356944.6,351682.35,5.26225,13.755,932,932,0,0,677,16,0,0,5
io2_l2n1n1_l4n1p1,355088.325,349063.175,6.025150000000023,13.575,731,731,0,0,657,16,0,0,5
io2_l2n1n1_l4n1p1_d1d2,356781.15,348791.55,7.989600000000035,13.698,934,934,0,0,661,16,0,0,5
