prj,total_pwr(uW),static_pwr(uW),dynamic_pwr(mW),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks
io1_l1n1n1_l3n1n1_l5n1,349551.5,341973.6,7.577900000000024,11.273,596,596,0,0,475,8,4,0,5
io1_l1n1n1_l3n1p1_l5n1,353510.925,340732.55,12.778375,13.298,709,709,0,0,537,8,4,0,5
io1_l1n1n1_l3p1n1_l5n1,379219.3875,359851.0,19.36838750000001,36.368,4842,4244,0,598,7625,9,3,0,16
io1_l1n1p1_l3n1n1_l5n1,354318.6,342912.15,11.406449999999953,12.842,691,691,0,0,537,8,4,0,5
io1_l1n1p1_l3n1p1_l5n1,359363.4625,343618.25,15.745212500000024,14.422,751,751,0,0,567,8,4,0,5
io1_l1n1p1_l3p1n1_l5n1,392360.95,362886.35,29.474600000000034,42.310,4793,4195,0,598,7654,9,3,0,16
io1_l1p1n1_l3n1n1_l5p1,382759.2405063291,361185.975,21.573265506329133,36.524,4629,4031,0,598,7667,9,3,0,16
io1_l1p1n1_l3n1p1_l5p1,401649.275,360238.1,41.41117500000005,46.446,4894,4296,0,598,7672,9,3,0,16
io1_l1p1n1_l3p1n1_l5p1,448073.0,369998.8,78.0742,71.748,6786,5590,0,1196,9913,9,3,0,16
io2_l1n1n1_l3n1n1_l5n1,344002.3125,334267.2,9.735112499999989,13.144,766,766,0,0,613,8,8,0,5
io2_l1n1n1_l3n1n1_l5n1_d1d2,342058.7625,333939.8,8.118962500000023,12.955,862,862,0,0,609,8,8,0,5
io2_l1n1n1_l3n1n2_l5n1,342675.8461538461,335072.3243243243,7.603521829521807,15.884,873,873,0,0,736,8,8,0,8
io2_l1n1n1_l3n1n2_l5n1_d1d2,341982.24,334641.6923076923,7.340547692307679,16.081,945,945,0,0,795,8,8,0,8
io2_l1n1n1_l3n1p1_l5n1,344880.6842105263,334108.35,10.772334210526315,15.359,870,870,0,0,674,8,8,0,5
io2_l1n1n1_l3n1p1_l5n1_d1d2,346535.2207792208,334315.5135135135,12.219707265707315,14.986,942,942,0,0,663,8,8,0,5
io2_l1n1n1_l3n1p2_l5n1,355845.74025974027,347235.63157894736,8.61010868079291,14.688,890,890,0,0,706,8,8,0,5
io2_l1n1n1_l3n1p2_l5n1_d1d2,357499.11842105264,347155.0,10.344118421052642,14.494,969,969,0,0,764,8,8,0,5
io2_l1n1n1_l3p1n1_l5n1,373428.24,359460.375,13.96786499999999,38.348,3808,3808,0,0,4845,8,6,0,26
io2_l1n1n1_l3p1n1_l5n1_d1d2,370624.02597402595,356821.8108108108,13.802215163215122,38.332,3643,3643,0,0,4671,8,6,0,26
io2_l1n1n1_l3p2n1_l5n1,390947.1558441558,375450.92307692306,15.496232767232751,52.046,8686,7497,0,1189,12945,8,6,0,32
io2_l1n1n1_l3p2n1_l5n1_d1d2,399510.4459459459,383405.4210526316,16.105024893314344,72.433,11503,9866,0,1637,15304,4,6,0,64
io2_l1n1n2_l3n1n1_l5n1,340237.9324324324,333581.5,6.656432432432426,15.565,870,870,0,0,736,8,8,0,8
io2_l1n1n2_l3n1n1_l5n1_d1d2,340867.0133333333,333343.5135135135,7.523499819819816,15.870,946,946,0,0,795,8,8,0,8
io2_l1n1n2_l3n1n2_l5n1,341811.97297297296,333533.6060606061,8.27836691236688,16.013,848,848,0,0,603,8,8,0,8
io2_l1n1n2_l3n1n2_l5n1_d1d2,340397.9459459459,331101.7837837838,9.296162162162132,16.057,904,904,0,0,725,8,8,0,8
io2_l1n1n2_l3n1p1_l5n1,343679.6533333333,332460.25641025644,11.219396923076886,18.211,958,958,0,0,791,8,8,0,8
