prj,total_pwr(uW),static_pwr(uW),dynamic_pwr(mW),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks
io1_l2n1n1_l5n1n1_l8n1n1,349904.44736842107,346525.1282051282,3.3793191632928794,16.026,830,830,0,0,671,28,0,0,5
io1_l2n1n1_l5n1n1_l8n1p1,351165.4675324675,341030.5,10.134967532467504,17.047,969,969,0,0,747,28,0,0,5
io1_l2n1n1_l5n1n1_l8p1n1,384470.3888888889,375272.10256410256,9.198286324786313,29.105,3756,3156,0,600,5660,28,0,0,10
io1_l2n1p1_l5n1p1_l8n1n1,352385.2911392405,343328.475,9.056816139240516,20.343,1142,1142,0,0,823,28,0,0,5
io1_l2n1p1_l5n1p1_l8n1p1,356101.15789473685,344869.7894736842,11.231368421052641,20.395,1294,1294,0,0,899,28,0,0,5
io1_l2n1p1_l5n1p1_l8p1n1,397436.96,375586.5128205128,21.850447179487208,33.914,4010,3410,0,600,5811,28,0,0,10
io1_l2p1n1_l5p1n1_l8n1n1,407475.0789473684,384835.5128205128,22.639566126855613,70.692,5655,4455,0,1200,8119,28,0,0,10
io1_l2p1n1_l5p1n1_l8n1p1,424060.93333333335,383994.9743589744,40.06595897435898,74.229,5867,4667,0,1200,8178,28,0,0,10
io1_l2p1n1_l5p1n1_l8p1n1,489464.64864864864,391683.0,97.78164864864864,118.926,8139,6339,0,1800,10714,28,0,0,10
io2_l2n1n1_l5n1n1_l8n1n1,352532.71428571426,345807.3783783784,6.725335907335859,17.215,961,961,0,0,795,28,0,0,5
io2_l2n1n1_l5n1n1_l8n1n1_d1d2,379741.05194805196,374008.1621621622,5.732889785889769,17.685,1321,1321,0,0,804,28,0,0,5
io2_l2n1n1_l5n1n1_l8n1n2,352742.0833333333,347859.6388888889,4.882444444444438,18.354,1059,1059,0,0,989,24,0,0,8
io2_l2n1n1_l5n1n1_l8n1n2_d1d2,380963.14666666667,372407.2368421053,8.555909824561386,18.676,1372,1372,0,0,996,28,0,0,8
io2_l2n1n1_l5n1n1_l8n1p1,356193.84722222225,348145.2702702703,8.048576951951953,17.519,1101,1101,0,0,865,28,0,0,5
io2_l2n1n1_l5n1n1_l8n1p1_d1d2,381123.6103896104,372386.64864864864,8.736961740961764,18.261,1476,1476,0,0,960,28,0,0,5
io2_l2n1n1_l5n1n1_l8n1p2,353902.338028169,345034.3714285714,8.867966599597596,16.670,1182,1182,0,0,990,24,0,0,5
io2_l2n1n1_l5n1n1_l8n1p2_d1d2,379041.18666666665,372597.0,6.4441866666666465,17.890,1557,1557,0,0,1075,28,0,0,5
io2_l2n1n1_l5n1n1_l8p1n1,392328.94736842107,381246.6388888889,11.082308479532191,23.777,2306,2306,0,0,2696,24,0,0,8
io2_l2n1n1_l5n1n1_l8p1n1_d1d2,399613.6666666667,385900.85714285716,13.712809523809527,42.795,6796,6796,0,0,9043,28,0,0,14
io2_l2n1n1_l5n1n1_l8p2n1,410102.75675675675,395503.9487179487,14.598808038808055,43.554,7121,5929,0,1192,11852,28,0,0,20
io2_l2n1n1_l5n1n1_l8p2n1_d1d2,425044.2051282051,410748.60975609755,14.295595372107579,54.319,10640,8999,0,1641,14950,24,0,0,40
io2_l2n1n2_l5n1n2_l8n1n1,353107.2894736842,346706.9487179487,6.400340755735524,21.193,1128,1128,0,0,913,28,0,0,8
io2_l2n1n2_l5n1n2_l8n1n1_d1d2,379650.6216216216,371612.71428571426,8.037907335907338,20.382,1373,1373,0,0,1048,28,0,0,8
io2_l2n1n2_l5n1n2_l8n1n2,377397.4861111111,370194.94736842107,7.202538742690056,22.242,1154,1154,0,0,972,28,0,0,8
io2_l2n1n2_l5n1n2_l8n1n2_d1d2,379401.69736842107,371150.75675675675,8.250940611664323,19.958,1340,1340,0,0,1107,28,0,0,8
io2_l2n1n2_l5n1n2_l8n1p1,378921.19736842107,371329.02777777775,7.592169590643316,22.032,1263,1263,0,0,985,28,0,0,8
io2_l2n1n2_l5n1n2_l8n1p1_d1d2,378597.8831168831,372155.8333333333,6.442049783549796,21.021,1542,1542,0,0,1223,28,0,0,8
io2_l2n1n2_l5n1n2_l8n1p2,379553.2207792208,370967.76923076925,8.585451548451557,23.080,1343,1343,0,0,1079,28,0,0,8
io2_l2n1n2_l5n1n2_l8n1p2_d1d2,379567.19178082194,372772.05263157893,6.795139149243012,21.580,1524,1524,0,0,1289,28,0,0,8
io2_l2n1n2_l5n1n2_l8p1n1,392731.90789473685,380124.9142857143,12.606993609022583,27.453,2288,2288,0,0,2682,28,0,0,8
io2_l2n1n2_l5n1n2_l8p1n1_d1d2,395105.15277777775,381850.8157894737,13.254336988304043,41.720,6684,6684,0,0,9141,28,0,0,14
