prj,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks
io1_l1n1n1_l3n1n1,9.189,498,498,0,0,447,4,4,0,5
io1_l1n1n1_l3n1p1,10.193,618,618,0,0,480,4,4,0,5
io1_l1n1n1_l3p1n1,30.101,4329,3731,0,598,7455,5,3,0,10
io1_l1n1p1_l3n1n1,10.339,579,579,0,0,479,4,4,0,5
io1_l1n1p1_l3n1p1,11.598,705,705,0,0,516,4,4,0,5
io1_l1n1p1_l3p1n1,33.644,4475,3877,0,598,7551,5,3,0,10
io1_l1p1n1_l3n1n1,31.680,4246,3648,0,598,7370,5,3,0,10
io1_l1p1n1_l3n1p1,36.042,4366,3768,0,598,7390,5,3,0,10
io1_l1p1n1_l3p1n1,63.102,6927,5731,0,1196,11660,6,2,0,10
io2_l1n1n1_l3n1n1,11.150,616,616,0,0,659,4,8,0,5
io2_l1n1n1_l3n1n1_d1d2,11.868,719,719,0,0,782,4,8,0,5
io2_l1n1n1_l3n1n2,14.898,729,729,0,0,782,4,8,0,8
io2_l1n1n1_l3n1n2_d1d2,14.004,764,764,0,0,805,4,8,0,8
io2_l1n1n1_l3n1p1,12.884,754,754,0,0,700,4,8,0,5
io2_l1n1n1_l3n1p1_d1d2,12.657,819,819,0,0,714,4,8,0,5
io2_l1n1n1_l3n1p2,13.108,799,799,0,0,759,4,8,0,5
io2_l1n1n1_l3n1p2_d1d2,12.712,831,831,0,0,780,4,8,0,5
io2_l1n1n1_l3p1n1,22.746,2640,2640,0,0,3915,4,6,0,8
io2_l1n1n1_l3p1n1_d1d2,27.466,2829,2829,0,0,4173,4,6,0,14
io2_l1n1n1_l3p2n1,41.060,7182,5993,0,1189,12506,6,6,0,20
io2_l1n1n1_l3p2n1_d1d2,51.916,9255,7618,0,1637,14261,4,4,0,40
io2_l1n1n2_l3n1n1,13.875,699,699,0,0,779,4,8,0,8
io2_l1n1n2_l3n1n1_d1d2,14.631,783,783,0,0,806,4,8,0,8
io2_l1n1n2_l3n1n2,15.213,745,745,0,0,774,4,8,0,8
io2_l1n1n2_l3n1n2_d1d2,14.780,773,773,0,0,765,4,8,0,8
io2_l1n1n2_l3n1p1,15.366,826,826,0,0,820,4,8,0,8
io2_l1n1n2_l3n1p1_d1d2,15.794,873,873,0,0,802,4,8,0,8
io2_l1n1n2_l3n1p2,16.255,830,830,0,0,840,4,8,0,8
io2_l1n1n2_l3n1p2_d1d2,15.534,859,859,0,0,834,4,8,0,8
io2_l1n1n2_l3p1n1,22.659,2675,2675,0,0,3917,4,6,0,8
io2_l1n1n2_l3p1n1_d1d2,27.836,2819,2819,0,0,4093,4,6,0,14
io2_l1n1n2_l3p2n1,44.652,7610,6421,0,1189,12473,6,6,0,20
io2_l1n1n2_l3p2n1_d1d2,56.008,9805,8168,0,1637,14230,6,6,0,40
io2_l1n1p1_l3n1n1,12.494,700,700,0,0,697,4,8,0,5
io2_l1n1p1_l3n1n1_d1d2,12.989,787,787,0,0,756,4,8,0,5
io2_l1n1p1_l3n1n2,16.546,804,804,0,0,820,4,8,0,8
io2_l1n1p1_l3n1n2_d1d2,15.416,843,843,0,0,812,4,8,0,8
io2_l1n1p1_l3n1p1,14.602,816,816,0,0,728,4,8,0,5
