prj,total_pwr(uW),static_pwr(uW),dynamic_pwr(mW),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks
io1_l1n1n1_l3n1n1,327874.025,321311.3,6.562725000000035,9.189,498,498,0,0,447,4,4,0,5
io1_l1n1n1_l3n1p1,329141.87341772154,322206.4,6.935473417721514,10.193,618,618,0,0,480,4,4,0,5
io1_l1n1n1_l3p1n1,357683.3,342778.85,14.904450000000011,30.101,4329,3731,0,598,7455,5,3,0,10
io1_l1n1p1_l3n1n1,331596.225,323680.35,7.915875,10.339,579,579,0,0,479,4,4,0,5
io1_l1n1p1_l3n1p1,332092.2,323130.1,8.962100000000035,11.598,705,705,0,0,516,4,4,0,5
io1_l1n1p1_l3p1n1,361045.06329113926,342403.46153846156,18.6416017526777,33.644,4475,3877,0,598,7551,5,3,0,10
io1_l1p1n1_l3n1n1,356444.253164557,339470.7,16.97355316455697,31.680,4246,3648,0,598,7370,5,3,0,10
io1_l1p1n1_l3n1p1,366636.96202531643,343415.0256410256,23.221936384290807,36.042,4366,3768,0,598,7390,5,3,0,10
io1_l1p1n1_l3p1n1,414047.275,357303.575,56.74370000000001,63.102,6927,5731,0,1196,11660,6,2,0,10
io2_l1n1n1_l3n1n1,330226.39506172837,324999.55,5.2268450617283815,11.150,616,616,0,0,659,4,8,0,5
io2_l1n1n1_l3n1n1_d1d2,331993.4875,325625.825,6.367662499999977,11.868,719,719,0,0,782,4,8,0,5
io2_l1n1n1_l3n1n2,329312.375,321875.45,7.436924999999988,14.898,729,729,0,0,782,4,8,0,8
io2_l1n1n1_l3n1n2_d1d2,331679.275,326029.6,5.649675000000046,14.004,764,764,0,0,805,4,8,0,8
io2_l1n1n1_l3n1p1,335713.825,327690.175,8.023650000000023,12.884,754,754,0,0,700,4,8,0,5
io2_l1n1n1_l3n1p1_d1d2,336079.275,328521.6,7.557675000000047,12.657,819,819,0,0,714,4,8,0,5
io2_l1n1n1_l3n1p2,333603.2375,325439.75,8.163487499999988,13.108,799,799,0,0,759,4,8,0,5
io2_l1n1n1_l3n1p2_d1d2,334108.7,326836.475,7.272225000000035,12.712,831,831,0,0,780,4,8,0,5
io2_l1n1n1_l3p1n1,347107.575,335442.9,11.664674999999988,22.746,2640,2640,0,0,3915,4,6,0,8
io2_l1n1n1_l3p1n1_d1d2,346352.65,335475.55,10.877100000000034,27.466,2829,2829,0,0,4173,4,6,0,14
io2_l1n1n1_l3p2n1,364001.975,351944.15,12.057824999999953,41.060,7182,5993,0,1189,12506,6,6,0,20
io2_l1n1n1_l3p2n1_d1d2,366379.475,353987.6,12.391875,51.916,9255,7618,0,1637,14261,4,4,0,40
io2_l1n1n2_l3n1n1,328604.325,321493.35,7.110975000000035,13.875,699,699,0,0,779,4,8,0,8
io2_l1n1n2_l3n1n1_d1d2,328280.7,321696.975,6.583725000000035,14.631,783,783,0,0,806,4,8,0,8
io2_l1n1n2_l3n1n2,327007.0875,317755.2,9.251887500000011,15.213,745,745,0,0,774,4,8,0,8
io2_l1n1n2_l3n1n2_d1d2,328197.6,323486.625,4.710974999999976,14.780,773,773,0,0,765,4,8,0,8
io2_l1n1n2_l3n1p1,332261.4375,322535.85,9.725587500000023,15.366,826,826,0,0,820,4,8,0,8
io2_l1n1n2_l3n1p1_d1d2,329566.825,322161.55,7.405275000000024,15.794,873,873,0,0,802,4,8,0,8
io2_l1n1n2_l3n1p2,330442.125,323236.35,7.205775000000023,16.255,830,830,0,0,840,4,8,0,8
