prj,total_pwr(uW),static_pwr(uW),dynamic_pwr(mW),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks
io1_l2n1n1_l5n1n1_l7n1n1,346488.44,347869.2631578947,-1.380823157894716,38.692,844,844,0,0,641,28,0,0,5
io1_l2n1n1_l5n1n1_l7n1p1,342675.80555555556,336409.24324324325,6.266562312312308,40.033,1112,1103,0,9,868,28,0,0,7
io1_l2n1n1_l5n1n1_l7p1n1,365402.0,356410.94444444444,8.991055555555562,47.984,2870,2870,0,0,2484,28,0,0,14
io1_l2n1p1_l5n1p1_l7n1n1,345677.90410958906,334273.0,11.404904109589056,39.212,1193,1193,0,0,799,28,0,0,5
io1_l2n1p1_l5n1p1_l7n1p1,348348.92307692306,335938.10256410256,12.4108205128205,40.476,1457,1448,0,9,1026,28,0,0,7
io1_l2n1p1_l5n1p1_l7p1n1,370806.13157894736,356909.7105263158,13.896421052631572,48.847,3223,3223,0,0,2609,28,0,0,14
io1_l2p1n1_l5p1n1_l7n1n1,456527.4666666667,369255.27777777775,87.27218888888892,57.628,6131,4931,0,1200,8270,28,0,0,16
io1_l2p1n1_l5p1n1_l7n1p1,468000.4520547945,367286.8333333333,100.71361872146122,59.348,5965,4756,0,1209,8298,28,0,0,16
io1_l2p1n1_l5p1n1_l7p1n1,472209.87012987013,375391.94736842107,96.81792276144907,62.247,7652,6452,0,1200,9560,28,0,0,20
io2_l2n1n1_l5n1n1_l7n1n1,340923.661971831,337062.2368421053,3.8614251297257143,16.269,957,957,0,0,797,28,0,0,5
io2_l2n1n1_l5n1n1_l7n1n1_d1d2,361287.9873417721,354906.3888888889,6.381598452883249,16.605,1358,1358,0,0,812,28,0,0,5
io2_l2n1n1_l5n1n1_l7n1n2,341671.90410958906,334865.0,6.806904109589057,20.598,1278,1278,0,0,1057,28,0,0,10
io2_l2n1n1_l5n1n1_l7n1n2_d1d2,361630.06666666665,354748.94736842107,6.881119298245583,16.963,1418,1418,0,0,853,28,0,0,5
io2_l2n1n1_l5n1n1_l7n1p1,342319.77777777775,334513.6842105263,7.806093567251461,18.236,1230,1221,0,9,1023,28,0,0,7
io2_l2n1n1_l5n1n1_l7n1p1_d1d2,363912.9746835443,356753.8947368421,7.15907994670223,18.616,1597,1587,0,10,1042,28,0,0,7
io2_l2n1n1_l5n1n1_l7n1p2,345119.94736842107,338324.9459459459,6.79500142247515,22.965,1749,1740,0,9,1481,28,0,0,14
io2_l2n1n1_l5n1n1_l7n1p2_d1d2,366553.34210526315,360165.3947368421,6.387947368421068,23.743,2110,2101,0,9,1580,28,0,0,14
io2_l2n1n1_l5n1n1_l7p1n1,377295.2266666667,368932.3783783784,8.362848288288282,37.115,4843,4843,0,0,4317,28,0,0,28
io2_l2n1n1_l5n1n1_l7p1n1_d1d2,377236.4931506849,368385.6756756757,8.850817475009244,36.735,5448,5448,0,0,4314,28,0,0,28
io2_l2n1n1_l5n1n1_l7p2n1,375782.2266666667,367958.6153846154,7.823611282051308,37.622,5026,5026,0,0,4548,28,0,0,28
io2_l2n1n1_l5n1n1_l7p2n1_d1d2,387649.4054054054,379727.7,7.9217054054053735,53.841,8706,8706,0,0,7590,26,0,0,56
io2_l2n1n2_l5n1n2_l7n1n1,362404.13157894736,354364.1052631579,8.040026315789436,18.798,1087,1087,0,0,755,28,0,0,8
io2_l2n1n2_l5n1n2_l7n1n1_d1d2,363933.5131578947,357073.35135135136,6.860161806543358,19.741,1387,1387,0,0,1057,28,0,0,8
io2_l2n1n2_l5n1n2_l7n1n2,361335.4155844156,354445.10256410256,6.890313020313042,19.932,1344,1344,0,0,951,28,0,0,10
io2_l2n1n2_l5n1n2_l7n1n2_d1d2,360890.7012987013,355820.9210526316,5.069780246069713,19.840,1460,1460,0,0,1060,28,0,0,8
io2_l2n1n2_l5n1n2_l7n1p1,362792.1818181818,354898.5128205128,7.89366899766901,21.179,1370,1361,0,9,981,28,0,0,10
io2_l2n1n2_l5n1n2_l7n1p1_d1d2,363974.92,355627.08108108107,8.347838918918919,22.298,1652,1642,0,10,1251,28,0,0,10
io2_l2n1n2_l5n1n2_l7n1p2,365223.25675675675,356577.94444444444,8.645312312312308,24.143,1809,1800,0,9,1375,28,0,0,14
io2_l2n1n2_l5n1n2_l7n1p2_d1d2,366231.8630136986,357298.63157894736,8.933231434751244,25.605,2119,2110,0,9,1705,28,0,0,14
io2_l2n1n2_l5n1n2_l7p1n1,376416.4430379747,367771.15,8.645293037974684,37.814,4830,4830,0,0,4213,28,0,0,28
io2_l2n1n2_l5n1n2_l7p1n1_d1d2,377608.88,368061.0,9.547880000000005,38.309,5397,5397,0,0,4465,28,0,0,28
io2_l2n1n2_l5n1n2_l7p2n1,376973.2162162162,367660.5641025641,9.31265211365209,38.256,4938,4938,0,0,4442,28,0,0,28
io2_l2n1n2_l5n1n2_l7p2n1_d1d2,389368.3108108108,379227.0512820513,10.141259528759518,55.921,8556,8556,0,0,7706,28,0,0,56
io2_l2n1p1_l5n1p1_l7n1n1,367439.6756756757,354808.9743589744,12.630701316701307,21.918,1300,1300,0,0,990,28,0,0,5
io2_l2n1p1_l5n1p1_l7n1n1_d1d2,369366.4210526316,356202.6216216216,13.163799431009975,21.291,1676,1676,0,0,1034,28,0,0,5
io2_l2n1p1_l5n1p1_l7n1n2,369079.80555555556,355905.08108108107,13.174724474474496,25.063,1603,1603,0,0,1249,28,0,0,10
io2_l2n1p1_l5n1p1_l7n1n2_d1d2,367665.24,355428.19444444444,12.237045555555552,21.753,1726,1726,0,0,1075,28,0,0,5
