prj,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks
io1_l2n1n1_l4n1n1,12.650,630,630,0,0,512,16,0,0,5
io1_l2n1n1_l4n1p1,13.199,675,666,0,9,543,16,0,0,5
io1_l2n1n1_l4p1n1,22.668,4148,4148,0,0,4204,16,0,0,5
io1_l2n1p1_l4n1n1,16.436,803,803,0,0,611,16,0,0,5
io1_l2n1p1_l4n1p1,16.994,835,826,0,9,631,16,0,0,5
io1_l2n1p1_l4p1n1,28.180,4001,4001,0,0,4256,16,0,0,5
io1_l2p1n1_l4n1n1,79.342,3591,2991,0,600,5823,16,0,0,16
io1_l2p1n1_l4n1p1,88.843,3666,3057,0,609,5841,16,0,0,16
io1_l2p1n1_l4p1n1,99.872,6510,5910,0,600,9628,16,0,0,16
io2_l2n1n1_l4n1n1,12.788,700,700,0,0,616,16,0,0,5
io2_l2n1n1_l4n1n1_d1d2,13.127,931,931,0,0,624,16,0,0,5
io2_l2n1n1_l4n1n2,15.937,1026,1026,0,0,844,16,0,0,10
io2_l2n1n1_l4n1n2_d1d2,14.000,949,949,0,0,672,16,0,0,5
io2_l2n1n1_l4n1p1,13.156,770,770,0,0,647,16,0,0,5
io2_l2n1n1_l4n1p1_d1d2,13.406,929,929,0,0,670,16,0,0,5
io2_l2n1n1_l4n1p2,17.001,1024,1015,0,9,880,16,0,0,10
io2_l2n1n1_l4n1p2_d1d2,17.029,1232,1223,0,9,949,16,0,0,10
io2_l2n1n1_l4p1n1,25.767,3867,3867,0,0,4759,16,0,0,10
io2_l2n1n1_l4p1n1_d1d2,31.271,4526,4526,0,0,4294,16,0,0,18
io2_l2n1n1_l4p2n1,33.909,6734,6734,0,0,7993,16,0,0,10
io2_l2n1n1_l4p2n1_d1d2,37.159,6606,6606,0,0,9095,16,0,0,20
io2_l2n1n2_l4n1n1,15.405,792,792,0,0,675,16,0,0,8
io2_l2n1n2_l4n1n1_d1d2,16.110,953,953,0,0,848,16,0,0,8
io2_l2n1n2_l4n1n2,17.479,1045,1045,0,0,839,16,0,0,10
io2_l2n1n2_l4n1n2_d1d2,16.368,997,997,0,0,861,16,0,0,8
io2_l2n1n2_l4n1p1,15.616,856,856,0,0,706,16,0,0,8
io2_l2n1n2_l4n1p1_d1d2,16.578,989,989,0,0,850,16,0,0,8
io2_l2n1n2_l4n1p2,17.998,1059,1050,0,9,875,16,0,0,10
io2_l2n1n2_l4n1p2_d1d2,19.455,1226,1217,0,9,1077,16,0,0,10
io2_l2n1n2_l4p1n1,29.224,4117,4117,0,0,4728,16,0,0,10
io2_l2n1n2_l4p1n1_d1d2,34.024,4594,4594,0,0,4371,16,0,0,18
io2_l2n1n2_l4p2n1,36.590,6663,6663,0,0,8089,16,0,0,10
