prj,total_pwr(uW),static_pwr(uW),dynamic_pwr(mW),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks
io1_l2n1n1_l4n1n1,336393.5875,329968.15,6.4254375,12.650,630,630,0,0,512,16,0,0,5
io1_l2n1n1_l4n1p1,338405.575,332424.325,5.98125,13.199,675,666,0,9,543,16,0,0,5
io1_l2n1n1_l4p1n1,352396.7375,344976.2,7.420537499999977,22.668,4148,4148,0,0,4204,16,0,0,5
io1_l2n1p1_l4n1n1,341352.3125,332077.95,9.274362499999988,16.436,803,803,0,0,611,16,0,0,5
io1_l2n1p1_l4n1p1,340973.25,331790.7,9.182549999999988,16.994,835,826,0,9,631,16,0,0,5
io1_l2n1p1_l4p1n1,355454.1875,341833.7,13.620487499999989,28.180,4001,4001,0,0,4256,16,0,0,5
io1_l2p1n1_l4n1n1,417856.2375,342276.35,75.57988750000001,79.342,3591,2991,0,600,5823,16,0,0,16
io1_l2p1n1_l4n1p1,429510.55,342213.35,87.29720000000002,88.843,3666,3057,0,609,5841,16,0,0,16
io1_l2p1n1_l4p1n1,443749.9,351740.05,92.00985000000003,99.872,6510,5910,0,600,9628,16,0,0,16
io2_l2n1n1_l4n1n1,323909.925,319382.0,4.527924999999988,12.788,700,700,0,0,616,16,0,0,5
io2_l2n1n1_l4n1n1_d1d2,323536.9,317383.775,6.153125,13.127,931,931,0,0,624,16,0,0,5
io2_l2n1n1_l4n1n2,325102.30379746837,318532.25,6.570053797468368,15.937,1026,1026,0,0,844,16,0,0,10
io2_l2n1n1_l4n1n2_d1d2,325790.8625,318273.35,7.517512500000012,14.000,949,949,0,0,672,16,0,0,5
io2_l2n1n1_l4n1p1,323447.3,318080.7,5.366599999999977,13.156,770,770,0,0,647,16,0,0,5
io2_l2n1n1_l4n1p1_d1d2,323522.375,318082.6,5.439775000000023,13.406,929,929,0,0,670,16,0,0,5
io2_l2n1n1_l4n1p2,326468.75,318388.4,8.080349999999976,17.001,1024,1015,0,9,880,16,0,0,10
io2_l2n1n1_l4n1p2_d1d2,327636.3875,320222.625,7.413762500000011,17.029,1232,1223,0,9,949,16,0,0,10
io2_l2n1n1_l4p1n1,350565.0875,341751.2,8.813887500000012,25.767,3867,3867,0,0,4759,16,0,0,10
io2_l2n1n1_l4p1n1_d1d2,354185.10126582277,344826.575,9.358526265822759,31.271,4526,4526,0,0,4294,16,0,0,18
io2_l2n1n1_l4p2n1,365263.075,356336.95,8.926125,33.909,6734,6734,0,0,7993,16,0,0,10
io2_l2n1n1_l4p2n1_d1d2,362349.5443037975,353811.4,8.538144303797454,37.159,6606,6606,0,0,9095,16,0,0,20
io2_l2n1n2_l4n1n1,325926.7625,321624.925,4.3018375000000235,15.405,792,792,0,0,675,16,0,0,8
io2_l2n1n2_l4n1n1_d1d2,324378.875,319347.9,5.030974999999977,16.110,953,953,0,0,848,16,0,0,8
io2_l2n1n2_l4n1n2,324298.3875,319722.6,4.575787500000035,17.479,1045,1045,0,0,839,16,0,0,10
io2_l2n1n2_l4n1n2_d1d2,337143.2375,330937.775,6.205462499999965,16.368,997,997,0,0,861,16,0,0,8
io2_l2n1n2_l4n1p1,323411.25,316187.6,7.223650000000023,15.616,856,856,0,0,706,16,0,0,8
io2_l2n1n2_l4n1p1_d1d2,324422.4875,318896.45,5.526037499999977,16.578,989,989,0,0,850,16,0,0,8
io2_l2n1n2_l4n1p2,323787.275,318336.8717948718,5.450403205128212,17.998,1059,1050,0,9,875,16,0,0,10
io2_l2n1n2_l4n1p2_d1d2,321892.925,313264.55,8.628375,19.455,1226,1217,0,9,1077,16,0,0,10
io2_l2n1n2_l4p1n1,345665.275,339393.1,6.272175000000047,29.224,4117,4117,0,0,4728,16,0,0,10
io2_l2n1n2_l4p1n1_d1d2,348490.35,339571.75,8.918599999999977,34.024,4594,4594,0,0,4371,16,0,0,18
io2_l2n1n2_l4p2n1,358693.5,350148.825,8.54467499999999,36.590,6663,6663,0,0,8089,16,0,0,10
io2_l2n1n2_l4p2n1_d1d2,357584.925,346612.3,10.972625,38.954,6546,6546,0,0,9178,16,0,0,20
io2_l2n1p1_l4n1n1,327386.5875,316485.65,10.9009375,17.424,840,840,0,0,729,16,0,0,5
io2_l2n1p1_l4n1n1_d1d2,329207.4,318397.8,10.809600000000035,17.314,1099,1099,0,0,741,16,0,0,5
io2_l2n1p1_l4n1n2,329934.9,319308.3,10.626600000000035,21.157,1191,1191,0,0,953,16,0,0,10
io2_l2n1p1_l4n1n2_d1d2,330624.625,318281.45,12.343174999999988,17.862,1132,1132,0,0,787,16,0,0,5
io2_l2n1p1_l4n1p1,328449.6,318185.35,10.26425,17.859,950,950,0,0,761,16,0,0,5
io2_l2n1p1_l4n1p1_d1d2,344952.89873417723,332874.725,12.078173734177254,18.095,1167,1167,0,0,771,16,0,0,5
io2_l2n1p1_l4n1p2,334700.275,321726.55,12.973725000000035,22.191,1186,1177,0,9,989,16,0,0,10
io2_l2n1p1_l4n1p2_d1d2,336372.6625,325610.55,10.762112499999988,21.737,1400,1391,0,9,1062,16,0,0,10
io2_l2n1p1_l4p1n1,362397.95,348578.9,13.819049999999988,32.141,3949,3949,0,0,4890,16,0,0,10
io2_l2n1p1_l4p1n1_d1d2,363294.325,348524.025,14.770299999999988,36.448,4613,4613,0,0,4362,16,0,0,18
io2_l2n1p1_l4p2n1,376499.425,361708.75,14.790674999999988,38.756,6827,6827,0,0,8092,16,0,0,10
